year,apn,street_address,co_units
2025,055 182801200,2221 CARLETON St,1
2025,062 284900400,726 NEILSON St,1
2025,053 169801500,2805 RUSSELL ST,1
2025,059 232500700,1446 FIFTH St,1
2025,061 256500600,1964 HOPKINS ST,1
2025,056 192200900,2350 WEST ST,1
2025,058 219100200,1828 EUCLID Ave,2
2025,055 184501000,2618 COLLEGE Ave,2
2025,056 191904100,2410 SACRAMENTO St,1
2025,055 189600500,2440 SHATTUCK Ave,40
2025,052 157101600,2455 ASHBY Ave,1
2025,055 188002201,2436 CHANNING Way,1
2025,059 232501100,737 JONES St,1
2025,055 184102100,2639 REGENT St,2
2025,055 182202700,2020 DWIGHT Way,1
2025,064 429502301,20 BROOKSIDE Ave,1
2025,058 218400600,1620 ARCH St,1
2025,054 174206700,2735 WALLACE ST,1
2025,057 201800700,2210 M L KING JR Way,1
2025,062 286801300,680 PERALTA Ave,1
2025,053 160202100,3037 ELLIS St,1
2025,054 180201400,1515 DERBY St,1
2025,052 152600900,1817 SIXTY-SECOND St,1
2025,055 182202700,2020 DWIGHT Way,1
2025,058 216401600,1619 EDITH St,1
2025,056 192400500,1280 BANCROFT Way,1
2025,060 240603300,1205 KAINS Ave,1
2025,061 261000900,1016 FRESNO Ave,1
2025,055 181602300,1910 BLAKE St,1
2025,053 166700300,2804 ACTON St,1
2025,055 183500901,2650 TELEGRAPH Ave,45
2025,063 298301100,1168 MILLER Ave,1
2025,058 216301400,1615 MCGEE Ave,1
2025,058 213401800,1215 DELAWARE St,1
2025,061 261101300,948 FRESNO Ave,1
2025,060 242900900,1228 MONTEREY Ave,1
2025,057 201602101,1812 UNIVERSITY Ave,2
2025,064 422900215,63 VICENTE Rd,1
2025,064 429502600,8 BROOKSIDE Ave,1
2025,055 182801100,2227 CARLETON St,1
2025,052 155901900,2440 PRINCE St,1
2025,054 170903500,2710 COLLEGE Ave,1
2025,056 192600400,2312 CURTIS ST,1
2025,060 242802700,1355 ACTON ST,1
2025,054 178302000,2501 MABEL St,1
2025,055 189600500,2440 SHATTUCK Ave,40
2025,061 260501300,1140 THE ALAMEDA,1
2025,059 231101000,1520 TENTH St,1
2025,060 240601600,1238 STANNAGE Ave,1
2025,052 156003200,3019 BATEMAN St,1
2025,055 188002201,2436 CHANNING Way,1
2025,059 232501100,737 JONES St,1
2025,055 184102100,2639 REGENT St,2
2025,060 239106700,1329 CURTIS St,1
2025,060 242902400,1300 MONTEREY Ave,1
2025,064 429502301,20 BROOKSIDE Ave,1
2025,056 200400100,1698 UNIVERSITY AVE,36
2025,058 218400600,1620 ARCH St,1
2025,056 194101900,2325 SIXTH St,1
2025,052 152001700,1522 HARMON ST,1
2025,061 256500600,1964 HOPKINS ST,1
2025,059 225501900,1529 SPRUCE ST,1
2025,063 298301301,1176 MILLER Ave,1
2025,060 242301400,1327 ORDWAY St,1
2025,055 184102400,2631 REGENT St,2
2025,064 429502600,8 BROOKSIDE Ave,1
2025,058 215302800,1536 LINCOLN St,1
2025,055 182801100,2227 CARLETON St,1
2025,052 155901900,2440 PRINCE St,1
2025,059 228203700,1408 EDITH St,1
2025,054 174208100,2742 MABEL ST,1
2025,059 231300800,919 BATAAN Ave,1
2025,054 174203500,1134 WARD St,1
2025,062 291503100,655 SAN LUIS Rd,1
2025,052 154400200,3134 CALIFORNIA St,1
2025,053 159402200,2026 ESSEX St,1
2025,055 187802200,2480 BANCROFT Way,28
2025,058 219100200,1828 EUCLID Ave,2
2025,055 186701000,2715 DWIGHT WAY,1
2025,056 192200900,2350 WEST ST,1
2025,057 208600900,1824 CURTIS St,1
2025,056 200601000,2132 MCGEE Ave,2
2025,055 182201800,2000 DWIGHT Way,113
2025,056 191904100,2410 SACRAMENTO St,1
2025,052 157101600,2455 ASHBY Ave,1
2025,055 184702000,2555 COLLEGE Ave,1
2025,060 239401600,1449 KAINS Ave,1
2025,058 224603800,1570 LE ROY Ave,1
2025,053 161603600,3007 ACTON St,1
2025,054 178700800,1219 DERBY St,1
2025,056 193801903,917 CHANNING Way,1
2025,056 191800600,2418 ACTON St,1
2025,052 158200200,2144 RUSSELL St,1
2025,058 218102700,1773 OXFORD St,24
2025,055 185202300,2607 PIEDMONT Ave,1
2025,055 184702000,2555 COLLEGE Ave,11
2025,052 156003200,3019 BATEMAN St,1
2025,054 170903500,2710 COLLEGE Ave,1
2025,055 184802400,2619 COLLEGE Ave,2
2025,052 156601300,2815 ASHBY AVE,1
2025,057 208200200,1208 DELAWARE St,1
2025,059 232500700,1446 FIFTH St,1
2025,054 174206700,2735 WALLACE ST,1
2025,057 201800700,2210 M L KING JR Way,1
2025,062 286801300,680 PERALTA Ave,1
2025,052 154400200,3134 CALIFORNIA St,1
2025,054 180201400,1515 DERBY St,1
2025,060 239401600,1449 KAINS Ave,1
2025,060 240400200,1300 KAINS AVE,1
2025,055 191100700,2410 JEFFERSON AVE,1
2025,055 184802400,2619 COLLEGE AVE,2
2025,059 228503800,1521 SACRAMENTO St,1
2025,059 225701200,1426 SPRUCE St,1
2025,061 257600700,1966 YOSEMITE Rd,1
2025,060 240905500,1217 EVELYN Ave,1
2025,062 286800100,605 NEILSON St,1
2025,055 185300400,12 PANORAMIC Way,1
2025,055 184000700,2620 REGENT St,2
