project_id,address,apn,co_date,co_year,net_units,is_uc_project
319,2742 MABEL ST,054 174208100,2025-10-07,2025,1,false
346,917 CHANNING Way,056 193801903,2025-10-07,2025,1,false
289,1228 MONTEREY Ave,060 242900900,2025-10-15,2025,1,false
343,1300 MONTEREY Ave,060 242902400,2025-10-21,2025,2,false
320,2410 JEFFERSON AVE,055 191100700,2025-10-22,2025,1,false
318,2805 RUSSELL ST,053 169801500,2025-11-07,2025,1,false
83,1136 KEITH Ave,063 298803800,2025-11-10,2025,0,false
313,932 COLUSA Ave,061 261200800,2025-11-13,2025,1,false
335,2715 DWIGHT WAY,055 186701000,2025-11-14,2025,1,false
361,2735 WALLACE ST,054 174206700,2025-12-01,2025,1,false
350,1964 HOPKINS ST,061 256500600,2025-12-02,2025,1,false
150,3030 TELEGRAPH Ave,052 157602701,2026-01-27,2026,144,false
164,1752 SHATTUCK Ave,058 217600101,2026-05-26,2026,72,false
