block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
62-2923,37,37.900547,-122.278012,753,274,42.3,0.636,0.216,0.135,0.784,453735,8122,4802,26.8,4.4
62-2936,23,37.900626,-122.275702,838,456,23.2,0.456,0.13,0.217,0.826,279678,11083,4477,20.6,3.1
62-2939,57,37.900417,-122.272302,736,403,28.7,0.453,0.246,0.421,0.825,554362,10409,4783,30.7,2.9
62-2940,54,37.901459,-122.2753,914,346,35.4,0.622,0.333,0.259,0.667,751210,11293,4465,45.2,7.0
62-2942,50,37.902466,-122.275294,799,333,34.0,0.583,0.26,0.2,0.76,646016,10695,4693,27.2,4.0
62-2943,29,37.902056,-122.273724,843,389,15.4,0.539,0.207,0.241,0.862,373911,9872,4531,12.4,2.8
62-2944,35,37.902135,-122.272646,680,349,32.4,0.487,0.371,0.371,0.771,341215,8420,4388,33.7,2.7
62-2945,41,37.902601,-122.271771,757,497,21.6,0.344,0.22,0.366,0.805,435250,12568,5269,20.4,2.6
62-2946,34,37.903659,-122.271685,770,223,34.2,0.71,0.412,0.176,0.735,466836,7771,4609,22.0,3.3
62-2949,42,37.903684,-122.273716,800,361,26.0,0.548,0.214,0.31,0.738,449277,10946,4724,22.3,3.2
63-2951,22,37.903561,-122.270003,942,545,23.0,0.421,0.227,0.318,0.682,250388,14907,4144,27.2,7.1
63-2952,69,37.900409,-122.269367,823,438,32.1,0.467,0.232,0.29,0.768,885601,14358,5338,45.1,3.9
63-2953,43,37.90208,-122.268492,863,489,22.9,0.434,0.209,0.302,0.791,509258,15387,4980,22.9,3.1
63-2955,56,37.899658,-122.266569,792,397,21.7,0.499,0.232,0.304,0.75,585076,10572,4527,27.0,3.5
63-2956,49,37.899002,-122.267785,978,369,42.9,0.623,0.367,0.184,0.857,874933,11370,4800,30.2,7.0
63-2958,18,37.898785,-122.269523,923,294,18.8,0.681,0.333,0.278,1.0,302325,11408,5013,17.9,4.2
63-2959,59,37.896394,-122.268509,796,444,35.1,0.442,0.288,0.322,0.847,771989,12376,5249,26.0,3.5
63-2960,28,37.896216,-122.267459,818,253,52.4,0.69,0.429,0.286,0.857,434735,7208,4871,27.6,4.0
63-2961,52,37.895548,-122.265793,742,302,31.0,0.593,0.404,0.212,0.846,709431,10500,4967,35.4,3.2
63-2962,45,37.896553,-122.265287,762,390,27.5,0.489,0.289,0.222,0.778,502635,10965,4792,25.6,3.2
63-2963,76,37.897483,-122.264145,1113,541,38.5,0.515,0.289,0.184,0.789,1227605,13384,4111,37.4,3.9
63-2964,65,37.897428,-122.262788,883,426,30.2,0.518,0.262,0.246,0.831,798912,10456,4173,26.6,9.6
63-2965,57,37.899752,-122.264382,785,321,25.9,0.591,0.316,0.246,0.772,624247,7649,4213,28.8,4.5
63-2967,18,37.897469,-122.261272,1322,577,22.3,0.564,0.333,0.111,0.889,329895,15547,3506,29.4,3.6
63-2968,43,37.89503,-122.258892,805,328,22.4,0.592,0.279,0.302,0.791,532928,12731,4759,21.7,3.5
63-2969,49,37.894621,-122.260029,1055,506,22.8,0.521,0.122,0.204,0.694,700929,12545,4413,38.1,5.2
63-2970,28,37.89462,-122.261982,883,442,20.9,0.499,0.179,0.214,0.75,316748,11237,4151,19.1,3.0
63-2971,55,37.895001,-122.263693,896,410,22.6,0.542,0.2,0.236,0.782,670736,12180,4455,29.0,4.2
63-2972,62,37.892507,-122.265241,935,397,35.6,0.576,0.403,0.194,0.758,962991,10673,4655,37.2,3.9
63-2973,48,37.892797,-122.266635,831,351,35.3,0.577,0.312,0.25,0.833,615541,9938,4523,51.5,3.6
63-2974,51,37.890357,-122.265411,739,373,26.2,0.496,0.216,0.235,0.824,505284,9595,4397,25.7,3.6
63-2975,44,37.892315,-122.263656,809,343,40.8,0.575,0.364,0.273,0.773,564795,8865,4589,30.4,2.6
63-2976,37,37.892226,-122.261411,968,531,34.7,0.452,0.297,0.162,0.649,508485,13997,4570,48.9,7.7
63-2977,18,37.893502,-122.261184,771,275,13.4,0.644,0.389,0.111,0.833,226463,7153,4428,19.3,3.3
63-2978,54,37.891997,-122.258268,809,403,20.0,0.502,0.259,0.259,0.815,635217,10723,4549,28.6,3.5
63-2979,43,37.892207,-122.256779,857,506,21.4,0.41,0.116,0.256,0.814,444433,14551,4637,17.1,3.3
63-2980,21,37.890874,-122.258345,784,243,21.2,0.69,0.429,0.238,0.857,217620,5234,3718,15.1,2.6
63-2982,27,37.89052,-122.253802,882,388,41.5,0.56,0.222,0.148,0.63,460977,10778,4552,18.4,7.5
63-2983,37,37.889566,-122.254168,840,432,23.2,0.486,0.108,0.27,0.838,408057,12329,4411,29.9,4.3
63-2984,44,37.88922,-122.255708,904,459,28.6,0.492,0.295,0.25,0.773,530093,12619,4178,19.2,3.2
63-2985,43,37.889166,-122.257603,890,429,27.2,0.518,0.349,0.279,0.651,563593,11436,4432,34.3,5.5
63-2986,47,37.888774,-122.259197,1114,519,35.3,0.534,0.277,0.234,0.681,777534,12614,4223,43.6,3.7
63-2987,46,37.890898,-122.262214,964,447,39.9,0.537,0.283,0.348,0.826,576844,11705,4203,44.8,3.2
63-2988,48,37.888318,-122.260762,877,387,38.5,0.559,0.333,0.271,0.708,672944,8846,4494,47.0,10.2
63-2991,8,37.887744,-122.255733,1189,455,31.3,0.617,0.25,0.25,0.875,122296,11575,3460,17.2,2.2
63-2992,13,37.888242,-122.253922,545,304,13.5,0.442,0.154,0.385,0.923,64893,7863,3948,16.6,2.1
63-2993,24,37.888841,-122.252478,1002,495,23.8,0.507,0.167,0.208,0.917,301293,13670,4205,22.9,2.4
63-3100,96,37.903096,-122.266617,958,445,31.1,0.535,0.292,0.302,0.74,1194132,12472,4160,30.9,3.9
63-3110,95,37.90071,-122.263134,933,404,49.4,0.567,0.305,0.253,0.747,1397641,11900,4314,54.8,6.4
63-3120,49,37.898609,-122.259658,894,583,16.3,0.348,0.122,0.347,0.776,528552,14759,4279,20.5,3.3
63-3130,36,37.895897,-122.257224,620,321,21.6,0.483,0.222,0.306,0.917,295781,7853,4486,18.1,2.8
63-3140,39,37.893318,-122.255253,1069,589,11.1,0.448,0.179,0.231,0.821,593979,17706,4719,9.6,3.7
63-3150,41,37.891914,-122.252837,885,399,33.5,0.548,0.317,0.293,0.78,528419,8808,4250,35.5,4.2
63-3160,14,37.890214,-122.251252,945,524,32.9,0.445,0.214,0.286,0.857,328352,15675,4644,29.0,10.0
63-3161,18,37.888788,-122.250685,902,476,8.7,0.473,0.278,0.333,0.667,347296,20195,6000,8.6,8.6
64-4222,12,37.85717,-122.236022,607,234,11.5,0.615,0.167,0.25,0.75,183891,14408,7302,10.2,3.7
64-4223,17,37.85709,-122.238425,954,392,29.8,0.589,0.235,0.118,0.765,389356,15957,6678,20.7,2.3
64-4226,23,37.856606,-122.240438,888,406,31.6,0.543,0.348,0.261,0.826,418280,16059,5726,21.6,4.4
64-4227,21,37.856348,-122.239236,780,505,21.9,0.352,0.19,0.381,0.857,335096,24093,7763,17.0,3.0
64-4228,10,37.8566,-122.236931,1060,247,21.6,0.767,0.6,0.1,0.8,427285,14538,8238,17.5,6.6
64-4229,25,37.856039,-122.236366,844,525,35.1,0.377,0.2,0.28,0.64,493018,27777,7689,29.6,5.0
64-4230,9,37.854478,-122.235785,777,550,9.1,0.292,0.111,0.444,0.778,104901,18235,7302,20.2,2.8
64-4231,10,37.854762,-122.234866,1645,772,35.2,0.531,0.2,0.3,0.7,491543,27006,7168,38.4,19.7
64-4232,22,37.854772,-122.240091,1093,468,52.8,0.572,0.273,0.273,0.818,610339,22984,7625,45.5,3.3
64-4234,15,37.857273,-122.242607,860,554,34.7,0.356,0.2,0.4,0.867,300013,18863,5803,22.9,4.8
64-4237,12,37.856643,-122.245193,1084,875,21.9,0.193,0.333,0.583,0.833,189040,16064,4935,12.4,4.1
64-4238,33,37.855989,-122.245467,920,345,26.3,0.625,0.303,0.273,0.758,582983,10667,5129,25.1,4.6
64-4239,13,37.854955,-122.247186,750,236,23.0,0.685,0.462,0.231,0.846,191849,6262,5071,30.2,2.6
64-4240,26,37.855343,-122.244988,1068,290,23.8,0.728,0.346,0.192,0.808,724058,12997,6585,27.5,2.9
64-4241,11,37.856653,-122.242777,963,559,26.4,0.42,0.273,0.273,0.636,205845,21389,5652,19.0,2.5
64-4242,28,37.855764,-122.242857,843,485,33.7,0.425,0.321,0.393,0.857,503434,20352,7523,30.9,2.1
64-4243,20,37.855324,-122.24111,733,340,14.5,0.536,0.25,0.3,0.6,262710,12575,6177,15.7,2.0
64-4244,41,37.854036,-122.241623,933,333,50.7,0.642,0.366,0.268,0.854,936758,15657,7158,36.7,3.4
64-4245,21,37.854617,-122.243417,979,399,17.7,0.592,0.238,0.333,0.857,365050,13851,5973,16.7,2.6
64-4246,20,37.854456,-122.245466,864,303,33.3,0.649,0.3,0.15,1.0,456951,13788,6594,23.4,2.4
64-4247,22,37.853398,-122.247798,791,405,19.5,0.489,0.227,0.318,0.591,432290,20816,7989,56.2,3.2
64-4249,14,37.85221,-122.246718,1186,590,42.8,0.503,0.214,0.143,0.643,414218,28972,7277,22.2,6.0
64-4250,20,37.853483,-122.246419,1359,430,29.5,0.684,0.4,0.1,0.7,770824,18686,6942,22.9,2.8
64-4251,34,37.853202,-122.243702,884,442,28.5,0.5,0.294,0.294,0.794,637872,19337,7088,27.9,2.5
64-4252,58,37.852196,-122.244079,1000,485,41.0,0.515,0.207,0.241,0.845,910818,14355,4987,39.8,3.6
64-4255,29,37.853598,-122.238269,848,452,34.0,0.467,0.345,0.241,0.759,672985,18073,7770,29.5,7.5
64-4259,19,37.852625,-122.240864,1116,481,34.6,0.569,0.368,0.211,0.789,511427,16702,6099,18.2,3.0
64-4265,11,37.853148,-122.236255,559,217,13.2,0.612,0.273,0.182,0.909,202827,14622,8415,12.4,4.7
64-4295,49,37.852115,-122.249032,814,288,43.2,0.646,0.327,0.306,0.837,720166,10837,5329,65.7,4.7
