block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
55-1906,23,37.863865,-122.275046,884,343,43.1,0.611,0.304,0.13,0.783,242735,5441,3245,33.5,3.5
55-1907,18,37.86368,-122.276232,753,244,32.4,0.676,0.444,0.167,0.778,150961,5292,3185,43.5,3.0
55-1908,19,37.865492,-122.27638,905,231,44.4,0.744,0.474,0.211,0.842,286676,5906,3524,51.6,5.6
55-1909,21,37.865335,-122.277414,883,188,38.0,0.787,0.524,0.238,0.905,240908,5969,3071,24.9,3.7
55-1910,18,37.86367,-122.277253,938,316,20.5,0.664,0.389,0.222,0.944,182358,6084,3402,43.0,2.1
55-1911,15,37.863623,-122.278299,1069,484,11.6,0.547,0.2,0.267,0.533,146862,9676,2916,7.5,2.2
55-1912,31,37.865256,-122.278588,943,262,71.0,0.722,0.452,0.226,0.806,358809,5237,3051,56.0,3.4
55-1913,56,37.864332,-122.279677,1055,521,31.1,0.507,0.143,0.268,0.696,534633,9090,2868,63.9,3.5
55-1914,58,37.864176,-122.280755,887,339,39.0,0.618,0.362,0.276,0.741,537757,5471,3037,32.5,3.4
56-1915,27,37.864869,-122.28196,1256,564,29.1,0.551,0.259,0.222,0.815,327943,10010,2670,22.8,3.1
56-1916,28,37.864745,-122.282916,1183,343,34.0,0.71,0.464,0.214,0.714,339923,4818,2644,37.4,2.8
56-1917,29,37.864507,-122.283848,1120,594,102.2,0.47,0.207,0.241,0.621,268841,9587,2769,56.3,2.8
56-1918,23,37.862795,-122.283511,1239,479,48.0,0.613,0.348,0.304,0.783,242114,8072,2602,61.5,2.4
56-1919,57,37.863058,-122.282203,998,470,46.8,0.529,0.263,0.263,0.596,516153,8668,2652,45.3,3.6
56-1920,32,37.862634,-122.285404,1021,437,44.1,0.572,0.344,0.281,0.781,292920,7402,2758,48.8,3.4
56-1921,12,37.862568,-122.284354,1369,375,44.3,0.726,0.417,0.25,0.917,175933,7191,2716,34.5,2.1
56-1922,21,37.864236,-122.28568,878,623,124.3,0.291,0.143,0.429,0.714,129549,9512,2362,35.1,3.2
56-1923,27,37.864483,-122.284728,1302,399,34.2,0.694,0.333,0.222,0.815,278923,5718,2083,38.3,3.3
56-1924,21,37.864238,-122.28692,1086,477,56.9,0.561,0.286,0.238,0.667,230034,7052,2848,43.1,2.4
56-1925,24,37.864086,-122.287945,845,381,66.0,0.549,0.333,0.333,0.75,185140,7552,3222,45.8,3.5
56-1926,17,37.864314,-122.289106,1036,643,37.7,0.38,0.235,0.412,0.647,122801,9969,2635,27.5,3.1
56-1927,16,37.863374,-122.289079,722,366,23.0,0.494,0.125,0.188,0.812,97263,6695,2863,27.1,2.6
56-1928,15,37.86201,-122.289158,1002,318,33.1,0.683,0.4,0.2,0.733,125266,3886,2598,43.2,2.7
56-1929,24,37.862235,-122.288455,881,459,65.7,0.478,0.333,0.25,0.708,174568,7041,2564,40.7,2.7
56-1930,30,37.862291,-122.287501,684,346,30.2,0.493,0.267,0.267,0.7,180421,5945,2689,29.2,3.2
56-1931,28,37.86248,-122.286496,1072,569,211.0,0.469,0.179,0.25,0.643,282847,10221,3261,76.5,3.5
56-1934,11,37.863406,-122.292155,793,370,4.7,0.533,0.0,0.364,0.727,82252,8388,3919,7.4,3.3
56-1935,20,37.861869,-122.291514,1208,521,47.8,0.568,0.4,0.15,0.65,257891,7403,2748,30.6,3.2
