project_key,address,apn,units_best,units_source,planning_records,planning_status,planning_filed,building_records,building_status,building_filed,first_bp_issued,last_finaled,status_asof,v2_project_id,v2_match_basis,v2_units,v2_status,v2_bp_issued,v2_co,not_in_v2,needs_status_refresh,possible_v2_match,units_disagree,n_records,address_missing,address_borrowed
apn|053-1590-005-01,2920 SHATTUCK Ave,053-1590-005-01,221,description,PLN2022-0016;DRCP2022-0013;ZP2022-0116;PLN2023-0096,Closed,2023-12-18,,,,,,2026-07-08,8,address+apn+permit,242,In Review,,,0,1,,1,4,0,0
apn|055-1822-013-04,2015 BLAKE St,055-1822-013-04,219,description,ZP2018-0239;PLN2020-0023;ZP2020-0072;PLN2022-0120;ZP2022-0178,Approved,2022-12-19,,,,,,2026-07-08,181,address+apn,168,Entitled,,,0,1,,1,5,0,0
apn|057-2030-009-00,2113 KITTREDGE,057-2030-009-00,214,description,PLN2022-0067,Closed,2022-07-28,,,,,,2026-07-08,12,apn,148,In Review,,,0,0,,1,1,0,0
apn|057-2030-008-00,2115 KITTREDGE,057-2030-008-00,214,description,ZP2022-0144;ZP2024-0131,Incomplete Pending Applicant,2024-09-16,,,,,,2026-07-08,12,address+apn+permit,148,In Review,,,0,1,,1,2,0,0
apn|056-2003-001-00,1598 UNIVERSITY Ave,056-2003-001-00,207,cpra_UnitsAdded,PLN2022-0008;DRCP2022-0008;ZP2022-0099;PLN2023-0038;DRCF2024-0004,Approved,2024-05-02,B2024-01924,Issued,2024-04-19,2024-12-16,,2026-09-21,152,address+apn+permit,207,Completed,2024-01-01,,0,0,,0,6,0,0
apn|057-2022-017-01,2100 Milvia,057-2022-017-01,201,description,PLN2023-0045;ZP2023-0163,Approved,2023-12-12,,,,,,2026-07-08,121,address+apn+permit,205,Entitled,,,0,1,,1,2,0,0
apn|057-2022-003-01,2108 MILVIA,057-2022-003-01,201,description,DRCP2023-0018,Approved,2023-12-12,,,,,,2026-07-08,17;121,address~10,105,In Review,,,0,1,,1,1,0,0
apn|057-2027-006-00,2065 KITTREDGE St,057-2027-006-00,189,description,PLN2021-0031;ZP2021-0193;DRCF2023-0002,Approved,2023-06-28,,,,,,2026-07-08,180,address+apn,189,Entitled,,,0,1,,0,3,0,0
apn|059-2310-002-05,1500 SAN PABLO AVE,059-2310-002-05,170,description,ZP2015-0043;DRCP2015-0004;DRCF2017-0003,Approved,2017-03-30,,,,,,2026-07-08,895,address+apn,159,Completed,,2020-09-11,0,1,,1,3,0,0
apn|057-2029-016-00,2150 KITTREDGE St,057-2029-016-00,169,cpra_UnitsAdded,DRSA2023-0004,Approved,2023-03-21,B2021-00008,Finaled,2021-01-04,2021-10-27,2024-03-20,2026-07-08,135,address+apn+permit,169,Completed,,2024-03-20,0,0,,0,2,0,0
addr|2176|kittredge,2176 KITTREDGE St,,165,description,DRCP2019-0001;ZP2019-0027;DRCF2021-0004,Approved,2021-07-01,,,,,,2026-09-21,,,,,,,1,0,"135(169u,street);113(73u,street)",0,3,0,0
apn|057-2046-001-00,1951 SHATTUCK Ave,057-2046-001-00,163,cpra_UnitsAdded,PLN2017-0057;ZP2018-0137;DRCP2018-0005,Approved,2018-07-06,B2019-05608;B2021-04893,Finaled,2021-10-27,2022-09-08,2024-10-24,2026-07-08,136,address+apn+permit,163,Completed,2022-09-08,2024-10-24,0,1,,0,5,0,0
addr|2029|university student housing,2029 University student housing,,160,description,PLN2024-0070,Under Review,2024-12-10,,,,,,2026-09-21,6,permit,240,Entitled,,,0,0,,1,1,0,0
apn|057-2071-006-01,1581 UNIVERSITY,057-2071-006-01,158,description,PLN2023-0099;DRCP2024-0010;ZP2024-0074,Incomplete Pending Applicant,2024-06-17,,,,,,2026-07-08,11,address+apn+permit,158,In Review,,,0,1,,0,3,0,0
addr|3000|shattuck,3000 SHATTUCK Ave,,156,description,PLN2021-0069,Closed,2021-12-10,,,,,,2026-09-21,10,address,166,Entitled,,,0,0,,1,1,0,0
addr|2001|4th,2001 FOURTH St,,152,description,DRCP2015-0017;ZP2015-0157,Approved,2015-07-14,,,,,,2026-09-21,,,,,,,1,0,,0,2,0,0
apn|054-1742-032-00,2733 SAN PABLO,054-1742-032-00,152,description,PLN2023-0092,Closed,2023-12-13,,,,,,2026-07-08,36,address+apn,152,In Review,,,0,0,,0,1,0,0
addr|2420|shattuck,2420 SHATTUCK Ave,,146,description,PLN2022-0036;DRCP2022-0018;ZP2022-0149;PLN2023-0090,Closed,2023-12-08,,,,,,2026-09-21,13,address+permit,132,In Review,,,0,0,,1,4,0,0
apn|052-1576-027-01,3030 TELEGRAPH Ave,052-1576-027-01,144,cpra_UnitsAdded,PLN2022-0086;DRCP2022-0020;ZP2022-0170;DRCF2024-0001,Approved,2024-03-28,B2023-06416,Finaled,2023-12-19,2024-10-15,2026-04-16,2026-07-08,150,address+apn+permit,144,Completed,2023-10-01,2026-01-27,0,1,,0,5,0,0
apn|057-2053-022-01,2012 BERKELEY Way,057-2053-022-01,142,cpra_UnitsAdded,PLN2018-0048,Pending,2018-10-26,B2019-03862,Finaled,2019-09-12,2020-07-06,2022-09-23,2026-07-08,901,address+apn+permit,142,Completed,2020-07-06,2022-09-23,0,0,,0,2,0,0
apn|053-1686-020-00,2847 SHATTUCK Ave,053-1686-020-00,136,description,PLN2022-0031;ZP2022-0132;DRCP2022-0016;PLN2023-0102;DRCP2024-0013;ZP2024-0077,Incomplete Pending Applicant,2024-06-18,,,,,,2026-09-21,14,address+apn+permit,132,In Review,,,0,0,,1,6,0,0
apn|058-2178-018-00,2109 VIRGINIA,058-2178-018-00,132,description,PLN2023-0091;DRCP2024-0007;ZP2024-0066,Approved,2024-06-04,,,,,,2026-07-08,15,address+apn+permit,110,Entitled,,,0,1,,1,3,0,0
addr|2136|san pablo,2136 SAN PABLO Ave,,126,description,DRCP2019-0015;ZP2019-0179;PLN2020-0041;DRCP2021-0002;ZP2021-0046,Approved,2021-03-18,,,,,,2026-09-21,140,address+permit,125,Entitled,,,0,0,,0,5,0,0
apn|055-1878-007-01,2425 DURANT AVENUE,055-1878-007-01,117,description,PLN2024-0049,Under Review,2024-08-08,,,,,,2026-09-21,5,address+apn+permit,117,Entitled,,,0,0,,0,1,0,0
apn|055-1877-019-02,2580 BANCROFT Way,055-1877-019-02,117,cpra_UnitsAdded,ZP2017-0083,Approved,2017-05-26,B2019-00478,Finaled,2019-02-04,2019-09-24,2021-11-29,2026-07-08,896,address+apn+permit,117,Completed,2019-09-24,2021-11-29,0,0,,0,2,0,0
apn|054-1744-007-00,2720 SAN PABLO,054-1744-007-00,117,description,PLN2022-0069;DRCP2023-0005;PLN2023-0101;DRCP2024-0012;ZP2024-0076,Incomplete Pending Applicant,2024-06-18,,,,,,2026-07-08,16,address+apn,113,In Review,,,0,1,,1,5,0,0
apn|055-1822-018-00,2000 DWIGHT Way,055-1822-018-00,113,cpra_UnitsAdded,DRCP2019-0005;ZP2019-0074,Void,2019-04-24,B2021-02404,Finaled,2021-06-10,2023-08-15,2025-06-17,2026-07-08,173,address+permit,113,Completed,2022-04-18,2025-06-17,0,1,,0,3,0,0
apn|055-1897-001-03,2480 SHATTUCK,055-1897-001-03,111,description,PLN2023-0073,Closed,2023-10-30,,,,,,2026-07-08,,,,,,,1,0,"19(94u,block);914(100u,street);176(40u,street)",0,1,0,0
apn|058-2129-017-00,1701 SAN PABLO Ave,058-2129-017-00,110,cpra_UnitsAdded,,,,B2024-02966,Issued,2024-06-17,2025-05-06,,2026-09-21,153,address+apn+permit,110,Under Construction,2023-06-01,,0,0,,0,1,0,0
apn|055-1877-016-01,2530 BANCROFT,055-1877-016-01,110,description,PLN2023-0059;DRCP2023-0014;ZP2023-0126,Approved,2023-09-06,,,,,,2026-07-08,122,address+apn+permit,110,Entitled,,,0,1,,0,3,0,0
apn|052-1574-104-00,3031 Telegraph Avenue,052-1574-104-00,110,description,PLN2018-0050;PLN2020-0025;ZP2020-0069,Approved,2020-07-06,,,,,,2026-09-21,150,address~10,144,Completed,2023-10-01,2026-01-27,0,0,,1,3,0,0
apn|057-2023-016-01,2109 MILVIA,057-2023-016-01,105,description,PLN2023-0001;ZP2023-0003,Closed,2023-01-10,,,,,,2026-07-08,17,address+apn,105,In Review,,,0,0,,0,2,0,0
addr|1200|san pablo,1200 SAN PABLO Ave,,104,description,DRCP2019-0016;ZP2019-0192,Approved,2019-12-02,,,,,,2026-09-21,,,,,,,1,0,,0,2,0,0
apn|055-1826-018-02,2655 SHATTUCK Ave,055-1826-018-02,97,description,PLN2023-0086;DRCP2024-0005;ZP2024-0057,Approved,2024-05-22,,,,,,2026-07-08,18,address+apn+permit,97,Entitled,,,0,1,,0,3,0,0
apn|056-1977-006-05,2100 SAN PABLO Ave,056-1977-006-05,96,cpra_UnitsAdded,DRCF2018-0007;DRCP2018-0010;ZP2018-0222,Approved,2018-11-26,B2019-03689,Finaled,2019-08-30,2020-07-20,2023-05-02,2026-07-08,467,apn+permit,96,Completed,2020-07-20,2023-05-02,0,1,,0,4,0,0
apn|057-2086-025-01,1835 San Pablo Avenue,057-2086-025-01,95,description,DRCP2018-0009;ZP2018-0220,Approved,2018-11-19,,,,,,2026-07-08,,,,,,,1,1,"338(1u,block);379(2u,block)",0,2,0,0
addr|2147|san pablo,2147 SAN PABLO Ave,,94,description,DRCP2021-0008;ZP2021-0073;PLN2022-0020;DRCP2022-0011;PLN2026-0032,Under Review,2026-01-26,,,,,,2026-09-21,41,address,15,Entitled,,,0,0,,1,5,0,0
addr|80|shattuck,80 Shattuck,,94,description,DRCP2024-0004;ZP2024-0047,Incomplete Pending Applicant,2024-04-26,,,,,,2026-09-21,19,permit,94,In Review,,,0,0,,0,2,0,0
apn|053-1684-001-00,2801 Adeline,053-1684-001-00,90,description,DRCP2020-0010;ZP2020-0118,Withdrawn,2020-10-16,,,,,,2026-07-08,,,,,,,1,0,,0,2,0,0
apn|053-1591-018-03,2001 ASHBY Ave,053-1591-018-03,87,cpra_UnitsAdded,,,,B2021-02905,Finaled,2021-07-02,2022-02-04,2025-02-24,2026-07-08,154,address+apn+permit,87,Completed,2022-02-04,2025-06-01,0,0,,0,1,0,0
apn|055-1894-017-04,2036 BANCROFT,055-1894-017-04,87,description,ZP2024-0079,In Review,2024-06-19,,,,,,2026-09-21,20,address+apn+permit,87,In Review,,,0,0,,0,1,0,0
addr|2590|bancroft,2590 BANCROFT Way,,87,description,ZP2019-0100,Approved,2019-05-31,,,,,,2026-09-21,404,address,87,Completed,,2023-11-15,0,0,,0,1,0,0
addr|1709|shattuck,1709 SHATTUCK Ave,,85,description,DRCP2021-0003;ZP2021-0048,Approved,2021-03-19,,,,,,2026-09-21,,,,,,,1,0,"164(72u,street)",0,2,0,0
addr|2720|san pablo density bonus project,2720 San Pablo Density Bonus Project,,84,description,ZP2023-0058,Under Review,2023-05-03,,,,,,2026-09-21,16,permit,113,In Review,,,0,0,,1,1,0,0
apn|055-1876-021-01,2538 DURANT Ave,055-1876-021-01,83,cpra_UnitsAdded,ZP2016-0172;DRCP2016-0020;DRCF2019-0005;PLN2022-0065,Closed,2022-07-11,B2023-02332;B2024-06011,Issued,2024-12-20,2024-09-24,,2026-07-08,139,address+apn+permit,83,Completed,2024-10-01,,0,1,,0,6,0,1
addr|1708|harmon,1708 HARMON St,,82,description,PLN2021-0037;PLN2022-0099;PLN2022-0101,Closed,2022-10-27,,,,,,2026-09-21,145,address,80,Permitted,,,0,0,,1,3,0,0
apn|055-1822-009-00,2035 BLAKE St,055-1822-009-00,82,cpra_UnitsAdded,,,,B2016-00895,Finaled,2016-03-01,2017-08-10,2022-04-20,2026-07-08,899,address+permit,82,Completed,,2022-04-20,0,0,,0,1,0,0
apn|057-2025-013-00,2000 UNIVERSITY Ave,057-2025-013-00,81,cpra_UnitsAdded,DRCP2020-0008;ZP2020-0102;PLN2020-0045;DRCP2020-0011;ZP2020-0134;DRCF2022-0001,Approved,2022-04-04,B2022-01111,Finaled,2022-03-14,2022-12-22,2024-04-09,2026-07-08,137,address+apn,82,Completed,,2024-01-01,0,1,,0,7,0,0
apn|053-1589-018-01,2955 SHATTUCK Ave,053-1589-018-01,80,description,PLN2023-0085;DRCP2024-0009;ZP2024-0071,Application Complete,2024-06-11,,,,,,2026-09-21,22,address+apn+permit,74,In Review,,,0,0,,1,3,0,0
apn|055-1871-001-03,2680 Bancroft,055-1871-001-03,79,description,PLN2023-0033;ZP2023-0096;ZP2024-0029,Approved,2024-03-04,,,,,,2026-07-08,34,address+apn+permit,79,Entitled,,,0,1,,0,3,0,0
addr|2427|san pablo,2427 SAN PABLO Ave,,78,description,PLN2022-0014;ZP2022-0115,Approved,2022-09-02,,,,,,2026-09-21,126,address+permit,78,Completed,,,0,0,,0,2,0,0
apn|055-1819-001-02,2628 SHATTUCK Ave,055-1819-001-02,78,cpra_UnitsAdded,ZP2018-0050,Approved,2018-03-06,B2019-01950,Finaled,2019-05-09,2020-05-05,2021-07-16,2026-07-08,897,address+apn+permit,78,Completed,,2021-07-16,0,1,,0,2,0,0
addr|2660|bancroft,2660 BANCROFT,,78,description,PLN2023-0034,Closed,2023-04-14,,,,,,2026-07-08,21,address,78,In Review,,,0,0,,0,1,0,0
apn|053-1633-001-01,3000 SAN PABLO Ave,053-1633-001-01,78,cpra_UnitsAdded,ZP2019-0155;DRCF2021-0002,Approved,2021-03-02,B2020-04316,Finaled,2020-12-09,2021-09-30,2023-06-05,2026-07-08,168,address+apn+permit,78,Completed,,2023-06-05,0,1,,0,3,0,0
apn|055-1837-001-00,2556 Telegraph,055-1837-001-00,76,description,ZP2015-0096,Approved,2015-04-21,,,,,,2026-07-08,,,,,,,1,1,"898(10u,block);890(70u,street);157(52u,street)",0,1,0,0
apn|055-1821-001-01,2550 SHATTUCK Ave,055-1821-001-01,75,description,PLN2023-0026;DRCP2023-0015;ZP2023-0138,Approved,2023-09-25,,,,,,2026-07-08,156,address+apn,72,Entitled,,,0,1,,1,3,0,0
apn|055-1894-002-00,2037 DURANT Ave,055-1894-002-00,74,description,PLN2021-0024;DRCP2023-0006;ZP2023-0064,Approved,2023-05-11,,,,,,2026-07-08,123,address+apn+permit,74,Entitled,,,0,1,,0,3,0,0
apn|058-2176-001-01,1752 SHATTUCK Ave,058-2176-001-01,72,cpra_UnitsAdded,PLN2021-0055;DRCP2022-0001;ZP2022-0011;DRCF2023-0001,Approved,2023-06-27,B2023-00774,Issued,2023-02-22,2024-06-13,,2026-07-08,152;164,address+apn+permit,207,Completed,2024-01-01,,0,1,,1,5,0,0
