project_key,address,apn,units_best,units_source,planning_records,planning_status,planning_filed,building_records,building_status,building_filed,first_bp_issued,last_finaled,status_asof,v2_project_id,v2_match_basis,v2_units,v2_status,v2_bp_issued,v2_co,not_in_v2,needs_status_refresh,possible_v2_match,units_disagree,n_records,address_missing,address_borrowed
apn|057-2025-023-00,2009 ADDISON St,057-2025-023-00,45,cpra_UnitsAdded,,,,B2019-02956,Finaled,2019-07-18,2021-06-24,2023-04-04,2026-07-08,91,address+apn+permit,45,Completed,,2023-04-04,0,0,,0,1,0,0
apn|055-1887-001-00,2298 DURANT,055-1887-001-00,45,description,PLN2026-0074,Under Review,2026-03-06,,,,,,2026-09-21,26,address+apn,65,In Review,,,0,0,,1,1,0,0
apn|055-1835-009-01,2650 TELEGRAPH Ave,055-1835-009-01,45,cpra_UnitsAdded,DRCP2019-0004;ZP2019-0070;DRCF2021-0007,Approved,2021-08-31,B2021-02225,Finaled,2021-05-28,2023-08-02,2025-06-16,2026-07-08,172,address+apn+permit,45,Completed,2023-08-02,2025-06-16,0,0,,0,4,0,0
apn|055-1868-005-00,2727 HASTE STREET,055-1868-005-00,45,description,PLN2025-0055;ZP2026-0007,In Review,2026-01-15,,,,,,2026-07-08,114,address+apn+permit,45,In Review,,,0,1,,0,2,0,0
apn|056-1996-026-01,1486 University,056-1996-026-01,44,description,ZP2016-0216;DRCP2016-0015,Withdrawn,2016-10-28,,,,,,2026-07-08,,,,,,,1,0,,0,2,0,0
apn|057-2016-021-01,1808 UNIVERSITY AVE,057-2016-021-01,44,cpra_UnitsAdded,,,,B2014-05786,Finaled,2014-12-29,2016-01-21,2021-08-31,,307,apn,2,Completed,,2025-09-02,0,0,,1,1,0,0
addr|1820|san pablo,1820 SAN PABLO Ave,,44,description,PLN2020-0030;PLN2021-0013,Pending,2021-03-18,,,,,,2026-09-21,,,,,,,1,0,,0,2,0,0
apn|055-1876-017-00,2526 DURANT AVE,055-1876-017-00,44,cpra_UnitsAdded,,,,B2014-02844,Finaled,2014-06-25,2016-02-16,2019-06-14,,893,address+apn+permit,44,Completed,,2019-06-14,0,0,,0,1,0,0
apn|053-1595-009-03,3031 adeline,053-1595-009-03,42,description,DRCP2017-0009,Approved,2017-05-24,,,,,,2026-07-08,166,address+apn,64,In Review,,,0,1,,1,1,0,0
apn|056-1928-019-00,,056-1928-019-00,40,cpra_UnitsAdded,,,,B2021-02423,Finaled,2021-06-11,2022-08-12,2025-03-20,2026-07-08,,,,,,,1,0,"167(40u,block,=units);126(78u,block);159(36u,block)",0,1,1,0
addr|1110|university,1110 UNIVERSITY Ave,,40,description,DRCP2017-0004;ZP2017-0035,Approved,2017-03-03,,,,,,2026-09-21,,,,,,,1,0,,0,2,0,0
apn|052-1519-027-00,1499 ALCATRAZ Ave,052-1519-027-00,40,description,,,,B2026-03320,Under Review,2026-08-06,,,2026-09-21,,,,,,,1,0,"774(1u,block);762(1u,street)",0,1,0,0
apn|058-2176-027-00,2032 FRANCISCO STREET,058-2176-027-00,40,description,PLN2026-0155,Under Review,2026-07-07,,,,,,2026-09-21,577,address~10,1,Completed,,2019-07-30,0,0,,1,1,0,0
apn|055-1896-005-00,2440 SHATTUCK Ave,055-1896-005-00,40,cpra_UnitsAdded,DRCP2021-0020;ZP2021-0201;DRCF2022-0003,Approved,2022-07-12,B2022-05117,Finaled,2022-11-01,2023-08-03,2025-03-05,2026-07-08,176,address+apn+permit,40,Completed,2022-10-14,2025-03-05,0,0,,0,4,0,0
apn|055-1875-008-00,2510 CHANNING Way,055-1875-008-00,40,cpra_UnitsAdded,ZP2017-0003;DRCP2017-0002;ZP2018-0061,Approved,2018-03-19,B2018-01337,Closed Expired,2018-04-05,2020-01-27,,2026-07-08,,,,,,,1,1,"177(1113u,block);25(68u,block);171(1500u,block)",0,4,0,1
apn|057-2073-005-00,1367 UNIVERSITY Ave,057-2073-005-00,39,cpra_UnitsAdded,PLN2019-0021;DRCP2019-0014;ZP2019-0173;DRCF2021-0010,Approved,2021-11-29,B2022-04366,Finaled,2022-09-20,2023-10-16,2025-05-06,2026-07-08,158,address+apn+permit,39,Completed,2023-03-13,2025-05-06,0,1,,0,5,0,1
apn|055-1883-026-00,2320 CHANNING,055-1883-026-00,39,description,PLN2023-0061,Closed,2023-08-24,,,,,,2026-07-08,117;183,address~10,22,Entitled,2022-11-01,,0,0,,1,1,0,0
apn|055-1881-018-00,2442 HASTE St,055-1881-018-00,38,cpra_UnitsAdded,PLN2024-0009;DRCP2024-0008;ZP2024-0070;DRCF2025-0003,Approved,2025-12-19,B2025-03529;B2026-03747,Issued,2026-09-01,2026-05-20,,2026-07-08,124,address+apn+permit,34,Under Construction,,,0,1,,1,6,0,0
addr|1601|oxford,1601 OXFORD St,,37,description,ZP2018-0035,Approved,2018-02-16,,,,,,2026-09-21,904,address,37,Completed,,2022-03-09,0,0,,0,1,0,0
addr|2028|bancroft,2028 BANCROFT Way,,37,description,DRCP2017-0012;ZP2017-0103;DRCF2020-0002,Approved,2020-03-05,,,,,,2026-09-21,403,address,37,Completed,,2023-07-28,0,0,,0,3,0,0
apn|055-1880-007-00,2435 Haste,055-1880-007-00,37,description,PLN2020-0052;PLN2021-0051;ZP2021-0210,Approved,2021-11-30,,,,,,2026-09-21,124,address~10,34,Under Construction,,,0,0,,1,3,0,0
apn|056-2004-001-00,1698 UNIVERSITY AVE,056-2004-001-00,36,cpra_UnitsAdded,DRCF2015-0003,Approved,2015-03-11,B2014-05752,Finaled,2014-12-19,2017-06-20,2025-05-22,2026-07-07,175,address+apn,36,Completed,2017-06-20,2025-05-22,0,1,,0,2,0,0
apn|056-1928-001-00,2403 SAN PABLO Ave,056-1928-001-00,36,cpra_UnitsAdded,DRCF2024-0003,Approved,2024-04-08,B2024-00143,Issued,2024-01-10,2025-06-03,,2026-09-21,159,address+apn+permit,36,Under Construction,2024-01-01,,0,0,,0,2,0,0
apn|055-1848-064-00,2601 COLLEGE Ave,055-1848-064-00,36,description,,,,B2026-03665,Corrections List Issued,2026-08-26,,,2026-09-21,,,,,,,1,0,"321(2u,block);53(3u,block);348(2u,street)",0,1,0,0
addr|2614|telegraph,2614 TELEGRAPH Ave,,32,description,ZP2024-0027;DRCP2024-0002,Approved,2024-03-06,,,,,,2026-09-21,37,address+permit,31,Entitled,,,0,0,,0,2,0,0
apn|055-1878-022-00,2480 BANCROFT Way,055-1878-022-00,28,cpra_UnitsAdded,PLN2022-0091;DRCP2022-0017;ZP2022-0148;DRCF2023-0005,Approved,2023-09-08,B2022-05880,Finaled,2022-12-16,2023-12-13,2025-07-10,2026-07-08,134,address+apn+permit,28,Completed,,2025-07-10,0,1,,0,5,0,0
apn|054-1784-017-00,2577 SAN PABLO Ave,054-1784-017-00,28,description,,,,B2026-03411,Under Review,2026-08-12,,,2026-09-21,,,,,,,1,0,"603(1u,block);7(223u,street)",0,1,0,0
addr|1650|alcatraz,1650 ALCATRAZ Ave,,27,description,PLN2020-0001,Closed,2020-01-03,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|056-2004-020-00,1652 UNIVERSITY Ave,056-2004-020-00,26,description,DRCP2020-0003;ZP2020-0041;PLN2022-0047;DRCP2022-0010;ZP2022-0110,Approved,2022-08-18,,,,,,2026-07-08,,,,,,,1,1,"175(36u,block);152(207u,street);40(16u,street)",0,5,0,0
apn|058-2181-027-00,1773 OXFORD St,058-2181-027-00,24,cpra_UnitsAdded,ZP2022-0062,Approved,2022-05-10,B2023-02354,Finaled,2023-05-08,2023-11-13,2025-05-21,2026-07-08,174,address+apn+permit,24,Completed,2023-11-13,2025-05-21,0,1,,0,2,0,0
apn|052-1557-001-00,2330 PRINCE ST,052-1557-001-00,23,description,ZP2026-0040,In Review,2026-03-20,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|055-1865-014-01,2437 WARRING STREET,055-1865-014-01,23,description,PLN2026-0115,Under Review,2026-04-30,,,,,,2026-09-21,52,address+apn,4,In Review,,,0,0,,1,1,0,0
addr|2236|channing,2236 CHANNING Way,,22,description,ZP2017-0015,Approved,2017-02-03,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|055-1878-004-00,2439 DURANT Ave,055-1878-004-00,22,description,DRCP2021-0018;ZP2021-0192;PLN2021-0066,Pending,2021-12-08,,,,,,2026-09-21,,,,,,,1,0,"116(66u,block);5(117u,block);134(28u,block)",0,3,0,0
addr|2417|carleton,2417 CARLETON St,,19,description,PLN2023-0084,Closed,2023-12-01,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|057-2086-013-00,1173 Hearst,057-2086-013-00,18,description,ZP2016-0028,Approved,2016-02-02,,,,,,2026-07-08,379,address+apn,2,Completed,,2023-03-15,0,1,,1,1,0,0
apn|055-1892-004-00,2344 FULTON STREET,055-1892-004-00,18,description,PLN2025-0019,Closed,2025-05-01,,,,,,2026-07-08,160,address+apn,18,In Review,,,0,0,,0,1,0,0
apn|053-1689-001-00,2800 TELEGRAPH Ave,053-1689-001-00,18,description,PLN2022-0060;DRCP2022-0009;ZP2022-0107;PLN2023-0008;DRCF2026-0003,Application Complete,2026-05-07,B2025-05618,Issued,2025-12-05,,,2026-07-08,146,address+apn,18,Under Construction,,,0,1,,0,6,0,0
addr|1790|university,1790 UNIVERSITY Ave,,17,description,PLN2022-0075;DRCP2023-0007;ZP2023-0070,Application Complete,2023-05-20,,,,,,2026-09-21,39,address+permit,17,In Review,,,0,0,,0,3,0,0
apn|055-1884-006-00,2317 CHANNING Way,055-1884-006-00,17,cpra_UnitsAdded,ZP2019-0217;PLN2020-0032;ZP2020-0090;PLN2024-0018;ZP2024-0033,Under Review,2024-03-13,B2022-04242,Issued,2022-09-12,2025-09-08,,2026-07-08,117,address+apn+permit,22,Entitled,2022-11-01,,0,1,,1,6,0,0
addr|2425|prospect,2425 PROSPECT St,,17,description,ZP2018-0144,Withdrawn,2018-07-06,,,,,,2026-09-21,192,address,1,Completed,,2024-07-10,0,0,,1,1,0,0
addr|3031|telegraph 100,3031 TELEGRAPH Ave 100,,17,description,ZP2022-0126,Approved,2022-09-23,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|057-2061-010-00,1717 UNIVERSITY Ave,057-2061-010-00,15,cpra_UnitsAdded,DRCP2016-0007;ZP2016-0101;DRCP2018-0011,Approved,2018-12-05,B2020-00206,Finaled,2020-01-17,2020-10-28,2023-04-04,2026-07-08,428,address+apn+permit,15,Completed,,2023-04-04,0,1,,0,4,0,0
apn|055-1870-003-00,2737 Durant Avenue,055-1870-003-00,15,description,PLN2016-0007;ZP2020-0016,Approved,2020-02-05,,,,,,2026-07-08,299,address+apn,4,Completed,,2025-07-07,0,1,,1,2,0,0
apn|056-1945-006-00,2340 FIFTH St,056-1945-006-00,14,cpra_UnitsAdded,,,,B2018-02291,Finaled,2018-06-12,2019-05-30,2022-05-13,2026-07-08,465;905,address+apn+permit,4,Completed,,2023-03-28,0,0,,1,1,0,0
apn|055-1883-027-00,2328 CHANNING Way,055-1883-027-00,13,cpra_UnitsAdded,ZP2020-0052,Approved,2020-06-05,B2022-05957,Issued,2022-12-21,2024-09-05,,2026-09-21,183,address+apn+permit,,Permitted,2024-09-05,,0,0,,0,2,0,0
apn|056-2011-022-00,1740 UNIVERSITY Ave,056-2011-022-00,12,description,ZP2025-0079,Approved,2025-08-19,B2026-03396,Under Review,2026-08-11,,,2026-07-08,42,address+apn+permit,12,Entitled,,,0,1,,0,2,0,0
addr|2018|blake,2018 BLAKE St,,12,description,ZP2021-0095,Approved,2021-06-02,,,,,,2026-09-21,148,address,12,Permitted,,,0,0,,0,1,0,0
apn|055-1832-007-02,2336 BLAKE St,055-1832-007-02,12,description,,,,B2026-03426,Corrections List Issued,2026-08-12,,,2026-09-21,184,address~10,,Permitted,2025-07-30,,0,0,,0,1,0,0
apn|055-1847-020-00,2555 COLLEGE Ave,055-1847-020-00,12,cpra_UnitsAdded,PLN2021-0067;ZP2022-0019,Approved,2022-02-04,B2023-02975,Finaled,2023-06-09,2024-04-26,2025-07-25,2026-07-08,161,address+apn+permit,12,Completed,2024-04-26,2025-07-25,0,0,,0,3,0,0
addr|2709|channing,2709 CHANNING Way,,12,description,PLN2026-0118,Under Review,2026-04-07,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
addr|1650|shattuck,1650 SHATTUCK Ave,,11,description,PLN2019-0020,Closed,2019-04-26,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|055-1896-021-00,2012 CHANNING Way,055-1896-021-00,11,cpra_UnitsAdded,,,,B2025-03731,Finaled,2025-09-02,2025-09-03,2025-12-04,2026-07-08,,,,,,,1,0,"176(40u,block);13(132u,block)",0,1,0,0
apn|056-1926-028-00,1130 BANCROFT Way,056-1926-028-00,10,description,,,,B2026-01302,Approved w/Conditions,2026-03-31,,,2026-09-21,,,,,,,1,0,"748(1u,block);334(1u,block)",0,1,0,0
addr|1850|arch,1850 ARCH St,,10,description,ZP2019-0212,Approved,2019-12-20,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|058-2182-019-01,1862 ARCH St,058-2182-019-01,10,description,ZP2019-0213,Approved,2019-12-20,B2026-01187,Issued,2026-03-23,,,2026-09-21,,,,,,,1,0,,0,2,0,0
apn|055-1831-029-00,2336 DWIGHT,055-1831-029-00,10,description,PLN2026-0035;ZP2026-0091,Under Review,2026-09-15,,,,,,2026-07-08,,,,,,,1,1,,0,2,0,0
apn|055-1837-003-00,2597 TELEGRAPH Ave,055-1837-003-00,10,cpra_UnitsAdded,DRCP2015-0002;ZP2015-0018,Withdrawn,2015-01-27,B2017-01850,Finaled,2017-05-03,2018-08-09,2021-11-10,2026-07-08,898,address+apn+permit,10,Completed,,2021-11-10,0,1,,0,3,0,0
addr|2747|san pablo,2747 SAN PABLO Ave,,10,description,PLN2015-0016;ZP2015-0115,Withdrawn,2015-05-15,,,,,,2026-09-21,,,,,,,1,0,"36(152u,street);16(113u,street)",0,2,0,0
apn|056-1958-003-01,2200 FIFTH ST,056-1958-003-01,8,description,PLN2026-0083,Closed,2026-03-19,,,,,,2026-07-08,45,address+apn,8,Withdrawn,,,0,0,,0,1,0,0
apn|058-2181-017-00,2235 HEARST Ave,058-2181-017-00,8,cpra_UnitsAdded,,,,B2024-04593,Finaled,2024-09-23,2024-09-27,2024-11-25,2026-07-08,437,address~10,1,Completed,,,0,0,,1,1,0,0
apn|052-1545-031-00,1632 Prince,052-1545-031-00,7,description,ZP2019-0084,Withdrawn,2019-05-07,,,,,,2026-07-08,714,address+apn,1,Completed,,2021-11-09,0,0,,1,1,0,0
addr|2215|cedar,2215 CEDAR St,,7,description,ZP2017-0133,Approved,2017-08-08,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|059-2275-016-00,1745 CEDAR St,059-2275-016-00,6,description,PLN2025-0047;PLN2025-0040,Closed,2025-06-27,,,,,,2026-07-08,46,address+apn,6,In Review,,,0,0,,0,2,0,0
addr|1850|berryman,1850 BERRYMAN St,,6,description,ZP2023-0063;PLN2025-0050;PLN2025-0052,Under Review,2025-08-01,B2025-05624,Corrections List Issued,2025-12-08,,,2026-09-21,47,address+permit,6,In Review,,,0,0,,0,4,0,0
apn|057-2023-017-01,2002 ADDISON St,057-2023-017-01,6,cpra_UnitsAdded,ZP2015-0135,Approved,2015-06-10,B2016-03148,Finaled,2016-07-01,2018-02-01,2018-08-28,2026-07-08,889,address+apn+permit,6,Completed,,2018-08-28,0,1,,0,2,0,0
apn|052-1583-004-00,2212 ASHBY Ave,052-1583-004-00,6,description,,,,B2024-01675,Finaled,2024-04-08,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|055-1832-026-01,2330 BLAKE St,055-1832-026-01,6,cpra_UnitsAdded,,,,B2025-00168,Issued,2025-01-14,2025-07-30,,2026-09-21,184,address+apn+permit,,Permitted,2025-07-30,,0,0,,0,1,0,0
addr|2371|san pablo,2371 SAN PABLO Ave,,6,description,ZP2019-0089,Closed,2019-05-15,,,,,,2026-09-21,,,,,,,1,0,"159(36u,street);126(78u,street)",0,1,0,0
apn|055-1845-019-00,2649 BENVENUE Ave,055-1845-019-00,6,description,,,,B2025-02762,Issued,2025-07-03,,,2026-09-21,,,,,,,1,0,"348(2u,block);84(0u,street)",0,1,0,0
apn|055-1867-017-00,2716 HASTE St,055-1867-017-00,6,description,,,,B2024-01060,Closed Expired,2024-03-08,,,2026-09-21,,,,,,,1,0,"335(1u,block);114(45u,street)",0,1,0,0
apn|057-2065-024-00,1720 Delaware Street,057-2065-024-00,5,description,ZP2018-0014,Approved,2018-01-19,,,,,,2026-07-08,,,,,,,1,1,,0,1,0,0
apn|057-2089-009-05,1922 TENTH,057-2089-009-05,5,description,PLN2026-0147,Under Review,2026-06-24,,,,,,2026-09-21,,,,,,,1,0,"398(1u,block)",0,1,0,0
apn|055-1898-029-00,1940 Haste,055-1898-029-00,5,description,ZP2015-0168,Withdrawn,2015-07-08,,,,,,2026-07-08,726,address~10,1,Completed,,2021-10-22,0,0,,1,1,0,0
apn|056-2007-032-00,2217 CALIFORNIA St,056-2007-032-00,5,description,,,,B2026-01944,Finaled,2026-05-11,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|052-1572-006-00,2918 FLORENCE St,052-1572-006-00,5,cpra_UnitsAdded,,,,B2025-00752,Corrections List Issued,2025-02-25,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|052-1562-010-00,3020 College Avenue,052-1562-010-00,5,description,ZP2019-0093,Approved,2019-05-21,,,,,,2026-07-08,480,address~10,1,Completed,,2018-06-14,0,1,,1,1,0,0
apn|056-1979-023-01,1122 UNIVERSITY Ave,056-1979-023-01,4,description,,,,B2026-03975,Under Review,2026-09-15,,,2026-09-21,,,,,,,1,0,,0,1,0,0
addr|1711|m l king jr,1711 M L KING JR Way,,4,description,ZP2017-0179,Approved,2017-11-17,,,,,,2026-09-21,624,address,1,Completed,,2019-05-30,0,0,,1,1,0,0
apn|053-1601-016-00,1841 PRINCE St,053-1601-016-00,4,cpra_UnitsAdded,,,,B2022-06004,Finaled,2022-12-22,2022-12-23,2023-12-13,2026-07-08,,,,,,,1,0,"441(1u,block)",0,1,0,0
apn|055-1905-030-00,2319 ROOSEVELT Ave,055-1905-030-00,4,description,,,,B2018-01151,Issued,2018-03-24,,,2026-09-21,,,,,,,1,0,"74(1u,block)",0,1,0,0
apn|052-1573-078-02,2420 Ashby,052-1573-078-02,4,description,ZP2024-0147,In Review,2024-10-08,,,,,,2026-09-21,50,address+apn+permit,4,In Review,,,0,0,,0,1,0,0
addr|2701|prince,2701 PRINCE St,,4,description,ZP2016-0072,Approved,2016-04-13,,,,,,2026-09-21,,,,,,,1,0,"508(1u,street);509(1u,street)",0,1,0,0
apn|054-1709-028-00,2705 BENVENUE,054-1709-028-00,4,description,ZP2025-0086,Approved,2025-09-05,,,,,,2026-07-08,84,address+apn,0,Completed,,,0,1,,1,1,0,0
addr|2714|alcatraz,2714 ALCATRAZ Ave,,4,description,ZP2018-0034,Approved,2018-02-16,,,,,,2026-09-21,439,address~10,1,Completed,,2023-03-28,0,0,,1,1,0,0
addr|2727|san pablo,2727 SAN PABLO Ave,,4,description,ZP2022-0033,Closed,2022-03-01,,,,,,2026-09-21,16;36,address~10,113,In Review,,,0,0,,1,1,0,0
addr|2795|san pablo,2795 SAN PABLO Ave,,4,description,PLN2018-0029;ZP2019-0048,Approved,2019-03-15,,,,,,2026-09-21,,,,,,,1,0,"127(1u,street)",0,2,0,0
apn|053-1658-005-03,2812 EIGHTH STREET,053-1658-005-03,4,description,PLN2025-0058,Under Review,2025-09-11,,,,,,2026-09-21,61,address+apn,3,In Review,,,0,0,,0,1,0,0
addr|2817|8th,2817 EIGHTH St,,4,description,ZP2015-0204,Approved,2015-09-24,,,,,,2026-09-21,513,address,4,Completed,,2018-09-06,0,0,,0,1,0,0
addr|3014|college,3014 COLLEGE Ave,,4,description,ZP2016-0214,Approved,2016-10-27,,,,,,2026-09-21,480,address~10,1,Completed,,2018-06-14,0,0,,1,1,0,0
apn|053-1660-024-00,1025 HEINZ Ave,053-1660-024-00,3,cpra_UnitsAdded,,,,B2023-00117,Finaled,2023-01-12,2023-01-24,2024-11-19,2026-07-08,202,apn+permit,3,Completed,,2024-11-07,0,0,,0,1,0,0
addr|1629|stuart a,1629 STUART St A,,3,description,ZP2018-0127,Approved,2018-06-20,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|057-2063-011-00,1825 Berkeley Way,057-2063-011-00,3,description,ZP2018-0085,Approved,2018-05-03,,,,,,2026-07-08,426,address+apn,1,Completed,,2022-03-11,0,1,,1,1,0,0
apn|057-2063-007-00,1837 BERKELEY Way,057-2063-007-00,3,cpra_UnitsAdded,,,,B2022-01345,Finaled,2022-03-28,2023-03-09,2024-12-03,2026-07-08,226,address+apn+permit,3,Completed,,2021-04-06,0,0,,0,1,0,0
apn|059-2268-005-00,1920 Vine Street,059-2268-005-00,3,description,ZP2019-0172,Approved,2019-10-18,,,,,,2026-07-08,,,,,,,1,1,"468(2u,block,=units)",0,1,0,0
apn|056-2012-008-00,2112 GRANT St,056-2012-008-00,3,description,,,,B2026-03505,Issued,2026-08-18,,,2026-09-21,,,,,,,1,0,"520(1u,block);614(1u,block);94(1u,street)",0,1,0,0
apn|055-1830-015-00,2200 DWIGHT Way,055-1830-015-00,3,cpra_UnitsAdded,,,,B2021-03292,Closed Expired,2021-07-23,2022-12-06,,2026-07-08,66,address~10,2,In Review,,,0,0,,0,1,0,0
addr|2225|hearst,2225 HEARST Ave,,3,description,PLN2021-0045,Pending,2021-09-15,,,,,,2026-09-21,437,address,1,Completed,,,0,0,,1,1,0,0
apn|056-1943-020-00,2421 FIFTH St,056-1943-020-00,3,cpra_UnitsAdded,DRSL2020-0007;ZP2020-0043,Approved,2020-05-13,B2021-04907,Issued,2021-10-27,2024-04-18,,2026-09-21,427;512,address~10,2,Completed,,2023-03-13,0,0,,0,3,0,0
addr|2930|m l king jr jr,2930 M L KING JR WAY JR WAY,,3,description,PLN2026-0177,Under Review,2026-08-21,,,,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|052-1542-017-00,3101 SACRAMENTO STREET,052-1542-017-00,3,description,ZP2025-0069,Pending Final Action,2025-07-28,,,,,,2026-09-21,57,address+apn,3,In Review,,,0,0,,0,1,0,0
apn|063-2969-034-37,,063-2969-034-37,2,cpra_UnitsAdded,,,,B2019-05488,Finaled,2019-12-18,2020-09-08,2022-08-08,2026-07-08,828,apn+permit,2,Completed,,2022-08-08,0,0,,0,1,1,0
apn|059-2287-020-00,0 VIRGINIA St 94702,059-2287-020-00,2,cpra_UnitsAdded,,,,B2025-02283,Issued,2025-06-04,2025-10-10,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|053-1661-003-03,1030 GRAYSON St,053-1661-003-03,2,cpra_UnitsAdded,ZP2015-0141;DRSL2015-0027,Approved,2015-10-15,B2017-03295,Finaled,2017-07-28,2018-02-01,2018-10-17,2026-07-08,492,address,2,Completed,,2018-10-17,0,1,,0,3,0,0
apn|057-2086-088-00,1173 HEARST Ave,057-2086-088-00,2,cpra_UnitsAdded,,,,B2024-01117,Issued,2024-03-12,2025-02-25,,2026-09-21,379,address+apn,2,Completed,,2023-03-15,0,0,,0,1,0,0
apn|054-1787-022-00,1220 Carleton Street,054-1787-022-00,2,description,ZP2017-0070,Approved,2017-05-05,,,,,,2026-07-08,385,address~10,1,Completed,,2023-10-23,0,1,,0,1,0,0
apn|060-2429-024-00,1300 MONTEREY Ave,060-2429-024-00,2,cpra_UnitsAdded,,,,B2024-00824,Finaled,2024-02-22,2024-07-23,2025-10-21,2026-07-08,343,address+apn+permit,2,Completed,,2025-10-21,0,0,,0,1,0,0
apn|060-2487-031-00,131 AVENIDA Dr,060-2487-031-00,2,cpra_UnitsAdded,,,,B2022-03366,Finaled,2022-07-20,2022-11-08,2023-08-15,2026-07-08,402,address+apn+permit,2,Completed,,2023-08-15,0,0,,0,1,0,0
apn|053-1623-012-01,1331 ASHBY Ave,053-1623-012-01,2,cpra_UnitsAdded,,,,B2018-05100,Issued (CPRA; not in census),2018-12-21,2023-04-04,,2026-07-07,,,,,,,1,0,,0,1,0,0
apn|056-1995-010-01,1341 ADDISON STREET,056-1995-010-01,2,description,ZP2022-0089,Approved,2022-06-27,,,,,,2026-07-08,190,address+apn,2,Completed,,2024-10-16,0,1,,0,1,0,0
apn|052-1540-020-01,1400 SIXTY-SEVENTH St,052-1540-020-01,2,description,,,,B2026-03321,Issued,2026-08-06,,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|054-1794-014-01,1403 CARLETON St,054-1794-014-01,2,cpra_UnitsAdded,,,,B2023-04424,Finaled,2023-08-28,2024-08-21,2026-03-27,2026-07-08,,,,,,,1,0,"759(1u,block,=units)",0,1,0,0
apn|056-1998-040-00,1423 ACROFT Ct,056-1998-040-00,2,cpra_UnitsAdded,,,,B2023-01905,Finaled,2023-04-17,2023-04-17,2024-02-23,2026-07-08,266,address+apn+permit,2,Completed,,,0,0,,0,1,0,0
apn|059-2249-030-02,1471 SCENIC AVE,059-2249-030-02,2,cpra_UnitsAdded,,,,B2014-01391,Finaled,2014-03-28,,2026-02-24,2026-07-07,,,,,,,1,0,"650(1u,block,=units)",0,1,0,0
apn|052-1536-011-00,1515 HARMON St,052-1536-011-00,2,cpra_UnitsAdded,,,,B2022-03494,Finaled,2022-07-28,2022-12-06,2025-05-13,2026-07-08,302,address+apn+permit,2,Completed,,2025-05-13,0,0,,0,1,0,0
apn|058-2245-009-03,1581 LE ROY Ave,058-2245-009-03,2,cpra_UnitsAdded,,,,B2020-03077,Issued,2020-09-15,2021-07-13,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|057-2069-024-00,1636 Hearst,057-2069-024-00,2,description,ZP2018-0075,Approved,2018-04-17,,,,,,2026-07-08,,,,,,,1,1,,0,1,0,0
apn|058-2179-008-00,1650 OXFORD St,058-2179-008-00,2,cpra_UnitsAdded,,,,B2024-02435,Issued,2024-05-16,2024-11-12,,2026-09-21,,,,,,,1,0,"274(2u,street,=units);904(37u,street)",0,1,0,0
apn|058-2187-019-00,1677 ARCH St,058-2187-019-00,2,cpra_UnitsAdded,,,,B2021-03071,Finaled,2021-07-13,2021-11-16,2022-04-20,2026-07-08,864,address+apn+permit,2,Completed,,2022-04-20,0,0,,0,1,0,0
apn|058-2183-015-00,1683 OXFORD St,058-2183-015-00,2,cpra_UnitsAdded,,,,B2021-02315,Finaled,2021-06-04,2022-08-08,2024-07-24,2026-07-08,274,address+apn+permit,2,Completed,,2024-07-24,0,0,,0,1,0,0
apn|058-2123-019-00,1729 EIGHTH St,058-2123-019-00,2,cpra_UnitsAdded,,,,B2024-03463,Issued,2024-07-15,2025-08-11,,2026-09-21,,,,,,,1,0,"830(1u,block,=units)",0,1,0,0
apn|058-2150-003-00,1732 CALIFORNIA St,058-2150-003-00,2,cpra_UnitsAdded,,,,B2024-02212,Issued,2024-05-06,2024-12-30,,2026-09-21,,,,,,,1,0,,0,1,0,0
apn|052-1527-011-00,1811 SIXTY-THIRD St,052-1527-011-00,2,cpra_UnitsAdded,,,,B2019-03765,Finaled,2019-09-05,2020-01-28,2021-09-16,2026-07-08,783,apn+permit,2,Completed,,2021-09-01,0,0,,0,1,0,0
apn|057-2095-013-02,1817 SIXTH St,057-2095-013-02,2,cpra_UnitsAdded,,,,B2021-00200,Closed Expired,2021-01-15,2021-08-25,,2026-07-08,,,,,,,1,0,,0,1,0,0
