project_id,address,units,v2_status,flag,reason,co_evidence_date,n_census_building_permits,new_construction_permits,latest_building_status,planning_records,planning_statuses,live_planning,assessor_imps,apn,years_since_filing,address_matched_census
136,1951 Shattuck Ave,163,Completed,ok,,2024-10-24,30,B2019-05608;B2021-04893;B2021-05057;B2019-05608-REV01,Issued,ZP2018-0137;DRCP2018-0005;DRCF2021-0006,Approved,3,71848800.0,057-2046-001-00,8,1
895,1500 SAN PABLO Ave,159,Completed,ok,,,15,B2017-01855;B2017-01855-DEF01;B2017-01855-REV02;B2017-01855-DEF04,Finaled,ZP2015-0043;DRCP2015-0004;PLN2017-0048,Approved;Closed,2,88277140.0,059-2310-009-00,11,1
11,1581 UNIVERSITY Ave,158,In Review,ok,,,7,,Finaled,DRSA2024-0004,Approved,1,607427.0,057-2071-006-01,2,1
12,2115 KITTREDGE St,148,In Review,ok,,,1,,Finaled,,,0,662054.0,057-2030-009-00,2,1
150,3030 TELEGRAPH Ave,144,Completed,ok,,2026-04-16,19,B2023-06416;B2023-06416-REV01;B2023-06416-REV02;B2023-06416-DEF06,Finaled,DRCF2024-0001,Approved,1,17599999.0,052-1576-027-01,3,1
901,2012 BERKELEY Way,142,Completed,ok,,2022-09-21,17,B2019-02922;B2019-03862;B2019-03862-REV01;B2019-02922-REV01,Issued,,,0,,057-2053-022-01,9,1
5,2425 DURANT Ave,117,Entitled,ok,,,1,,Closed Expired,,,0,3037952.0,055-1878-007-01,1,1
896,2580 BANCROFT Way,117,Completed,ok,,2021-10-05,34,B2018-02807;B2019-00478;B2019-01726;B2019-02829,Issued,PLN2015-0025,Closed,0,107818703.0,055-1877-019-02,9,1
173,2000 DWIGHT Way,113,Completed,ok,,2025-06-17,28,B2021-02404;B2021-02404-DEF03;B2021-02404-DEF02;B2021-02404-DEF01,Issued,DRCP2019-0005;ZP2019-0074,Approved;Void,1,48919200.0,055-1822-019-02,7,1
15,2109 VIRGINIA St,110,Entitled,ok,,,0,,,,,0,131416.0,058-2178-018-00,2,0
122,2530 BANCROFT Way,110,Entitled,ok,,,2,,Closed Expired,,,0,208080.0,055-1877-016-01,2,1
153,1701 SAN PABLO Ave,110,Under Construction,ok,,,11,B2024-02966;B2024-02966-DEF01;B2024-02966-DEF02;B2024-02966-DEF03,Issued,,,0,0,058-2129-017-00,2,1
914,2451 Shattuck Ave,100,Completed,ok,,,6,,Issued,,,0,42890975.0,055-1890-013-02,,1
18,2655 SHATTUCK Ave,97,Entitled,ok,,,0,,,,,0,3711480.0,055-1826-018-02,2,0
467,2100 San Pablo Ave,96,Completed,ok,,,0,,,,,0,,056-1977-006-05,10,0
19,2450 SHATTUCK Ave,94,In Review,ok,,,0,,,,,0,3396488.0,055-1897-006-00,2,0
911,2116 Allston Way,91,Completed,ok,,2021-10-29,7,B2020-02394;B2020-02394-REV03,Issued,,,0,41422542.0,057-2030-002-00,,1
20,2036 BANCROFT Way,87,In Review,ok,,,1,,Finaled,,,0,8996202.0,055-1894-017-04,2,1
154,2001 ASHBY Ave,87,Completed,ok,,2025-02-24,23,B2021-02905;B2021-02905-DEF01;B2021-02905-REV02;B2021-02905-DEF03,Finaled,,,0,717644.0,053-1591-014-01,6,1
404,2590 Bancroft Way,87,Completed,ok,,,11,B2020-02831;B2020-02831-REV01;B2020-02831-DEF02;B2020-02831-DEF03,Issued,DRCF2020-0005;ZP2020-0029;DRSA2023-0008;ZCBL2023-0237,Approved,4,46401840.0,055-1877-001-00,7,1
155,1700 SACRAMENTO St,85,In Review,ok,,,0,,,,,0,1016287.0,058-2151-001-00,2,0
139,2538 DURANT Ave,83,Completed,ok,,2026-04-14,18,B2023-02332-REV07;B2023-02332;B2023-02332-REV01;B2024-06011,Ready To Issue,DRCP2022-0007;ZP2022-0097;PLN2022-0065;DRCF2023-0003,Approved;Closed,3,23000000.0,055-1876-021-01,2,1
137,2000 University Ave,82,Completed,ok,,2024-04-09,6,B2021-05812;B2022-01111,Finaled,,,0,,057-2025-013-00,6,1
899,2035 BLAKE St,82,Completed,ok,,2022-04-20,21,B2016-00895;B2016-00895-REV01;B2016-00895-REV02;B2016-00895-REV03,Issued,,,0,61347235.0,055-1822-009-01,,1
145,1708 HARMON St,80,Permitted,ok,,,3,B2024-05354,Under Review,,,0,,052-1533-001-03,2,1
34,2680 BANCROFT Way,79,Entitled,ok,,,6,,Finaled,,,0,627967.0,055-1871-001-03,2,1
126,2427 San Pablo,78,Completed,ok,,,3,,Finaled,,,0,701740.0,056-1928-022-00,3,1
168,3000 SAN PABLO Ave,78,Completed,ok,,2023-06-05,7,B2020-04316;B2020-04316-REV01;B2020-04316-REV02;B2020-04316-DEF07,Issued,DRCP2019-0013;ZP2019-0155;DRCF2021-0002,Approved,3,25044320.0,053-1633-001-07,,1
897,2628 SHATTUCK Ave,78,Completed,ok,,2021-07-16,12,B2019-01150;B2019-01950;B2019-01150-REV01;B2019-01950-DEF02,Issued,DRCF2019-0004;DRCP2018-0001;ZP2018-0050,Approved,3,37432368.0,055-1819-009-00,,1
22,2955 SHATTUCK Ave,74,In Review,ok,,,0,,,,,0,1508329.0,053-1589-018-01,2,0
123,2037 DURANT Ave,74,Entitled,ok,,,0,,,,,0,2348720.0,055-1894-002-00,2,0
96,2099 M L KING JR Way,72,Completed,ok,,2024-05-17,25,B2021-03950;B2021-03950-REV01;B2021-03950-REV02;B2021-03950-DEF03,Finaled,,,0,32252400.0,057-2024-013-00,7,1
156,2550 SHATTUCK Ave,72,Entitled,ok,,,0,,,,,0,2639067.0,055-1821-001-01,1,0
164,1752 SHATTUCK Ave,72,Completed,ok,,2026-05-26,16,B2023-00774;B2023-00774-REV01;B2023-00774-DEF02;B2023-00774-REV03,Issued,DRCF2023-0001,Approved,1,9899999.0,058-2176-001-01,4,1
913,2002 Acton St,71,Completed,ok,,,0,,,,,0,18649014.0,056-1995-028-01,,0
23,2326 DURANT Ave,70,In Review,ok,,,0,,,,,0,4501.0,055-1884-016-00,2,0
890,2539 TELEGRAPH Ave,70,Completed,ok,,2019-09-30,14,B2016-03471;B2016-03471-REV02;B2016-03471-REV03;B2016-03471-REV05,Issued,DRCF2016-0004;PLN2017-0052;DRSA2018-0020,Approved;Closed,2,42827306.0,055-1839-020-00,,1
147,2300 ELLSWORTH St,69,Under Construction,ok,,,10,B2024-05944-REV01;B2024-05944;B2025-04471;B2024-05944-DEF02,Ready To Issue,,,0,,055-1886-001-00,3,1
24,2330 DURANT Ave,68,In Review,ok,,,1,,Closed Expired,,,0,38012.0,055-1884-017-00,1,1
25,2455 TELEGRAPH Ave,68,In Review,ok,,,0,,,,,0,607701.0,055-1875-029-00,0,0
902,2111 UNIVERSITY AVE,68,Completed,ok,,2022-03-04,15,B2015-03005;B2015-03005-REV01;B2015-03005-REV02;B2015-03005-REV03,Issued,,,0,40494823.0,057-2046-011-01,,1
182,2072 Addison St,66,Completed,ok,,2023-07-18,8,B2018-04293;B2018-04293-REV01;B2018-04293-REV02;B2018-04293-REV03,Issued,DRCP2016-0002;ZP2016-0020;ZP2018-0200;DRCF2019-0001,Approved,4,28090804.0,057-2023-025-00,,1
26,2298 DURANT Ave,65,In Review,ok,,,4,,Pending Payment,ZP2026-0039,In Review,1,10404.0,055-1887-001-00,1,1
27,2441 LE CONTE Ave,65,Completed,ok,,,1,,Finaled,,,0,1182430.0,058-2193-006-00,3,1
166,3031 ADELINE St,64,In Review,ok,,,1,,Finaled,DRCP2017-0009,Approved,1,654000.0,053-1595-009-03,,1
28,2372 ELLSWORTH St,63,Entitled,ok,,,2,B2025-05654,Corrections List Issued,ZCBL2022-0442,Approved,1,1573285.0,055-1887-003-00,2,1
228,2527 SAN PABLO Ave,63,Completed,ok,,,0,,,,,0,8635320.0,054-1781-015-01,,0
30,2001 CENTER St,58,In Review,ok,,,2,,Finaled,ZCBP2015-1103;PLN2015-0028,Approved;Closed,1,4250000.0,057-2023-013-00,0,1
144,2127 DWIGHT Way,58,Withdrawn,ok,,,1,,Finaled,,,0,22697000.0,055-1890-012-01,2,1
31,2712 TELEGRAPH Ave,57,In Review,ok,,,2,B2025-05635,Under Review,,,0,108242.0,054-1714-005-01,0,1
219,2701 Shattuck Ave,57,Completed,ok,,2024-07-18,10,B2020-01991;B2020-01991-REV01;B2020-01991-DEF05;B2020-01991-DEF04,Finaled,DRCF2020-0004,Approved,1,17630190.0,054-1719-039-00,,1
894,2631 DURANT Ave,56,Completed,ok,,,15,B2016-05821;B2016-05821-DEF03;B2016-05821-DEF02;B2016-05821-DEF01,Finaled,,,0,44703946.0,055-1871-006-00,,1
910,1910 Oxford St,56,Completed,ok,,,5,,Issued,DRSA2021-0008,Approved,1,27967816.0,057-2047-002-01,,1
32,1740 SAN PABLO Ave,54,Permitted,ok,,,4,B2022-05881,Under Review,,,0,1115.0,058-2127-014-03,3,1
143,2902 ADELINE St,54,Withdrawn,ok,,,13,B2021-04232;B2025-01468;B2021-04232-DEF01;B2021-04232-REV02,Under Review,DRCP2015-0019;DRCF2021-0005,Approved,2,,053-1598-006-00,2,1
157,2587 TELEGRAPH Ave,52,Withdrawn,ok,,,11,B2024-03583;B2024-04602;B2024-03583-REV01;B2024-03583-DEF02,Issued,,,0,18000000.0,055-1839-019-01,2,1
141,2016 ASHBY Ave,50,Withdrawn,ok,,,3,B2024-01268,Under Review,,,0,,053-1592-020-00,2,1
466,2067 University Ave,50,Completed,ok,,2023-08-10,15,B2017-02610-REV07;B2017-02610;B2017-02610-REV01;B2017-02610-REV02,Issued,DRCP2015-0023;ZP2015-0266;DRCF2017-0006,Approved,3,13004992.0,057-2053-005-00,,1
892,2124 BANCROFT Way,50,Completed,ok,,2019-11-15,10,B2016-04483;B2016-04483-REV01;B2016-04483-REV02;B2016-04483-DEF03,Issued,,,0,624400.0,055-1893-018-00,,1
142,2350 TELEGRAPH Ave,48,In Review,ok,,,1,,Finaled,,,0,4624085.0,055-1879-001-00,2,1
380,2023 Shattuck Ave,48,Completed,ok,,,9,B2020-03911;B2020-03911-REV01;B2020-03911-DEF02;B2020-03911-REV03,Issued,DRCF2021-0003,Approved,1,,057-2034-008-00,,1
91,2009 ADDISON St,45,Completed,ok,,2023-04-04,19,B2019-02956;B2021-00414;B2019-02956-REV01;B2019-02956-REV02,Issued,,,0,20852579.0,057-2025-023-00,2,1
114,2727 HASTE St,45,In Review,ok,,,0,,,,,0,860383.0,055-1868-005-00,0,0
172,2650 TELEGRAPH Ave,45,Completed,ok,,2025-06-16,14,B2021-02225;B2021-02225-REV01;B2021-02225-DEF02;B2021-02225-DEF04,Issued,DRSA2025-0003,Approved,1,13293150.0,055-1835-009-01,7,1
893,2526 DURANT AVE,44,Completed,ok,,,5,,Issued,,,0,18076326.0,055-1876-017-00,,1
916,2119 University Ave,44,Completed,ok,,,0,,,,,0,18289246.0,057-2046-009-00,,0
167,2435 SAN PABLO Ave,40,In Review,ok,,,2,,Issued,,,0,3630180.0,056-1928-020-01,,1
176,2440 SHATTUCK Ave,40,Completed,ok,,2025-03-06,24,B2022-02525;B2022-02525-REV01;B2022-05117;B2022-02525-DEF04,Issued,ZCBP2015-0851,Approved,1,15076800.0,055-1896-005-00,4,1
38,2449 DWIGHT Way,39,Under Construction,ok,,,4,,Under Review,DRCF2026-0001,Approved,1,2900474.0,055-1881-004-00,4,1
158,1367 UNIVERSITY Ave,39,Completed,ok,,2025-05-06,9,B2022-04366;B2022-04366-REV01;B2022-04366-REV02;B2022-04366-DEF03,Finaled,PLN2019-0021;DRCF2021-0010,Approved;Closed,1,4122330.0,057-2073-005-00,2,1
403,2028 Bancroft Way,37,Completed,ok,,,5,B2019-04686,Issued,,,0,18207000.0,055-1894-015-01,,1
904,1601 OXFORD St,37,Completed,ok,,,14,B2019-05475;B2019-05475-REV01;B2019-05475-DEF02;B2019-05475-DEF03,Issued,,,0,,058-2183-001-00,,1
175,1698 UNIVERSITY Ave,36,Completed,ok,,,11,B2014-05752-REV01;B2014-05752-REV02;B2014-05752-REV03;B2014-05752-REV04,Issued,DRCF2015-0003;PLN2020-0020,Approved;Closed,1,10347390.0,056-2004-001-00,11,1
900,2145 UNIVERSITY AVE,35,Completed,ok,,,17,B2015-02998;B2015-02998-REV01;B2015-02998-REV02;B2015-02998-DEF03,Issued,,,0,,057-2046-008-02,,1
915,2004 University Ave,35,Completed,ok,,,0,,,,,0,13980003.0,057-2025-014-00,,0
124,2442 HASTE St,34,Under Construction,ok,,,7,B2025-03529;B2026-03747,Under Review,,,0,1494640.0,055-1881-018-00,2,1
37,2614 TELEGRAPH Ave,31,Entitled,ok,,,0,,,,,0,891408.0,055-1836-008-02,2,0
