project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
219,2701 Shattuck Ave,57,Completed,2024-07-18,2024-07-18,agrees,0,1,1,0,B2020-01991=2024-07-18,Approved;Cancelled;Partially Approved;Rescheduled;Site Cancellation
892,2124 BANCROFT Way,50,Completed,2019-11-15,2019-11-15,agrees,0,1,1,0,B2016-04483=2019-11-15,Approved;Disapproved;Partially Approved;Site Cancellation
466,2067 University Ave,50,Completed,2023-08-10,2023-08-10,agrees,0,1,1,0,B2017-02610=2023-08-10,Approved;Cancelled
172,2650 TELEGRAPH Ave,45,Completed,2025-06-16,2025-06-16,agrees,0,3,1,0,B2021-02225=2025-06-16,Approved;Cancelled;Disapproved;Site Cancellation
176,2440 SHATTUCK Ave,40,Completed,2025-03-05,2025-03-06,agrees,1,5,3,1,B2022-05117=2025-03-06;B2023-03611=2024-10-22;B2024-01853=2025-03-04,Approved;Approved;Partially Approved
158,1367 UNIVERSITY Ave,39,Completed,2025-05-06,2025-05-06,agrees,0,1,1,0,B2022-04366=2025-05-06,Approved;Partially Approved
134,2480 Bancroft Way,28,Completed,2025-07-10,2025-07-14,agrees,4,3,2,1,B2022-05880=2025-07-14;B2024-01572=2025-04-28,Approved;Cancelled;Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
174,1773 OXFORD St,24,Completed,2025-05-21,2025-05-21,agrees,0,4,3,1,B2023-02354=2025-05-21;B2023-03067=2023-10-23;B2023-04569=2025-05-12,Approved;Approved;Disapproved;Site Cancellation;Approved;Partially Approved;Site Cancellation
428,1717 University Ave,15,Completed,2023-04-04,2023-04-04,agrees,0,1,1,0,B2020-00206=2023-04-04,Approved;Cancelled;Disapproved;Partially Approved;Rescheduled;Site Cancellation
905,2340 FIFTH St,14,Completed,2022-05-13,2022-05-13,agrees,0,1,1,0,B2018-02291=2022-05-13,Approved;Disapproved;Partially Approved
161,2555 COLLEGE Ave,12,Completed,2025-07-25,2025-07-25,agrees,0,2,1,0,B2023-02975=2025-07-25,Approved;Disapproved;Partially Approved
898,2597 TELEGRAPH Ave,10,Completed,2021-11-10,2021-11-10,agrees,0,1,1,0,B2017-01850=2021-11-10,Approved;Disapproved;Partially Approved;Rescheduled
889,2002 ADDISON St,6,Completed,2018-08-28,2018-08-28,agrees,0,1,1,0,B2016-03148=2018-08-28,Approved;Disapproved
202,1027 HEINZ,3,Completed,2024-11-07,2024-11-07,agrees,0,2,1,0,B2022-02577=2024-11-07,Approved;Cancelled;Disapproved;Rescheduled
552,3046 Telegraph,2,Completed,2019-01-22,2019-01-22,agrees,0,1,1,0,B2016-01647=2019-01-22,Approved;Cancelled;Disapproved;Site Cancellation
512,2411 Fifth St,2,Completed,2018-10-30,2018-10-30,agrees,0,1,1,0,B2017-01029=2018-10-30,Approved;Cancelled;Partially Approved
841,3353 M L KING JR,2,Completed,2022-09-28,2022-09-28,agrees,0,1,1,0,B2017-02082=2022-09-28,Approved;Disapproved
468,1506 Bonita Ave,2,Completed,2023-01-31,2023-01-31,agrees,0,1,1,0,B2018-02604=2023-01-31,Approved;Disapproved
707,2815 Channing,2,Completed,2021-05-28,2021-05-28,agrees,0,1,1,0,B2018-02626=2021-05-28,Approved;Disapproved
783,1811 Sixty-Third,2,Completed,2021-09-01,2021-09-01,agrees,0,2,2,1,B2019-03765=2021-08-31;B2019-03766=2021-09-01,Approved;Approved;Disapproved
307,1812 UNIVERSITY Ave,2,Completed,2025-09-02,2025-09-02,agrees,0,1,1,0,B2019-05321=2025-09-02,Approved;Disapproved
828,0 LATHAM,2,Completed,2022-08-08,2022-08-08,agrees,0,1,1,0,B2019-05488=2022-08-08,Approved;Cancelled;Site Cancellation
420,2339 Oregon St,2,Completed,2023-03-10,2023-03-10,agrees,0,1,1,0,B2020-01498=2023-03-10,Approved;Disapproved
775,2116 Allston,2,Completed,2021-10-29,2021-10-29,agrees,0,1,1,0,B2020-02394=2021-10-29,Approved;Cancelled;Disapproved;Partially Approved
224,2233 GRANT St,2,Completed,2024-03-28,2024-03-28,agrees,0,1,1,0,B2020-02423=2024-03-28,Approved;Cancelled;Disapproved
337,2132 MCGEE Ave,2,Completed,2025-02-20,2025-02-20,agrees,0,1,1,0,B2020-03292=2025-02-20,Approved;Disapproved
396,2519 College Ave,2,Completed,2023-05-11,2023-05-11,agrees,0,1,1,0,B2021-00697=2023-05-11,Approved;Disapproved;Site Cancellation
269,2737 FOREST Ave,2,Completed,2024-03-11,2024-03-11,agrees,0,1,1,0,B2021-02307=2024-03-11,Approved;Disapproved
274,1683 Oxford St,2,Completed,2024-07-24,2024-07-24,agrees,0,1,1,0,B2021-02315=2024-07-24,Approved;Disapproved
864,1677 ARCH,2,Completed,2022-04-20,2022-04-20,agrees,0,1,1,0,B2021-03071=2022-04-20,Approved;Site Cancellation
352,1828 EUCLID Ave,2,Completed,2025-05-22,2025-05-22,agrees,0,1,1,0,B2021-03440=2025-05-22,Approved;Disapproved
445,1434 Fifth St,2,Completed,2023-09-20,2023-09-20,agrees,0,1,1,0,B2021-05365=2023-09-20,Approved
348,2618 COLLEGE Ave,2,Completed,2025-07-25,2025-07-25,agrees,0,1,1,0,B2021-05671=2025-07-25,Approved;Cancelled;Disapproved;Rescheduled
402,131 Avenida Dr,2,Completed,2023-08-15,2023-08-15,agrees,0,1,1,0,B2022-03366=2023-08-15,Approved;Disapproved
302,1515 HARMON St,2,Completed,2025-05-13,2025-05-13,agrees,0,1,1,0,B2022-03494=2025-05-13,Approved;Disapproved
200,2226 DWIGHT Way,2,Completed,2024-06-03,2024-06-03,agrees,0,1,1,0,B2022-03844=2024-06-03,Approved
294,2327 OREGON St,2,Completed,2025-02-28,2025-02-28,agrees,0,1,1,0,B2022-04721=2025-02-28,Approved;Disapproved
326,2631 REGENT St,2,Completed,2025-06-03,2025-06-03,agrees,0,1,1,0,B2023-02659=2025-06-03,Approved;Disapproved
64,1515 DERBY St,2,Completed,2025-05-23,2025-05-23,agrees,0,2,1,0,B2023-04430=2025-05-23,Approved;Disapproved
365,2227 CARLETON St,2,Completed,2025-09-10,2025-09-10,agrees,0,1,1,0,B2023-04737=2025-09-10,Approved;Cancelled;Disapproved;Rescheduled
355,2436 CHANNING Way,2,Completed,2025-06-17,2025-06-17,agrees,0,1,1,0,B2023-05281=2025-06-17,Approved;Cancelled;Disapproved;Rescheduled;Site Cancellation
286,1817 SIXTY-SECOND St,2,Completed,2025-06-24,2025-06-24,agrees,0,1,1,0,B2023-05812=2025-06-24,Approved
357,2639 REGENT St,2,Completed,2025-07-29,2025-07-29,agrees,0,1,1,0,B2023-06071=2025-07-29,Approved;Disapproved
321,2619 COLLEGE AVE,2,Completed,2025-06-24,2025-06-24,agrees,0,1,1,0,B2024-00819=2025-06-24,Approved;Cancelled;Disapproved;Rescheduled
343,1300 MONTEREY Ave,2,Completed,2025-10-21,2025-10-21,agrees,0,1,1,0,B2024-00824=2025-10-21,Approved;Disapproved
480,3011 College Ave,1,Completed,2018-06-14,2018-06-14,agrees,0,1,1,0,B2016-00729=2018-06-14,Approved;Cancelled;Disapproved
479,2915 Pine Ave,1,Completed,2018-11-27,2018-11-27,agrees,0,1,1,0,B2016-01064=2018-11-27,Approved;Disapproved;Partially Approved
510,3040 Tremont St,1,Completed,2018-03-22,2018-03-22,agrees,0,1,1,0,B2016-02154=2018-03-22,Approved;Disapproved
506,2300 Ashby Ave,1,Completed,2018-03-20,2018-03-20,agrees,0,1,1,0,B2016-02420=2018-03-20,Approved;Cancelled;Disapproved
520,2135 Roosevelt Ave,1,Completed,2018-05-23,2018-05-23,agrees,0,1,1,0,B2016-02610=2018-05-23,Approved
491,2954 Russell St,1,Completed,2018-09-21,2018-09-21,agrees,0,1,1,0,B2016-02666=2018-09-21,Approved;Disapproved
591,2152 Russell,1,Completed,2019-01-11,2019-01-11,agrees,0,1,1,0,B2016-02733=2019-01-11,Approved;Cancelled;Disapproved
499,1517 Holly St,1,Completed,2018-01-05,2018-01-05,agrees,0,1,1,0,B2016-02850=2018-01-05,Approved;Partially Approved
532,905 Hearst Ave,1,Completed,2018-03-21,2018-03-21,agrees,0,1,1,0,B2016-03511=2018-03-21,Approved;Disapproved;Partially Approved
496,1234 Allston Way,1,Completed,2018-04-26,2018-04-26,agrees,0,1,1,0,B2016-03935=2018-04-26,Approved;Cancelled;Disapproved
473,1815 Curtis St,1,Completed,2018-09-27,2018-09-27,agrees,0,1,1,0,B2016-04149=2018-09-27,Approved;Partially Approved
504,1641 Eighth St,1,Completed,2018-02-02,2018-02-02,agrees,0,1,1,0,B2016-04204=2018-02-02,Approved;Disapproved;Partially Approved
530,3232 Idaho St,1,Completed,2018-02-22,2018-02-22,agrees,0,1,1,0,B2016-04602=2018-02-22,Approved;Disapproved;Site Cancellation
698,1828 Berkeley,1,Completed,2020-07-02,2020-07-02,agrees,0,1,1,0,B2016-04789=2020-07-02,Approved;Disapproved
484,1207 Virginia St,1,Completed,2018-01-12,2018-01-12,agrees,0,1,1,0,B2016-05136=2018-01-12,Approved;Disapproved
614,2115 Roosevelt,1,Completed,2019-07-31,2019-07-31,agrees,0,1,1,0,B2016-05191=2019-07-31,Approved;Cancelled;Disapproved
498,1449 Fifth St,1,Completed,2018-07-06,2018-07-06,agrees,0,1,1,0,B2016-05671=2018-07-06,Approved;Disapproved
652,1608 Eighth,1,Completed,2020-11-20,2020-11-20,agrees,0,1,1,0,B2016-05739=2020-11-20,Approved;Disapproved
508,2712 Prince St,1,Completed,2018-06-11,2018-06-11,agrees,0,1,1,0,B2016-05926=2018-06-11,Approved
695,2801 Ashby,1,Completed,2020-07-28,2020-07-28,agrees,0,1,1,0,B2016-05928=2020-07-28,Approved;Cancelled;Disapproved;Rescheduled
490,2634 Piedmont Ave,1,Completed,2018-11-05,2018-11-05,agrees,0,1,1,0,B2017-00128=2018-11-05,Approved;Disapproved
522,2744 Mathews St,1,Completed,2018-09-04,2018-09-04,agrees,0,1,1,0,B2017-00305=2018-09-04,Approved;Disapproved
494,1004 Addison St,1,Completed,2018-04-11,2018-04-11,agrees,0,1,1,0,B2017-00432=2018-04-11,Approved;Disapproved;Partially Approved
