record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
B2019-01950,Building,cpra,New,new_unit,78,cpra_UnitsAdded,census,2628 SHATTUCK Ave,055-1819-001-02,2019-05-09,2020-05-05,2021-07-16,Finaled,2026-07-08,"Phase II:  Architectural and Structural Superstructure for new mixed use 6-story building including 78 Dwelling Units, Commercial Space, Office Suite and Parkin",BP_Annual Permit Report-2018-2022.xlsx
B2019-02956,Building,cpra,New,new_unit,45,cpra_UnitsAdded,census,2009 ADDISON St,057-2025-023-00,2019-07-18,2021-06-24,2023-04-04,Finaled,2026-07-08,"Phase II of II for a New 7 story mixed use residential (artist housing) for Berkeley Repertory Theater. (Demo permit for existing structure is # B2019-02958, Ph",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2019-03689,Building,cpra,New,new_unit,96,cpra_UnitsAdded,census,2100 SAN PABLO Ave,056-1977-006-05,2019-08-30,2020-07-20,2023-05-02,Finaled,2026-07-08,New  4-story mixed-use building containing Residential Care Facility for the Elderly (Senior Housing) with 96 residential units on the floors 2-4 and commercial,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2019-03765,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1811 SIXTY-THIRD St,052-1527-011-00,2019-09-05,2020-01-28,2021-09-16,Finaled,2026-07-08,"Construction of Duplex on vacant Lot and associated sitework.  Construction of single family dwelling on same site under separate permit.  Adding 3,247 SF Total",BP_Annual Permit Report-2018-2022.xlsx
B2019-03862,Building,cpra,New,new_unit,142,cpra_UnitsAdded,census,2012 BERKELEY Way,057-2053-022-01,2019-09-12,2020-07-06,2022-09-23,Finaled,2026-07-08,"Phase II:  Super structure including concrete podium, mechanical, electrical, plumbing for new mixed use building - BRIDGE HOUSING PROJECT. Phase I: Site prepar",BP_Annual Permit Report-2018-2022.xlsx
B2019-05488,Building,cpra,New,ambiguous,2,cpra_UnitsAdded,census,LATHAM Ln,063-2969-034-37,2019-12-18,2020-09-08,2022-08-08,Finaled,2026-07-08,"Construct new 3,871 SF house and 439 SF garage. - Property in Fire Zone 2.",BP_Annual Permit Report-2018-2022.xlsx
B2019-05608,Building,cpra,New,new_unit,163,cpra_UnitsAdded,census,1951 SHATTUCK Ave,057-2046-001-00,2019-12-27,2022-09-08,2024-10-24,Finaled,2026-07-08,"Phase 1 of 2 consists of the Basement and first floor of a new building. New mixed-use building: approx. 179,680 GSF, 12 story residential building with 163 ren",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2020-00206,Building,cpra,New,new_unit,15,cpra_UnitsAdded,census,1717 UNIVERSITY Ave,057-2061-010-00,2020-01-17,2020-10-28,2023-04-04,Finaled,2026-07-08,New 5-story mixed-use building with ground floor retail and 15 residential apartments.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2020-01498,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2339 OREGON St,053-1689-006-02,2020-05-19,2021-03-03,2023-03-10,Finaled,2026-07-08,"7/27/21 - Upgrade electrical service panel to 200-Amps.
New construction of two detached Accessory Dwelling Units (ADU - 749 SF each unit) in the rear of an exi",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2020-01991,Building,cpra,New,new_unit,57,cpra_UnitsAdded,census,2701 SHATTUCK Ave,054-1719-001-00,2020-06-30,2022-06-22,2024-07-18,Finaled,2026-07-08,(N) fifty-seven (57) apartment units over a parking garage.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2020-02394,Building,cpra,Alteration,new_unit,2,cpra_UnitsAdded,census,2116 ALLSTON Way,057-2030-002-00,2020-07-28,2021-01-21,2021-10-29,Finaled,2026-07-08,Conversion of (2) non-habitable existing roof top accessory residential spaces to: (2) accessory dwelling units (no proposed changes to (E) ground floor commerc,BP_Annual Permit Report-2018-2022.xlsx
B2020-02423,Building,cpra,Addition/Alteration,new_unit,2,cpra_UnitsAdded,census,2233 GRANT St,057-2014-019-01,2020-07-30,2021-12-15,2024-03-28,Finaled,2026-07-08,"Convert carports into 2 ADU's (1st Unit - 648SF, 2nd Unit 666SF)",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2020-02735,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,3411 ADELINE St,052-1434-003-00,2020-08-21,2020-12-16,2026-04-16,Finaled,2026-07-08,"Build two-unit, two-story ADU at rear.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2020-03077,Building,cpra,Addition/Alteration,new_unit,2,cpra_UnitsAdded,capdetail,1581 LE ROY Ave,058-2245-009-03,2020-09-15,2021-07-13,,Issued,2026-09-21,"Change Occupancy Type from E to R3, Single family with ADU. Add roof deck over second floor. Valuation increased from $600,000 to $1,200,000.",BP_Annual Permit Report-2018-2022.xlsx
