record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
ZP2015-0014,Planning,census,Zoning Permit,screen,50,description,capdetail,2121 DURANT Ave,,2015-01-22,,,Approved,2026-09-21,Proposed 50 unit apartment building,Planning_2015-01-21_2015-01-24
DRCP2015-0002,Planning,census,Design Review Committee Preliminary,screen,10,description,census,2597 Telegraph,,2015-01-27,,,Withdrawn,2026-07-08,DR for 10 units bldg.,Planning_2015-01-25_2015-01-28
ZP2015-0018,Planning,census,Zoning Permit,screen,10,description,census,2597 Telegraph,,2015-01-27,,,Approved,2026-07-08,new 10-unit residential building w/density bonus,Planning_2015-01-25_2015-01-28
ZP2015-0043,Planning,census,Zoning Permit,screen,170,description,census,1500 SPA,059-2310-002-05,2015-03-05,,,Approved,2026-07-08,1500 San Pablo is a mixed-used development located along the San Pablo Avenue commercial corridor in West Berkeley. The project is bounded by San Pablo Avenue t,Planning_2015-03-02_2015-03-05
DRCP2015-0004,Planning,census,Design Review Committee Preliminary,screen,170,description,census,1500 SPA,059-2310-002-05,2015-03-02,,,Approved,2026-07-08,1500 San Pablo is a mixed-used development located along the San Pablo Avenue commercial corridor in West Berkeley. The project is bounded by San Pablo Avenue t,Planning_2015-03-02_2015-03-05
DRCF2015-0003,Planning,census,Design Review Committee Final,screen,36,description,census,1698 University,056-2004-001-00,2015-03-11,,,Approved,2026-07-08,FDR for new 36 unit residential mixed use building at corner of University Ave and McGee.,Planning_2015-03-10_2015-03-13
PLN2015-0016,Planning,census,Pre-Application,screen,10,description,capdetail,2747 SAN PABLO Ave,,2015-04-15,,,Closed,2026-09-21,Modify existing Use Permit #06-10000109 to add 10 residential units within the previously entitled building envelope.,Planning_2015-04-15_2015-04-18
ZP2015-0096,Planning,census,Zoning Permit,screen,76,description,census,2556 Telegraph,055-1837-001-00,2015-04-21,,,Approved,2026-07-08,"Demolish 14,500 sq. ft. of existing retail space and construct a 7-story mixed-use building with 76 dwelling units above 2,679 sq. ft.. of retail space and 2 li",Planning_2015-04-19_2015-04-22
ZP2015-0115,Planning,census,Zoning Permit,screen,10,description,capdetail,2747 SAN PABLO Ave,,2015-05-15,,,Withdrawn,2026-09-21,Use Permit Mod @ 2747 San Pablo to add 10 unit to an previously entitled mixed use project; no exterior changes,Planning_2015-05-13_2015-05-16
ZP2015-0125,Planning,census,Zoning Permit,screen,58,description,census,800 UNIVERSITY,056-1961-017-00,2015-05-28,,,Closed,2026-07-08,"Use Permit Modification to substitute 10% of the required automobile parking spaces with bicycle/motorcycle parking, in an approved Mixed Use Project, under con",Planning_2015-05-25_2015-05-28
ZP2015-0135,Planning,census,Zoning Permit,screen,6,description,census,2002 Addison Street,,2015-06-10,,,Approved,2026-07-08,Convert entire second floor officespace to 6 dwelling units,Planning_2015-06-10_2015-06-13
ZP2015-0141,Planning,census,Zoning Permit,screen,4,description,census,1030 Grayson,,2015-06-19,,,Approved,2026-07-08,Demolish existing SFR+accessory building and construct 4 dwelling units,Planning_2015-06-18_2015-06-21
ZP2015-0146,Planning,census,Zoning Permit,screen,2,description,census,1915 Virginia Street,058-2171-019-00,2015-06-29,,,Approved,2026-07-08,AUP for restoration of a single family home (2 units to one).,Planning_2015-06-26_2015-06-29
ZP2015-0168,Planning,census,Zoning Permit,screen,5,description,census,1940 Haste,055-1898-029-00,2015-07-08,,,Withdrawn,2026-07-08,Phase 1: relocate existing 5 unit building from 2121 Durant to 1940 Haste Street,Planning_2015-07-08_2015-07-11
DRCP2015-0017,Planning,census,Design Review Committee Preliminary,screen,152,description,capdetail,2001 FOURTH St,,2015-07-14,,,Approved,2026-09-21,"To demolish an existing 40,000 sq. ft. grocery store/office building and construct a 174,612 sq. ft., 5-story, 58-foot tall, mixed-use project with 152 Resident",Planning_2015-07-12_2015-07-15
ZP2015-0157,Planning,census,Zoning Permit,screen,152,description,capdetail,2001 FOURTH St,,2015-07-14,,,Closed,2026-09-21,"To demolish an existing 40,000 sq. ft. grocery store/office building and construct a 174,612 sq. ft., 5-story, 58-foot tall, mixed-use project with 152 Resident",Planning_2015-07-12_2015-07-15
ZP2015-0177,Planning,census,Zoning Permit,screen,50,description,census,1946 Russell,053-1598-005-01,2015-08-17,,,Approved,2026-07-08,"Mixed Use Project involving the demolition of an existing house at 1946 Russell Street and an existing building at 2908 Adeline Street, and construction of a ne",Planning_2015-08-17_2015-08-20
DRCP2015-0019,Planning,census,Design Review Committee Preliminary,screen,50,description,census,2902 Adeline,053-1598-006-00,2015-08-21,,,Approved,2026-07-08,"Mixed Use Project involving the demolition of an existing house at 1946 Russell Street and an existing building at 2908 Adeline Street, and construction of a ne",Planning_2015-08-21_2015-08-24
ZP2015-0184,Planning,census,Zoning Permit,screen,2,description,census,3359 M L King Jr,052-1433-012-00,2015-08-25,,,Approved,2026-07-08,Converting commercial building into 2 residential dwelling units with three parking space waiver for one dwelling unit.,Planning_2015-08-25_2015-08-28
ZP2015-0204,Planning,census,Zoning Permit,screen,4,description,capdetail,2817 EIGHTH St,,2015-09-24,,,Approved,2026-09-21,"To introduce architectural projections, reduce (front) façade plane changes, and change the roof form and exterior materials on a previously-approved UP to demo",Planning_2015-09-22_2015-09-25
DRSL2015-0027,Planning,census,Design Review Staff Level,screen,4,description,census,1030 Grayson,,2015-10-15,,,Approved,2026-07-08,Demolish existing SFR+accessory building and construct 4 dwelling units,Planning_2015-10-12_2015-10-15
PLN2015-0054,Planning,census,Pre-Application,screen,55,description,capdetail,2527 SAN PABLO Ave,,2015-11-30,,,Closed,2026-09-21,"mixed use, 55-unit, approx. 3500 sqft. commercial with 28 parking. Application to look at density bonus",Planning_2015-11-29_2015-12-02
ZP2016-0028,Planning,census,Zoning Permit,screen,18,description,census,1173 Hearst,057-2086-013-00,2016-02-02,,,Approved,2026-07-08,"Residential development of 18 units (including BMR units), including community garden, play area, and vehicle and bicycle parking (1155-1173 Hearst Ave). Densit",Planning_2016-02-01_2016-02-04
PLN2016-0007,Planning,census,Pre-Application,screen,15,description,census,2737 Durant Avenue,055-1870-003-00,2016-03-30,,,Closed,2026-07-08,Staff Level Design Review for a 15 unit apartment building,Planning_2016-03-28_2016-03-31
ZP2016-0072,Planning,census,Zoning Permit,screen,4,description,capdetail,2701 PRINCE St,,2016-04-13,,,Approved,2026-09-21,"Interior remodel of existing 4 unit apartment building to convert two, one bedroom units to two, two bedroom units, resulting in an increase from 6 bedrooms to ",Planning_2016-04-13_2016-04-16
DRCP2016-0007,Planning,census,Design Review Committee Preliminary,screen,28,description,census,1717 University,057-2061-010-00,2016-05-12,,,Approved,2026-07-08,"New 5-story, 28-unit mixed use building at 1717 University with ground floor food service",Planning_2016-05-11_2016-05-14
ZP2016-0101,Planning,census,Zoning Permit,screen,28,description,census,1717 University,057-2061-010-00,2016-05-12,,,Approved,2026-07-08,"New 5-story, 28-unit mixed use building with a food service at ground floor. Two Density Bonus waivers.",Planning_2016-05-11_2016-05-14
ZP2016-0129,Planning,census,Zoning Permit,screen,2,description,capdetail,2212 TENTH St,,2016-06-28,,,Approved,2026-09-21,Demolish existing single family home and construct 2 dwelling units on the property.,Planning_2016-06-28_2016-07-01
DRCF2016-0006,Planning,census,Design Review Committee Final,screen,71,description,capdetail,2631 DURANT Ave,,2016-08-29,,,Approved,2026-09-21,"Design Review Preview of a project to demolish an existing 18 unit, 2-story, apartment building and construct a new 71 unit, 6-story apartment building.",Planning_2016-08-27_2016-08-30
ZP2016-0172,Planning,census,Zoning Permit,screen,32,description,capdetail,2542 DURANT Ave,,2016-09-16,,,Approved,2026-09-21,"New 5-story, 32-unit mixed-use building on an existing surface parking lot with a proposed building height of 68 ft-6 in in the C-T",Planning_2016-09-16_2016-09-19
ZP2016-0194,Planning,census,Zoning Permit,screen,2,description,capdetail,2210 M L KING JR Way,,2016-10-11,,,Approved,2026-09-21,Variance application including: exceeding residential density and not providing 3 off-street parking spaces. Use Permit with public hearing to establish 2 dwell,Planning_2016-10-10_2016-10-13
ZP2016-0207,Planning,census,Zoning Permit,screen,63,description,capdetail,2527 SAN PABLO Ave,,2016-10-21,,,Approved,2026-09-21,"Demo an existing non-residential building (one-story, auto use) and construct a New 6-story mixed use project with 63 apartments and ground floor retail.",Planning_2016-10-18_2016-10-21
ZP2016-0216,Planning,census,Zoning Permit,screen,44,description,census,1486 University,056-1996-026-01,2016-10-28,,,Withdrawn,2026-07-08,"Demo existing mixed-use building and construct new 4-story, 44-unit mixed-use building including Density Bonus considerations, spanning two parcels. Existing Bl",Planning_2016-10-26_2016-10-29
DRCP2016-0015,Planning,census,Design Review Committee Preliminary,screen,44,description,census,1486 University,056-1996-026-01,2016-10-28,,,Withdrawn,2026-07-08,"Four-story, 44-unit mixed use building NOTE: Landscape plans are pending",Planning_2016-10-26_2016-10-29
ZP2016-0214,Planning,census,Zoning Permit,screen,4,description,capdetail,3014 COLLEGE Ave,,2016-10-27,,,Approved,2026-09-21,Remodel and add 1611 sq ft to (e) 4 unit building by raising building and converting attic space,Planning_2016-10-26_2016-10-29
DRCP2016-0020,Planning,census,Design Review Committee Preliminary,screen,32,description,census,2542 Durant,,2016-12-22,,,Approved,2026-07-08,"Construction of a 5-story mixed-use building with 32 dwelling units and 1,500 sq. ft. of retail/general commercial spae",Planning_2016-12-21_2016-12-24
ZP2017-0003,Planning,census,Zoning Permit,screen,36,description,census,2510 Channing,,2017-01-06,,,Approved,2026-07-08,"construction of a seven story building, ground level commercial with 36 units above.",Planning_2017-01-06_2017-01-09
DRCP2017-0002,Planning,census,Design Review Committee Preliminary,screen,36,description,census,2510 Channing,055-1875-008-00,2017-01-18,,,Approved,2026-07-08,"Construction of a seven story building, ground level commercial with 36 units above.",Planning_2017-01-18_2017-01-21
ZP2017-0015,Planning,census,Zoning Permit,screen,22,description,capdetail,2236 CHANNING Way,,2017-02-03,,,Approved,2026-09-21,"Convert approx. 2,910 SF of office space to three dwelling units for a total of 22 dwelling units in a mixed use building in R-3",Planning_2017-02-03_2017-02-06
DRCP2017-0004,Planning,census,Design Review Committee Preliminary,screen,40,description,capdetail,1110 UNIVERSITY Ave,,2017-03-03,,,Approved,2026-09-21,"5 story mixed use building with 40 dwelling units, retail space and roof garden",Planning_2017-03-03_2017-03-06
ZP2017-0035,Planning,census,Zoning Permit,screen,40,description,capdetail,1110 UNIVERSITY Ave,,2017-03-03,,,Withdrawn,2026-09-21,5 story mixed use project with 40 residential dwelling units,Planning_2017-03-03_2017-03-06
DRCF2017-0003,Planning,census,Design Review Committee Final,screen,170,description,capdetail,1500 SAN PABLO Ave * View Additional Locations>>1) 1500 SAN PABLO Ave,,2017-03-30,,,Approved,2026-09-21,"1500 San Pablo is a proposed mixed-use along the San Pablo corridor with approximately 170 residential units with 10,870 SF of commercial space.",Planning_2017-03-27_2017-03-30
ZP2017-0070,Planning,census,Zoning Permit,screen,2,description,census,1220 Carleton Street,054-1787-022-00,2017-05-05,,,Approved,2026-07-08,"Convert 2-unit property to SFR, addition over 14', legalize hot tub.",Planning_2017-05-02_2017-05-05
DRCP2017-0009,Planning,census,Design Review Committee Preliminary,screen,42,description,census,3031 adeline,053-1595-009-03,2017-05-24,,,Approved,2026-07-08,"Pre-application review for 42 unit, 39 parking space, mixed use bldg with ground floor commercial.",Planning_2017-05-22_2017-05-25
ZP2017-0083,Planning,census,Zoning Permit,screen,122,description,capdetail,2580 BANCROFT Way,,2017-05-26,,,Approved,2026-09-21,to construct a new 8-story mixed use building with ground level retail and 122 dwelling units,Planning_2017-05-26_2017-05-29
DRCP2017-0012,Planning,census,Design Review Committee Preliminary,screen,37,description,capdetail,2028 BANCROFT Way,,2017-06-30,,,Approved,2026-09-21,Construction of new 6-story 37 unit apartment building,Planning_2017-06-27_2017-06-30
DRCP2017-0011,Planning,census,Design Review Committee Preliminary,screen,2,description,capdetail,2025 DURANT Ave,,2017-06-30,,,Approved,2026-09-21,Remodel covered parking area into 2 new units,Planning_2017-06-27_2017-06-30
ZP2017-0103,Planning,census,Zoning Permit,screen,37,description,capdetail,2028 BANCROFT Way,,2017-06-30,,,Approved,2026-09-21,Construction of new 6-story 37 unit apartment building,Planning_2017-06-27_2017-06-30
ZP2017-0102,Planning,census,Zoning Permit,screen,2,description,capdetail,2025 DURANT Ave,,2017-06-30,,,Approved,2026-09-21,Remodel covered parking area into 2 new units,Planning_2017-06-27_2017-06-30
DRCF2017-0007,Planning,census,Design Review Committee Final,screen,50,description,capdetail,2121 DURANT Ave,,2017-07-20,,,Approved,2026-09-21,Proposed 50 unit apartment building,Planning_2017-07-17_2017-07-20
ZP2017-0133,Planning,census,Zoning Permit,screen,7,description,capdetail,2215 CEDAR St,,2017-08-08,,,Approved,2026-09-21,"to construct 420 sq. ft. of new deck over 14 ft. in average height on the second floor of an existing three story 7-unit apartment building, to legalize an unpe",Planning_2017-08-06_2017-08-09
PLN2017-0057,Planning,census,Pre-Application,screen,92,description,capdetail,1951 Shattuck,057-2046-001-00,2017-10-20,,,Pending,2026-09-21,Applicant is requesting preliminary staff feedback on a new multifamily project at 1951 Shattuck Avenue. 1951 Shattuck Avenue was the subject of a prior submitt,Planning_2017-10-17_2017-10-20
ZP2017-0179,Planning,census,Zoning Permit,screen,4,description,capdetail,1711 M L KING JR Way,,2017-11-17,,,Approved,2026-09-21,"Legalize 4 dwelling units, exceed density on the site, to have substandard usable open space, and to have substandard parking for the site.",Planning_2017-11-14_2017-11-17
ZP2018-0014,Planning,census,Zoning Permit,screen,5,description,census,1720 Delaware Street,057-2065-024-00,2018-01-19,,,Approved,2026-07-08,Legalize conversion of attic to habitable space in 5-unit building bringing the bedroom count to 6.,Planning_2018-01-17_2018-01-20
ZP2018-0035,Planning,census,Zoning Permit,screen,37,description,capdetail,1601 OXFORD St,,2018-02-16,,,Approved,2026-09-21,"Construction of 4 story, 37 unit senior affordable housing project",Planning_2018-02-14_2018-02-17
ZP2018-0034,Planning,census,Zoning Permit,screen,4,description,capdetail,2714 ALCATRAZ Ave,,2018-02-16,,,Approved,2026-09-21,"Use Permit application to enlarge an existing 4-unit, 2-story dwelling unit by adding a ninth and tenth at the rear of the building and extending the nonconform",Planning_2018-02-14_2018-02-17
ZP2018-0052,Planning,census,Zoning Permit,screen,260,description,census,1900 Fourth Street,057-2101-001-03,2018-03-08,,,Closed,2026-07-08,"Mixed use development with 260 dwelling units over approximately 27,500 of retail, including restaurant and café space. Proposed project includes 290 vehicle pa",Planning_2018-03-06_2018-03-09
ZP2018-0050,Planning,census,Zoning Permit,screen,78,description,census,2628 Shattuck Avenue,055-1819-001-02,2018-03-06,,,Approved,2026-07-08,"To demolish a partial two-story care facility building in the C-SA zoning district, and to construct a six-story mixed-use building with ground floor parking an",Planning_2018-03-06_2018-03-09
ZP2018-0061,Planning,census,Zoning Permit,screen,40,description,census,2510 Channing,055-1875-008-00,2018-03-19,,,Approved,2026-07-08,MODUP to modify project to DB for a total of 40 units and 8 stories,Planning_2018-03-18_2018-03-21
ZP2018-0075,Planning,census,Zoning Permit,screen,2,description,census,1636 Hearst,057-2069-024-00,2018-04-17,,,Approved,2026-07-08,New 240SF one-story accessory building in the rear of a 2-unit condominium.,Planning_2018-04-15_2018-04-18
ZP2018-0085,Planning,census,Zoning Permit,screen,3,description,census,1825 Berkeley Way,057-2063-011-00,2018-05-03,,,Approved,2026-07-08,Create 3 units on a lot with an existing single family residence; 8 bedrooms; reduced rear yard.,Planning_2018-05-01_2018-05-04
ZP2018-0113,Planning,census,Zoning Permit,screen,2,description,capdetail,2435 VIRGINIA St,,2018-05-31,,,Approved,2026-09-21,3 story addition to main building with 2 new units,Planning_2018-05-29_2018-06-01
ZP2018-0112,Planning,census,Zoning Permit,screen,56,description,capdetail,2198 SAN PABLO Ave,,2018-05-31,,,Approved,2026-09-21,"Demolish existing 1-story commercial building and construct 6-story, 56-unit mixed-use building with reduced parking",Planning_2018-05-29_2018-06-01
ZP2018-0127,Planning,census,Zoning Permit,screen,3,description,capdetail,1629 STUART St A,,2018-06-20,,,Approved,2026-09-21,Second story addition of 595 SF to existing house on lot that has non-conforming side setback and is over density standard (3 units where 2 allowed).,Planning_2018-06-18_2018-06-21
ZP2018-0137,Planning,census,Zoning Permit,screen,156,description,census,1951 Shattuck,057-2046-001-00,2018-06-29,,,Approved,2026-07-08,Mixed use project consisting of 12-story residential building with 156 rental units and ground floor retail.,Planning_2018-06-26_2018-06-29
ZP2018-0136,Planning,census,Zoning Permit,screen,27,description,capdetail,1201 SAN PABLO Ave,,2018-06-28,,,Withdrawn,2026-09-21,"Use Permit Modification to an approved 5-story, 27-unit mixed-use project. Proposed modifications include additional gross floor area, relocation of parking fro",Planning_2018-06-26_2018-06-29
DRCP2018-0005,Planning,census,Design Review Committee Preliminary,screen,156,description,census,1951 Shattuck,057-2046-001-00,2018-07-06,,,Approved,2026-07-08,Mixed use project consisting of 12-story residential building with 156 rental units and ground floor retail.,Planning_2018-07-04_2018-07-07
ZP2018-0144,Planning,census,Zoning Permit,screen,17,description,capdetail,2425 PROSPECT St,,2018-07-06,,,Withdrawn,2026-09-21,"Application to convert an existing 3-story, 18,028 square-foot GLA to 17 dwelling units, to allow fewer parking spaces than required, and to construct a 2,016 s",Planning_2018-07-04_2018-07-07
PLN2018-0029,Planning,census,Pre-Application,screen,4,description,capdetail,2795 SAN PABLO Ave,,2018-07-27,,,Pending,2026-09-21,"Pre-application for demo of SFR and construction of 3-story, 4-unit dwelling.",Planning_2018-07-24_2018-07-27
PLN2018-0048,Planning,census,Pre-Application,screen,142,description,capdetail,2012 BERKELEY Way,,2018-10-26,,,Pending,2026-09-21,"SB 35 application to demolish existing City parking lot with 112 spaces and construct 6-story, 65' tall, mixed-use building with 142 units, transitional dorms (",Planning_2018-10-24_2018-10-27
PLN2018-0050,Planning,census,Pre-Application,screen,95,description,capdetail,3031 Telegraph Avenue,052-1574-104-00,2018-11-01,,,Pending,2026-09-21,"Demolish existing 22,066 SF medical office and construct a 5-story mixed use building including 95 dwelling units, 6388 SF ground level commercial space and one",Planning_2018-11-01_2018-11-04
DRCP2018-0009,Planning,census,Design Review Committee Preliminary,screen,95,description,census,1835 San Pablo Avenue,057-2086-025-01,2018-11-19,,,Approved,2026-07-08,"Removal of existing 1-story commercial structure and construction of new 6-story mixed use building with 95 dwelling units, ground-level lobbies, parking and 4 ",Planning_2018-11-17_2018-11-20
ZP2018-0220,Planning,census,Zoning Permit,screen,95,description,census,1835 San Pablo Avenue,057-2086-025-01,2018-11-19,,,Approved,2026-07-08,"Demolition of existing 1-story commercial structure and construction of new 6-story mixed use building with 95 dwelling units, ground-level lobbies, parking and",Planning_2018-11-17_2018-11-20
DRCF2018-0007,Planning,census,Design Review Committee Final,screen,96,description,census,2100 San Pablo Avenue,056-1977-006-05,2018-11-26,,,Approved,2026-07-08,Design Review for modifications to a previously approved Use Permit (ZP2016-0034) for a 4-story mixed-use development containing 96-unit residential care facili,Planning_2018-11-25_2018-11-28
DRCP2018-0010,Planning,census,Design Review Committee Preliminary,screen,96,description,census,2100 San Pablo Avenue,056-1977-006-05,2018-11-26,,,Void,2026-07-08,Design Review for a Use Permit Modification to a previously approved Use Permit (ZP2016-0034) for a 4-story mixed-use development containing 96-unit residential,Planning_2018-11-25_2018-11-28
ZP2018-0222,Planning,census,Zoning Permit,screen,96,description,census,2100 San Pablo Avenue,056-1977-006-05,2018-11-26,,,Approved,2026-07-08,Use Permit Modification to a previously approved Use Permit (ZP2016-0034) for a 4-story mixed-use development containing 96-unit residential care facility for e,Planning_2018-11-25_2018-11-28
DRCP2018-0011,Planning,census,Design Review Committee Preliminary,screen,28,description,census,1717 University,057-2061-010-00,2018-12-05,,,Approved,2026-07-08,"Modification to Design Review for a new 5-story, 28-unit mixed use building at 1717 University with ground floor food service",Planning_2018-12-03_2018-12-06
ZP2018-0237,Planning,census,Zoning Permit,screen,2,description,capdetail,2128 WARD St,,2018-12-18,,,Approved,2026-09-21,Construct 2 new dwelling units (duplex) on site with existing duplex.,Planning_2018-12-15_2018-12-18
ZP2018-0239,Planning,census,Zoning Permit,screen,155,description,capdetail,2015 BLAKE St,,2018-12-20,,,Withdrawn,2026-09-21,New multi-family residential building with 155 dwelling units and underground parking. Density Bonus project,Planning_2018-12-19_2018-12-22
DRCP2019-0001,Planning,census,Design Review Committee Preliminary,screen,165,description,capdetail,2176 KITTREDGE St,,2019-02-07,,,Approved,2026-09-21,"Design review of new 75 ft. tall mixed-use building with 165 dwelling units and approximately 20,000 sq. ft. of ground floor commercial space",Planning_2019-02-05_2019-02-08
ZP2019-0027,Planning,census,Zoning Permit,screen,165,description,capdetail,2176 KITTREDGE St,,2019-02-07,,,Approved,2026-09-21,"To demolish an existing 8,575 sq. ft. non-residential building and structure (Touchless carwash) and merge two parcels, 2176 Kittredge and 2150 Kittredge, to co",Planning_2019-02-05_2019-02-08
DRCF2021-0003,Planning,census,Design Review Committee Final,screen,48,description,census,2023 Shattuck,057-2034-008-00,2019-03-05,,,Approved,2026-07-08,"Final Design Review for a new 7-story 73 ft.-5 in. tall mixed-use building with 48 dwelling units, and a 1,250 sq. ft. ground-floor commercial space and no park",Planning_2019-03-05_2019-03-08
DRCP2019-0002,Planning,census,Design Review Committee Preliminary,screen,48,description,capdetail,2023 SHATTUCK Ave,,2019-03-05,,,Approved,2026-09-21,"Demolish the remaining burned out structure to construct a new 7-story 73 ft.-5 in. tall mixed-use building with 48 dwelling units, and a 1,250 sq. ft. ground-f",Planning_2019-03-05_2019-03-08
ZP2019-0041,Planning,census,Zoning Permit,screen,48,description,capdetail,2023 SHATTUCK Ave,,2019-03-05,,,Approved,2026-09-21,"Demolish the remaining burned out structure, to construct a new 7-story 73 ft. 5 in. tall mixed-use building with 48 dwelling units, and a 1,250 sq. ft. ground-",Planning_2019-03-05_2019-03-08
ZP2019-0048,Planning,census,Zoning Permit,screen,4,description,capdetail,2795 SAN PABLO Ave,,2019-03-15,,,Approved,2026-09-21,"demolish single-family; build 3-story, 4-unit building with 4 parking spaces",Planning_2019-03-13_2019-03-16
DRCP2019-0004,Planning,census,Design Review Committee Preliminary,screen,45,description,capdetail,2650 TELEGRAPH Ave,,2019-04-18,,,Approved,2026-09-21,"5 story mixed use Density Bonus project, 45 dwelling units with ground floor lobbies and commercial space",Planning_2019-04-18_2019-04-21
ZP2019-0070,Planning,census,Zoning Permit,screen,45,description,capdetail,2650 TELEGRAPH Ave,,2019-04-18,,,Approved,2026-09-21,"5 story mixed use Density Bonus project, 45 dwelling units with ground floor lobbies and commercial space",Planning_2019-04-18_2019-04-21
DRCP2019-0005,Planning,census,Design Review Committee Preliminary,screen,126,description,census,2000 Dwight Way,,2019-04-24,,,Void,2026-07-08,Demolition of 6 non-residential buildings and the construction of a 6 story residential building with 126 dwelling units for senior housing.,Planning_2019-04-22_2019-04-25
ZP2019-0074,Planning,census,Zoning Permit,screen,126,description,census,2000 Dwight Street,,2019-04-24,,,Approved,2026-07-08,Demolition of 6 non-residential buildings and the construction of a six-story residential building with 126 dwelling units for senior housing.,Planning_2019-04-22_2019-04-25
PLN2019-0021,Planning,census,Pre-Application,screen,40,description,census,1367 University,057-2073-005-00,2019-04-29,,,Closed,2026-07-08,Pre-application meeting fir 40 units of supportive housing.,Planning_2019-04-26_2019-04-29
PLN2019-0020,Planning,census,Pre-Application,screen,11,description,capdetail,1650 SHATTUCK Ave,,2019-04-26,,,Closed,2026-09-21,Pre-app for 11 dwelling units,Planning_2019-04-26_2019-04-29
ZP2019-0081,Planning,census,Zoning Permit,screen,72,description,census,2099 MLK,057-2024-013-00,2019-05-02,,,Approved,2026-07-08,"To demo one-story commercial building in C-D/MU Buffer, and to construct a new, 7-story, mixed-use building with a total of 72 dwelling units and a total of 12 ",Planning_2019-04-30_2019-05-03
ZP2019-0084,Planning,census,Zoning Permit,screen,7,description,census,1632 Prince,052-1545-031-00,2019-05-07,,,Withdrawn,2026-07-08,"Variance to add one unit on a lot that is non-conforming for density. 3 units allowed, legal non-conforming for 6 units, propose 1 more unit for 7 units total.",Planning_2019-05-04_2019-05-07
ZP2019-0089,Planning,census,Zoning Permit,screen,6,description,capdetail,2371 SAN PABLO Ave,,2019-05-15,,,Closed,2026-09-21,"to alter a an existing one-story, 2,105 sq. ft. 17'-5"" tall mixed-use building with 2 commercial retail tenant spaces and 2 dwelling units by adding two stories",Planning_2019-05-12_2019-05-15
ZP2019-0093,Planning,census,Zoning Permit,screen,5,description,census,3020 College Avenue,052-1562-010-00,2019-05-21,,,Approved,2026-07-08,Existing 5-unit residential building. Eliminate one unit on a parcel over density and combine it with another unit for a total of 4 units on the parcel. Constru,Planning_2019-05-20_2019-05-23
ZP2019-0100,Planning,census,Zoning Permit,screen,87,description,capdetail,2590 BANCROFT Way,,2019-05-31,,,Approved,2026-09-21,demo of existing 2-story commercial building and construction of 87 dwelling unit-Density Bonus project with ground floor commercial space.,Planning_2019-05-28_2019-05-31
DRCF2019-0005,Planning,census,Design Review Committee Final,screen,32,description,census,2542 Durant,055-1876-021-01,2019-09-06,,,Approved,2026-07-08,"Construction of a 5-story mixed-use building with 32 dwelling units and 1,500 sq. ft. of retail/general commercial spae",Planning_2019-09-05_2019-09-08
ZP2019-0155,Planning,census,Zoning Permit,screen,78,description,census,3000 San Pablo,053-1633-001-01,2019-09-27,,,Approved,2026-07-08,"Demolish the existing commercial building at 3000 San Pablo Avenue, and demolish part of the building at 1042 Ashby that encroaches onto 3000 San Pablo Avenue, ",Planning_2019-09-25_2019-09-28
DRCP2019-0014,Planning,census,Design Review Committee Preliminary,screen,40,description,census,1367 University,,2019-10-18,,,Approved,2026-07-08,"New 4-story, 40 unit residential building utilizing Density Bonus",Planning_2019-10-15_2019-10-18
ZP2019-0173,Planning,census,Zoning Permit,screen,40,description,census,1367 University,,2019-10-18,,,Approved,2026-07-08,"New 4-story, 40 unit residential building utilizing Density Bonus",Planning_2019-10-15_2019-10-18
ZP2019-0172,Planning,census,Zoning Permit,screen,3,description,census,1920 Vine Street,059-2268-005-00,2019-10-18,,,Approved,2026-07-08,"Addition of 228 sq. ft. living space to the upper unit resulting the average height of over 28 ft. on a lot containing 3 dwelling units, that is over lot covera",Planning_2019-10-15_2019-10-18
DRCP2019-0015,Planning,census,Design Review Committee Preliminary,screen,123,description,capdetail,2136 SAN PABLO Ave,,2019-10-29,,,Withdrawn,2026-09-21,"To demolish an existing two-story 8,046 sq. ft. commercial building, and construct a new six-story mixed-use building with 123 dwelling units and three ground f",Planning_2019-10-27_2019-10-30
ZP2019-0179,Planning,census,Zoning Permit,screen,123,description,capdetail,2136 SAN PABLO Ave,,2019-10-29,,,Withdrawn,2026-09-21,"To demolish an existing two-story 8,046 sq. ft. commercial building and construct a new six-story mixed use building with 123 dwelling units, and three ground f",Planning_2019-10-27_2019-10-30
DRCP2019-0016,Planning,census,Design Review Committee Preliminary,screen,104,description,capdetail,1200 SAN PABLO Ave,,2019-12-02,,,Approved,2026-09-21,"Demo 3 existing commercial building, and construct a new, 99,000 SF, 6-story, mixed-use building with 104 units, 3000 SF ground floor retail. Density bonus requ",Planning_2019-12-02_2019-12-05
ZP2019-0192,Planning,census,Zoning Permit,screen,104,description,capdetail,1200 SAN PABLO Ave,,2019-12-02,,,Approved,2026-09-21,"Demo 3 existing commercial building, and construct a new, 99,000 SF, 6-story, mixed-use building with 104 units, 3000 SF ground floor retail. Density bonus requ",Planning_2019-12-02_2019-12-05
ZP2019-0195,Planning,census,Zoning Permit,screen,2,description,capdetail,2003 PRINCE St,,2019-12-06,,,Withdrawn,2026-09-21,"Use Permit to create addition on lot with non-conforming residential density (not sufficient lot area for 2 units - 2950 sq. ft. needed, but only 2890 sq. ft. e",Planning_2019-12-06_2019-12-09
