owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-11,060-2528-011-00,599 UNIVERSITY AVE BERKELEY 94710,0300,SP,219978.0,5.05,0.0,0.0,False,37.86695563,-122.30585930
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2512-5,060-2512-005-00,0 SHASTA RD BERKELEY 94710,0300,,67914.0,1.559,0.0,0.0,False,37.84819486,-122.30602287
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2512-6,060-2512-006-00,SHASTA RD BERKELEY 94710,0300,,67914.0,1.559,0.0,0.0,False,37.84877942,-122.30349004
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2529-1-4,060-2529-001-04,GILMAN ST BERKELEY 94710,0300,,61931.0,1.422,0.0,0.0,False,37.87709924,-122.31036117
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2512-4,060-2512-004-00,0 SHASTA RD BERKELEY 94710,0300,,48470.0,1.113,0.0,0.0,False,37.84781328,-122.30801152
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2507-8,060-2507-008-00,0 SHASTA RD BERKELEY 94710,0300,,42231.0,0.969,0.0,0.0,False,37.84925593,-122.30147244
ebrpd,EAST BAY REGIONAL PARK DISTRICT,63-3160-3,063-3160-003-00,PARK HILLS RD BERKELEY 94708,0300,R-1H,23306.0,0.535,0.0,0.0,False,37.89204018,-122.24971815
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2512-3,060-2512-003-00,0 SHASTA RD BERKELEY 94710,0300,,17062.0,0.392,0.0,0.0,False,37.84766790,-122.30844821
ebrpd,EAST BAY REGIONAL PARK DISTRICT,63-3150-85,063-3150-085-00,GRIZZLY PEAK BLVD BERKELEY 94708,0300,R-1H,6638.0,0.152,0.0,0.0,False,37.89069172,-122.25230029
federal,UNITED STATES POSTAL SERVICE,60-2386-1-2,060-2386-001-02,1150 8TH ST BERKELEY 94710,0300,MULI,158539.0,3.64,27825.0,0.0,True,37.88244864,-122.30072668
federal,UNITED STATES POSTAL SERVICE,57-2027-5,057-2027-005-00,MILVIA ST BERKELEY 94704,0300,C-DMU Outer Core,47182.0,1.083,37725.0,0.0,True,37.86868255,-122.26983923
federal,U S BANK TRUST N A TR,54-1813-4,054-1813-004-00,2584 M L KING JR WAY BERKELEY 94704,1100,C-N,6137.0,0.141,2392.0,1325964.0,True,37.86176966,-122.27225962
federal,U S BANK TRUST N A TR,53-1607-34,053-1607-034-00,1646 ASHBY AVE BERKELEY 94703,1100,R-2A,4455.0,0.102,1912.0,984200.0,True,37.85349056,-122.27487519
