project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
15,2109 VIRGINIA St,2109 VIRGINIA ST,37.87677757653766,-122.26852368805868,both,131.0,Approved,True,True,https://sfyimby.com/2024/06/permits-for-housing-at-2109-virginia-street-north-berkeley.html;https://www.berkeleyside.org/2026/02/12/berkeley-housing-shattuck-virginia-poulet-patrick-kennedy;https://sfyimby.com/2023/12/new-plans-surface-for-2109-virginia-street-in-north-berkeley.html;https://sfyimby.com/2026/02/berkeley-city-council-unanimously-approves-eight-story-project-at-2109-virginia-street-in-berkeley.html,SFYimby,,100.0
16,2720 SAN PABLO Ave,2720 SAN PABLO AVE,37.85731033724472,-122.2886908095933,both,113.0,Under Review,True,True,https://www.berkeleyside.org/2020/07/09/berkeley-wins-42-million-in-grants-for-150-units-of-affordable-housing,Berkeleyside,,94.0
17,2109 MILVIA St,2109 MILVIA ST,37.870579505333055,-122.27034111282912,both,105.0,In Review,True,True,https://sfyimby.com/2025/07/construction-underway-for-2118-milvia-street-downtown-berkeley.html,SFYimby,,86.0
18,2655 SHATTUCK Ave,2655 SHATTUCK AVE,37.86069065352949,-122.26644102671744,both,97.0,Pending Final Action,True,True,https://sfyimby.com/2023/04/renderings-for-housing-at-2550-shattuck-avenue-south-berkeley.html;https://sfyimby.com/2024/12/meeting-tomorrow-for-2550-shattuck-avenue-south-berkeley.html;https://sfyimby.com/2023/04/seven-story-infill-planned-for-2550-shattuck-avenue-south-berkeley.html;https://sfyimby.com/2025/01/seven-story-mixed-use-proposed-at-2550-shattuck-avenue-berkeley.html,SFYimby,,94.0
19,2450 SHATTUCK Ave,2450 SHATTUCK AVE,37.864568726306736,-122.26795078029971,official_permit,94.0,Corrections Pending Applicant,True,False,,,,
20,2036 BANCROFT Way,2036 BANCROFT WAY,37.86723084716148,-122.2685166605382,both,85.0,In Review,True,True,https://sfyimby.com/2020/12/berkeley-design-review-committee-to-see-2590-bancroft-way-southside-berkeley.html;https://www.berkeleyside.org/2020/07/24/8-housing-projects-560-apartments-approved-berkeley-2020;https://sfyimby.com/2023/03/construction-tops-out-for-2590-bancroft-way-in-southside-berkeley.html,SFYimby,,85.0
21,2660 BANCROFT Way,2660 BANCROFT WAY,37.868939,-122.255291,both,78.0,Incomplete Pending Applicant,True,True,https://sfyimby.com/2025/01/permits-filed-for-rd-offices-at-600-bancroft-way-berkeley.html;https://sfyimby.com/2024/09/pre-application-filed-for-600-bancroft-way-in-southwest-berkeley.html;https://www.berkeleyside.org/2024/11/25/gigantic-new-life-sciences-campus-in-aquatic-park-is-sitting-empty,SFYimby,,88.0
22,2955 SHATTUCK Ave,2955 SHATTUCK AVE,37.85577704614729,-122.26623093862028,both,74.0,Corrections Pending Applicant,True,True,https://sfyimby.com/2023/12/preliminary-application-for-2955-shattuck-avenue-in-south-berkeley.html,SFYimby,,100.0
23,2326 DURANT Ave,2326 DURANT AVE,37.86708906005523,-122.26226004280632,both,70.0,Pending,True,True,https://sfyimby.com/2023/08/design-review-meeting-tomorrow-for-2538-durant-avenue-in-southside-berkeley.html;https://sfyimby.com/2024/10/construction-imminent-for-2538-durant-avenue-in-southside-berkeley.html,SFYimby,,87.0
24,2330 DURANT Ave,2330 DURANT AVE,37.86711180220465,-122.26208128704796,official_permit,68.0,Under Review,True,False,,,,
25,2455 TELEGRAPH Ave,2455 TELEGRAPH AVE,37.86586841351819,-122.25828811123488,both,68.0,Under Review,True,True,https://sfyimby.com/2025/11/demolition-permits-filed-for-2529-2531-telegraph-avenue-southside-berkeley.html,SFYimby,,89.0
26,2298 DURANT Ave,2298 DURANT AVE,37.86694967603458,-122.26376833393134,both,65.0,Pending Final Action,True,True,https://sfyimby.com/2024/09/renderings-revealed-for-2298-durant-avenue-in-southside-berkeley.html;https://sfyimby.com/2025/10/meeting-schedule-today-for-proposed-apartments-at-2298-durant-avenue-in-berkeley.html;https://sfyimby.com/2024/08/preliminary-plans-for-2298-durant-avenue-in-southside-berkeley.html;https://sfyimby.com/2025/11/demolition-permits-filed-for-2298-durant-avenue-in-southside-berkeley.html,SFYimby,,100.0
27,2441 LE CONTE Ave,2441 LE CONTE AVE,37.8770218450383,-122.26186635613308,both,65.0,Incomplete Pending Applicant,True,True,https://sfyimby.com/2023/09/new-renderings-for-2441-le-conte-avenue-berkeley.html,SFYimby,,100.0
28,2372 ELLSWORTH St,2372 ELLSWORTH ST,37.86654982460947,-122.26364792015735,both,63.0,Under Review,True,True,https://sfyimby.com/2025/10/meeting-tomorrow-for-2372-ellsworth-street-in-southside-berkeley.html,SFYimby,,100.0
29,2138 KITTREDGE St,2138 KITTREDGE ST,37.86834064720663,-122.26699773246196,both,63.0,Under Review,True,True,https://sfyimby.com/2025/08/design-review-meeting-scheduled-for-2138-kittredge-street-in-berkeley.html;https://sfyimby.com/2024/08/preliminary-permits-for-2138-kittredge-street-downtown-berkeley.html,SFYimby,,100.0
30,2001 CENTER St,2001 CENTER ST,37.87021091021583,-122.27030719783389,both,58.0,In Review,True,True,https://sfyimby.com/2025/07/preliminary-permits-for-office-to-housing-conversion-at-2001-center-street-downtown-berkeley.html,SFYimby,,86.0
31,2712 TELEGRAPH Ave,2712 TELEGRAPH AVE,37.86100751672245,-122.25934930814802,both,57.0,Corrections Pending Applicant,True,True,https://sfyimby.com/2022/06/permits-filed-for-mixed-use-at-2712-telegraph-avenue-in-berkeley.html;https://sfyimby.com/2026/02/demolition-permits-for-2712-2714-telegraph-avenue-berkeley.html;https://sfyimby.com/2023/05/meeting-thursday-for-2712-telegraph-avenue-south-berkeley.html,SFYimby,,88.0
32,1740 SAN PABLO Ave,1740 SAN PABLO AVE,37.87189306747787,-122.29344912366952,both,54.0,Under Review,True,True,https://sfyimby.com/2024/06/renderings-for-teacher-housing-at-1701-san-pablo-avenue-west-berkeley.html;https://sfyimby.com/2024/12/limited-partnership-formed-for-affordable-teacher-housing-at-1701-san-pablo-avenue-berkeley.html;https://sfyimby.com/2022/12/housing-proposed-at-1701-san-pablo-avenue-in-berkeley.html,SFYimby,,100.0
33,130 BERKELEY Sq,130 BERKELEY SQ,37.870858,-122.267959,official_permit,50.0,In Review,True,False,,,,
34,2680 BANCROFT Way,2680 BANCROFT WAY,37.86897721110546,-122.25493601002294,both,37.0,Incomplete Pending Applicant,True,True,https://sfyimby.com/2023/04/permits-filed-for-2660-2680-bancroft-way-in-southside-berkeley.html;https://sfyimby.com/2024/03/zoning-permits-submitted-for-2660-2680-bancroft-way-berkeley.html;https://sfyimby.com/2023/12/sb-330-preliminary-application-under-review-for-2680-bancroft-way-southside-berkeley.html;https://sfyimby.com/2023/07/renderings-revealed-for-2660-2680-bancroft-way-in-southside-berkeley.html,SFYimby,,97.0
