"SitusStree","the_geom","DATE_UPDAT","APN","SitusStr_1","SitusUnit","SitusCity","SitusZip","UseCode","BuildingAr","LotSize","SitusAddre","Longitude","Latitude","PARCELID","EXT_MIN_X","EXT_MIN_Y","EXT_MAX_X","EXT_MAX_Y"
"1331","MULTIPOLYGON (((-122.2724827373794 37.88218699771248, -122.27246991523452 37.88207761722271, -122.27258611125662 37.88206221930119, -122.27293127973601 37.88201647870686, -122.27294410141793 37.882125859147365, -122.2724827373794 37.88218699771248)))","2019-07-11 14:28:31","60-2451-25","BONITA AVE",,"BERKELEY","94709","2300","3,904","5,400","1331 BONITA AVE BERKELEY 94709","-122.27270701","37.88210174","060 245102500","563,936.0302","4,192,973.7412","563,977.7716","4,192,992.9681"
"1329","MULTIPOLYGON (((-122.27249556070555 37.88229637730502, -122.2724827373794 37.88218699771248, -122.27294410141793 37.882125859147365, -122.2729569254182 37.88223523869766, -122.27249556070555 37.88229637730502)))","2019-07-11 14:28:34","60-2451-26","BONITA AVE",,"BERKELEY","94709","2200","2,119","5,400","1329 BONITA AVE BERKELEY 94709","-122.27271983","37.88221112","060 245102600","563,934.8079","4,192,985.8684","563,976.5494","4,193,005.0952"
"1327","MULTIPOLYGON (((-122.27250838178398 37.882405757781704, -122.27249556070555 37.88229637730502, -122.2729569254182 37.88223523869766, -122.27296974830784 37.88234461913913, -122.27250838178398 37.882405757781704)))","2019-07-11 14:28:37","60-2451-27","BONITA AVE",,"BERKELEY","94709","2100","2,324","5,400","1327 BONITA AVE BERKELEY 94709","-122.27273265","37.8823205","060 245102700","563,933.5857","4,192,997.9955","563,975.3271","4,193,017.2224"
"1325","MULTIPOLYGON (((-122.27250838178398 37.882405757781704, -122.27296974830784 37.88234461913913, -122.27298096808099 37.882440327021165, -122.2725196021132 37.882501464806495, -122.27251294868434 37.88244470280583, -122.27250838178398 37.882405757781704)))","2019-07-11 14:28:40","60-2451-28","BONITA AVE",,"BERKELEY","94709","1100","1,356","4,725","1325 BONITA AVE BERKELEY 94709","-122.27274467","37.88242304","060 245102800","563,932.5163","4,193,010.1227","563,974.105","4,193,027.8336"
"1323","MULTIPOLYGON (((-122.27253114125374 37.882599907411496, -122.2725212040437 37.88251513736116, -122.2725196021132 37.882501464806495, -122.27298096808099 37.882440327021165, -122.27299250896532 37.882538769595165, -122.27253114125374 37.882599907411496)))","2019-07-11 14:28:42","60-2451-29","BONITA AVE",,"BERKELEY","94709","1100","1,162","4,860","1323 BONITA AVE BERKELEY 94709","-122.27275606","37.88252012","060 245102900","563,931.4163","4,193,020.734","563,973.0355","4,193,038.7481"
"1321","MULTIPOLYGON (((-122.27299250896532 37.882538769595165, -122.27300404875001 37.882637211258455, -122.27254268270592 37.88269834912685, -122.27253402746692 37.88262451784584, -122.27253114125374 37.882599907411496, -122.27299250896532 37.882538769595165)))","2019-07-11 14:28:46","60-2451-30","BONITA AVE",,"BERKELEY","94709","2100","2,000","4,860","1321 BONITA AVE BERKELEY 94709","-122.2727676","37.88261856","060 245103000","563,930.3164","4,193,031.6485","563,971.9356","4,193,049.6625"
"1319","MULTIPOLYGON (((-122.27300404875001 37.882637211258455, -122.27301559083752 37.88273565293334, -122.27255422190366 37.88279679172693, -122.27254684865129 37.88273389831345, -122.27254268270592 37.88269834912685, -122.27300404875001 37.882637211258455)))","2019-07-11 14:28:48","60-2451-31","BONITA AVE",,"BERKELEY","94709","1100","1,646","4,860","1319 BONITA AVE BERKELEY 94709","-122.27277914","37.882717","060 245103100","563,929.2163","4,193,042.5629","563,970.8355","4,193,060.577"
"1340","MULTIPOLYGON (((-122.2721601930341 37.881952040295076, -122.2721730158475 37.882061419921776, -122.27200214041379 37.882084063661765, -122.27198931899598 37.88197468312522, -122.2721601930341 37.881952040295076)))","2019-07-11 14:29:07","60-2451-16","MILVIA ST",,"BERKELEY","94709","2200","2,110","3,000","1340 MILVIA ST BERKELEY 94709","-122.27208117","37.88201805","060 245101600","564,003.8948","4,192,967.1203","564,020.1241","4,192,981.877"
"1947","MULTIPOLYGON (((-122.27214096172729 37.88178797041628, -122.2721601930341 37.881952040295076, -122.27198931899598 37.88197468312522, -122.2719700869266 37.88181061321595, -122.27214096172729 37.88178797041628)))","2019-07-11 14:29:10","60-2451-17","ROSE ST",,"BERKELEY","94709","2400","2,741","3,000","1947 ROSE ST BERKELEY 94709","-122.27206514","37.88188133","060 245101700","564,005.1171","4,192,948.9296","564,021.9574","4,192,969.7498"
"1943","MULTIPOLYGON (((-122.27230971634228 37.88204330547274, -122.2721730158475 37.882061419921776, -122.2721601930341 37.881952040295076, -122.27214096172729 37.88178797041628, -122.27227766172273 37.881769855998556, -122.27230971634228 37.88204330547274)))","2019-07-11 14:29:12","60-2451-18","ROSE ST",,"BERKELEY","94709","2100","2,861","4,000","1943 ROSE ST BERKELEY 94709","-122.27222534","37.88191564","060 245101800","563,991.8891","4,192,946.826","564,006.9503","4,192,979.2474"
