apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
ZZZZZZZZZZZZZ,BL-022330,ARCHITECTURAL CONSULTING,Professional SemiProfessional,WINKEL STEVEN R,541310 - Architectural Services,P,1,Sole Ownership,WINKEL STEVEN R,2765 PRINCE ST,BERKELEY,CA,94705,Business Owner,0 VARIOUS,BERKELEY,CA,94704
057 212000100,BL-050233,ENVIRONMENTAL EDUCATION,Non Profit Organizations,"EARTH ISLAND INSTITUTE, INC.",611710 - Educational Support Services,N,215,Corporation,"EARTH ISLAND INSTITUTE, INC.",2150 ALLSTON WAY STE 460,BERKELEY,CA,94704,Business Owner,2150 ALLSTON WAY,BERKELEY,CA,94704
055 184202900,BL-031133,"NURSING, BOARDING HOME",Non Profit Organizations,RESOURCES FOR COMMUNITY DEV'T.,623110 - Nursing Care Facilities (Skilled Nursing Facilities),N,0,Corporation,RESOURCES FOR COMMUNITY DEV'T.,2220 OXFORD ST,BERKELEY,CA,94704,Business Owner,2511 REGENT ST,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-007395,PLUMBING CONTRACTOR,Construction or Contractor,TRENCHFREE INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,3,Corporation,TRENCHFREE INC,1941 STONE AVE.,SAN JOSE,CA,95125,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-023718,MECHANICAL HVAC,Construction or Contractor,DEHARO MECHANICAL INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,26,Corporation,DEHARO MECHANICAL INC,280 COCHRANE CIR,MORGAN HILL,CA,95037,Business Owner,0 VARIOUS,BERKELEY,CA,94704
058 219601000,BL-021189,CLASSES - RESTAURANT ENTREPRENEURSHIP,Professional SemiProfessional,KAMU SIAPA KITCHEN,611519 - Other Technical and Trade Schools,P,1,Sole Ownership,KAMU SIAPA KITCHEN,2551 HILGARD AVE,BERKELEY,CA,94709-1104,Business Owner,2551 HILGARD Ave,BERKELEY,CA,94709
064 423501003,BL-048502,FINANCIAL PLANNING,Professional SemiProfessional,TOPEL & DISTASI WEALTH MGMT,523930 - Investment Advice,P,4,LLC,TOPEL & DISTASI WEALTH MGMT,2907 CLAREMONT AVE - SUITE 111,BERKELEY,CA,94705,Business Owner,2907 CLAREMONT AVE,BERKELEY,CA,94705
060 236101703,BL-019015,FURNITURE FABRICATION,Manufacturing,V STUDIO,337124 - Metal Household Furniture Manufacturing,M,1,Corporation,V STUDIO,"725 GILMAN ST., SUITE 1230B",BERKELEY,CA,947101312,Business Owner,725 Gilman St,BERKELEY,CA,94710
061 257702601,BL-045263,BUSINESS CONSULTING,Professional SemiProfessional,CALCOTT PETER,541611 - Administrative Management and General Management Consulting Services,P,1,LLC,CALCOTT PETER,931 MENDOCINO AVE,BERKELEY,CA,947071924,Business Owner,931 MENDOCINO AVE,BERKELEY,CA,94707
ZZZZZZZZZZZZZ,BL-022648,SOCCER COACHING,Professional SemiProfessional,WARREN-BOYD PAUL,611620 - Sports and Recreation Instruction,P,1,Sole Ownership,WARREN-BOYD PAUL,1647 CARLETON ST,BERKELEY,CA,94703,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-034289,GARDENING SERVICES,Business Personal Repair Svs,GARDEN GATE LANDSCAPE,561730 - Landscaping Services,B,0,Sole Ownership,GARDEN GATE LANDSCAPE,7530 GREENLY DR,OAKLAND,CA,94605,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 183200701,BL-042828,JEWELRY - FUSED GLASS,Entertainment Recreation,GINA PAPEN,"711510 - Independent Artists, Writers, and Performers",E,0,Sole Ownership,GINA PAPEN,2337 PARKER ST APT 12,BERKELEY,CA,94704,Business Owner,2337 PARKER ST,BERKELEY,CA,94704
