OBJECTID,APN,ST_NUM,FEANME,FEATYP,DIRPRE,DIRSUF,MUN,UNIT,UNIT_TYP,SRC_DATE,REV_DATE,SPADID,ADDRESS,CITY,ZIPCODE,ADDRESSLOOKUP,X_CORD,Y_CORD,longitude,latitude
480287,057 209805100,802.0,DELAWARE,ST,,,BE,,,1138924800000,1679519245000,101284558,802 Delaware St,Berkeley,94710,802 Delaware St Berkeley CA 94710,-13614286.7143,4561133.1591,-122.2992183784103,37.87039529806464
480298,058 217300203,1600.0,SHATTUCK,AV,,,BE,222,,1138924800000,1679519245000,101570265,1600 Shattuck Ave 222,Berkeley,94709,1600 Shattuck Ave 222 Berkeley CA 94709,-13610981.4084,4562214.376,-122.2695263103237,37.878062146845366
480316,063 295801600,677.0,SPRUCE,ST,,,BE,,,1138924800000,1679519245000,101284578,677 Spruce St,Berkeley,94707,677 Spruce St Berkeley CA 94707,-13611004.0317,4565115.3263,-122.26972953888536,37.89862868108122
480355,054 170901300,2740.0,COLLEGE,AV,,,BE,107,,1138924800000,1679519245000,101570287,2740 College Ave 107,Berkeley,94705,2740 College Ave 107 Berkeley CA 94705,-13609224.3608,4559720.8516,-122.25374248318364,37.860379502512984
480376,062 289902600,1858.0,THOUSAND OAKS,BL,,,BE,,,1138924800000,1679519245000,101570296,1858 Thousand Oaks Blvd,Berkeley,94707,1858 Thousand Oaks Blvd Berkeley CA 94707,-13612115.8751,4564896.7361,-122.27971739808306,37.89707916737037
480386,060 243803300,1343.0,MCGEE,AV,,,BE,,,1138924800000,1679519245000,101570299,1343 Mcgee Ave,Berkeley,94703,1343 Mcgee Ave Berkeley CA 94703,-13612134.6318,4562617.4698,-122.27988589238592,37.88092025832438
480390,058 212600300,1016.0,VIRGINIA,ST,,,BE,,,1138924800000,1679519245000,101284626,1016 Virginia St,Berkeley,94710,1016 Virginia St Berkeley CA 94710,-13613836.2089,4561486.2673,-122.29517141954632,37.8728992563726
480405,059 225900800,1526.0,OXFORD,ST,,,BE,B,,1138924800000,1679519245000,101284635,1526 Oxford St B,Berkeley,94709,1526 Oxford St B Berkeley CA 94709,-13610732.6694,4562414.9132,-122.26729184986912,37.87948405723301
480414,058 218102900,1765.0,OXFORD,ST,,,BE,12,,1138924800000,1679519245000,101284642,1765 Oxford St 12,Berkeley,94709,1765 Oxford St 12 Berkeley CA 94709,-13610613.0373,4561899.8713,-122.26621717643012,37.87583209383786
480427,056 198800203,1234.0,ALLSTON,WY,,,BE,,,1138924800000,1679519245000,101570311,1234 Allston Way,Berkeley,94702,1234 Allston Way Berkeley CA 94702,-13612978.7467,4560606.3549,-122.28746870554818,37.866659469753415
480443,056 197902301,1122.0,UNIVERSITY,AV,,,BE,416,APT,1567543538000,1679519245000,101570318,1122 University Ave Apt 416,Berkeley,94702,1122 University Ave Apt 416 Berkeley CA 94702,-13613382.949,4560942.4716,-122.29109971658784,37.86904306086002
480449,061 255801200,1118.0,OXFORD,ST,,,BE,,,1138924800000,1679519245000,101284664,1118 Oxford St,Berkeley,94707,1118 Oxford St Berkeley CA 94707,-13610877.3599,4563654.9552,-122.2685916267453,37.88827597383145
480458,055 191102900,2407.0,CALIFORNIA,ST,,,BE,,,1138924800000,1679519245000,101284670,2407 California St,Berkeley,94703,2407 California St Berkeley CA 94703,-13612008.2674,4560236.9163,-122.27875074166704,37.8640394855075
480473,053 159202400,2034.0,ASHBY,AV,,,BE,8,,1138924800000,1679519245000,101570330,2034 Ashby Ave 8,Berkeley,94703,2034 Ashby Ave 8 Berkeley CA 94703,-13610742.3635,4558952.0472,-122.26737893345108,37.85492672696121
480481,056 193300200,1028.0,BANCROFT,WY,,,BE,3,,1138924800000,1679519245000,101570336,1028 Bancroft Way 3,Berkeley,94710,1028 Bancroft Way 3 Berkeley CA 94710,-13613424.2619,4560263.3425,-122.29147083668286,37.864226897896
480488,056 193401700,1019.0,CHANNING,WY,,,BE,3,,1138924800000,1679519245000,101570338,1019 Channing Way 3,Berkeley,94710,1019 Channing Way 3 Berkeley CA 94710,-13613431.0948,4560060.4382,-122.2915322176679,37.86278790544138
480499,060 239200400,1318.0,CURTIS,ST,,,BE,,,1138924800000,1679519245000,101284690,1318 Curtis St,Berkeley,94702,1318 Curtis St Berkeley CA 94702,-13613313.4224,4562619.3083,-122.29047514851352,37.88093329384003
480502,056 201200900,2116.0,GRANT,ST,,,BE,,,1138924800000,1679519245000,101284694,2116 Grant St,Berkeley,94703,2116 Grant St Berkeley CA 94703,-13611636.6057,4561020.0794,-122.27541204781076,37.86959341012573
480531,052 157901300,2301.0,HOWE,ST,,,BE,B,,1138924800000,1679519245000,101284708,2301 Howe St B,Berkeley,94705,2301 Howe St B Berkeley CA 94705,-13610060.3587,4559255.7901,-122.26125238009426,37.857081083668675
480542,064 422602000,61.0,TUNNEL,RD,,,BE,,,1138924800000,1679519245000,101284716,61 Tunnel Rd,Berkeley,94705,61 Tunnel Rd Berkeley CA 94705,-13607822.7518,4559236.3519,-122.24115161531306,37.85694321626899
480550,054 170900100,2701.0,BENVENUE,AV,,,BE,5,,1138924800000,1679519245000,101570367,2701 Benvenue Ave 5,Berkeley,94705,2701 Benvenue Ave 5 Berkeley CA 94705,-13609303.5175,4559891.1698,-122.25445355991816,37.86158743649019
480571,052 156308900,3141.0,COLLEGE,AV,,,BE,5,,1138924800000,1679519245000,101570377,3141 College Ave 5,Berkeley,94705,3141 College Ave 5 Berkeley CA 94705,-13609061.2065,4558603.2789,-122.25227684317004,37.85245294103063
480584,057 202400701,1935.0,ADDISON,ST,,,BE,314,APT,1571437468000,1679519245000,101284740,1935 Addison St Apt 314,Berkeley,94704,1935 Addison St Apt 314 Berkeley CA 94704,-13611171.9257,4561218.6863,-122.27123775634848,37.87100179573518
480596,061 261300501,1762.0,SOLANO,AV,,,BE,201,UNIT,1579906601000,1679519245000,101570386,1762 Solano Ave Unit 201,Berkeley,94707,1762 Solano Ave Unit 201 Berkeley CA 94707,-13612249.1771,4564048.6859,-122.28091487032306,37.891067310918025
480620,060 247903900,1351.0,GLENDALE,AV,,,BE,,,1138924800000,1679519245000,101570400,1351 Glendale Ave,Berkeley,94708,1351 Glendale Ave Berkeley CA 94708,-13609362.4435,4563169.1921,-122.25498290118249,37.88483203113368
480625,060 248300200,1460.0,OLYMPUS,AV,,,BE,,,1138924800000,1679519245000,101570402,1460 Olympus Ave,Berkeley,94708,1460 Olympus Ave Berkeley CA 94708,-13609011.6451,4562880.0257,-122.25183162553884,37.88278183493059
480633,052 157603300,3050.0,TELEGRAPH,AV,,,BE,,,1138924800000,1679519245000,101570406,3050 Telegraph Ave,Berkeley,94705,3050 Telegraph Ave Berkeley CA 94705,-13609948.2682,4558841.6388,-122.2602454540007,37.85414361790359
480637,055 183002200,2228.0,DWIGHT,WY,,,BE,2W,,1138924800000,1679519245000,101570407,2228 Dwight Way 2W,Berkeley,94704,2228 Dwight Way 2W Berkeley CA 94704,-13610352.6792,4560252.0348,-122.2638783398244,37.86414670469669
480645,057 210900103,600.0,CEDAR,ST,,,BE,G,UNIT,1582843531000,1679519245000,101284777,600 Cedar St Unit G,Berkeley,94710,600 Cedar St Unit G Berkeley CA 94710,-13614902.8538,4561469.2363,-122.30475325371027,37.872778488222146
480664,055 188300100,2400.0,DANA,ST,,,BE,6,,1138924800000,1679519245000,101284788,2400 Dana St 6,Berkeley,94704,2400 Dana St 6 Berkeley CA 94704,-13610069.456,4560574.2262,-122.2613341025306,37.86643162317323
480668,054 178902000,1216.0,BLAKE,ST,,,BE,,,1138924800000,1679519245000,101284790,1216 Blake St,Berkeley,94702,1216 Blake St Berkeley CA 94702,-13612840.404,4559720.1844,-122.2862259519296,37.86037477054553
