needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,PLN2025-0062,2641 COLLEGE Ave,"Demolish the existing garage in the rear of the lot and utilize SB 684/SB 1123 to subdivide the existing 5,400 square-feet R2A lot (APN# 055 184801800) into one 2,994 square-feet lot in the front with an existing duplex building, and one new 2,406 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residential building including three units.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0065,1419 GRANT St,"To construct a 2-story, 3-bed, 3-bath single family dwelling in the rear yard, utilizing SB 684. The unit will be on its own designated parcel, providing 1,553 square feet of net habitable area.",0,1,1,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0073,1922 FRANCISCO St,"Storage building removed, two new 1,653s.f. 3-story units with SB684 Lot Split, so each new house will be on separate lot and existing house will be on its own lot. No new parking proposed. Max height 31'-2"", Max Avg Height 28'.",0,2,2,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0075,1514 WALNUT St,"Proposed subdivision of existing 4,770 SF R2A lot into one 2,600 SF lot, which contains an
existing duplex building. Propose new three story three unit residential building on new
2,170 SF subdivided lot utilizing SB 684/SB 1123. Gross area of the new building is
3,292SF.",2,5,3,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0079,2780 MABEL St,"Middle Housing Application to construct a 2-story (1,151 square foot) major residential addition to an existing one story single-family residence.",,,,failed_extraction,Approved,,,,,TRUE
,PLN2025-0082,2190 SHATTUCK Ave,"Use Permit Modification. To modify Use Permit ZP2016-0117, an approved 25-story mixed-use (residential and commercial) building by increasing the State Density Bonus level from 25 to 34 stories",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0083,2808 NINTH St,"Middle Housing project to demolish an inhabitable single-family home and construct a two-story duplex with a detached two-story garage with a living unit, for a total of three living units.",1,3,2,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0089,2812 EIGHTH St,"Demolish an existing [TBD]-square-foot, one-story ([TBD] feet tall) single-family dwelling and an accessory structure (garden shed) on a 6,262-square-foot lot. Utilize SB 684/SB 1123 on the MUR-designated lot (APN# 053-1658-005-02) to construct three (3) three-story buildings (35 feet at ridge height), containing four (4) new dwelling units with an average unit size of 1,644 square feet ((Unit A :1,582, Unit B: 1,580, Unit C:1,453 & Unit D: 2,328 sq. ft.) and four (4) garage spaces, totaling 8,172 square feet of gross floor area.",1,4,3,failed_extraction,Pending,,,,,TRUE
,PLN2025-0091,1419 GRANT St,"Utilizing Senate Bills SB 330 and SB 684, this project proposes to subdivide an existing 5,389-square-foot R-2 zoned lot into: 

1)  A 3,249-square-foot front lot containing an existing 3,483 square-foot, two-story (X- feet tall) single-family dwelling; and

2) A 2,140-square-foot rear lot containing a new 1,655-square-foot (GFA), two-story single-family dwelling (23 feet to T.O shed roof)",0,2,2,failed_extraction,Pending,,,,,TRUE
,PLN2025-0101,1339 STANNAGE Ave,"Middle Housing Application to construct a 2-story (1,173 square foot) major residential addition to an existing one story single-family residence, resulting in a 1,995 square foot house in the R-2 district.",,,,failed_extraction,Under Review,,,,,TRUE
