needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,ZP2024-0074,1581 UNIVERSITY Ave,"SB-330 Project - Demolition of 2 existing non-landmarked mixed-use structures and surface parking to 
construct a new 88'6"", 7-story, 158-unit mixed-use housing development with 96,256 sq ft of new residential space, 1788 sq ft of commercial space, and 32 parking spaces. 

14 units (15%) of base project units are VLI; 9 units (10%) are moderate-income households; project entitled to 82.5% density bonus, waviers, and up to 4 concessions under the State Density Bonus Law.",0,158,158,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0075,1899 OXFORD St,"SB-330 Project -  Use Permit to demolish a two-story multifamily building (8 units), merge two lots, and construct a 7-story, (78 feet, 9 inches in maximum height) mixed-use building with 94,140 residential floor area, 3,873 commercial floor area, 15 off-street parking spaces, and 80 bicycle parking spaces. The project would utilize a 96.3 percent density bonus and provide 17 very-low-income units and 16 middle-income units.",8,220,212,extracted,Pending Final Action,,,,,FALSE
,ZP2024-0076,2720 SAN PABLO Ave,"SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking for the construction of a new eight-story, 88'10"" in height, 117-unit mixed-use housing development with 49,465 sf of new residential space and 1,244 sf commercial space.  

10 units (15%) of the base project will be VLI household; 6 units (9%) will be moderate income household.
Entitled to 80% density bonus, waivers, and up to 4 concessions under the State Density Bonus Law.",4,117,113,extracted,In Review,,,,,FALSE
,ZP2024-0077,2847 SHATTUCK Ave,"SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking to construct a new 9-story, 102'0"" in height, 136-unit mixed-use housing development with 55,849 sq ft of residential space and 2,503 sq ft commercial space.

14% of the base project's units will be VLI income households; Entitled to 46.25% density bonus, waivers, and up to 3 concessions  under the State Density Bonus Law.",4,136,132,extracted,In Review,,,,,FALSE
,ZP2024-0079,2036 BANCROFT Way,"SB-330 Project - Demolition of two existing landmarked buildings and a partial landmarked commercial office building to construct an 85', 8-story, multi-family building.  Residential project will have 87 units including 4 VLI units, 19 vehicle parking spaces and 63 bicycle parking spaces.",2,87,85,extracted,In Review,,,,,FALSE
,ZP2024-0099,1012 GRAYSON St B,Proposed Food Window from existing catering company,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0101,1429 EDITH St,"Administrative Use Permit #ZP2024-0101 to reduce the rear setback for the construction of an addition over 14 feet in average height, construct an enclosed accessory structure and establish one off-street parking within the front setback.",,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2024-0118,2212 ASHBY Ave,Administrative Use Permit to construct two dormers and a roof deck over 14 feet tall,,,,not_housing,On Hold,,,,,FALSE
,ZP2024-0131,2115 KITTREDGE St,Construction of a twenty-three-story building with a live performance theater and 148 dwelling units that will retain the original primary south facade of the building.  The density bonus project includes 24 affordable units (12 VLI + 12 MI units) with residential amenity space and usable open space.,0,148,148,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2024-0132,2173 N VALLEY St,Administrative Use Permit to raise the existing house and construct a story underneath creating a proposed height of 23 feet tall.,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2024-0139,1133 HOPKINS St,"Administrative Use Permit #ZP2024-0139 to legalize 120 square-foot accessory building 10 feet and 8 inches in average height, for office use, within a required street side setback on a corner lot.",,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2024-0147,2420 ASHBY Ave,"Use Permit to convert a nonconforming medical office use to a multifamily residential use by reconfiguring interior space to create 4 dwelling units, establish 5 off street parking spaces, and create new window openings within a nonconforming side setback on a site located within the Environmental Management Area",0,4,4,extracted,Under Review,,,,,FALSE
,ZP2024-0171,2119 LOS ANGELES Ave,Replace a retaining wall within the front setback and rebuild the stairs within the front setback from street to house,,,,not_housing,Pending,,,,,FALSE
,ZP2024-0181,2029 UNIVERSITY Ave,"The project is the construction of a new 23-story (256'-0""), 240-unit housing development with 190,878_sf of new residential use and parking garage for up to 29 spaces. The project includes removal of existing non-landmarked 2-story commercial structure and surface parking. 15% (18 units) of the base project's units will be affordable to very-low-income households, and 15% (18 units) will be affordable to moderate income households, making the project eligible for a 100% density bonus, waivers, and up to 4 concessions as a State Density Bonus Law development per California Government Code § 65915.",0,240,240,extracted,Pending Final Action,,,,,FALSE
