full_address,street_number,street_name,street_type,city,zipcode,longitude,latitude,address_normalized
,,,,Berkeley,94706,-13613216.5331,4562699.807899997,
,,,,Berkeley,94709,-13609973.127,4562201.1586000025,
,,,,Berkeley,94702,-13613142.3713,4561321.709200002,
,,,,Berkeley,94704,-13611002.6504,4560343.476899996,
,,,,Berkeley,94709,-13610550.6243,4562643.564400002,
,,,,Berkeley,94703,-13611688.2104,4561143.365999997,
,,,,Berkeley,94702,-13613643.4637,4562059.124399997,
,,,,Berkeley,94707,-13612355.6327,4563967.665600002,
,,,,Berkeley,94707,-13610939.430100001,4563994.393200003,
,,,,Berkeley,94709,-13611252.6723,4562392.053999998,
,,,,Berkeley,94705,-13608667.3485,4559387.955499999,
,,,,Berkeley,94709,-13610566.2766,4562018.3257,
,,,,Berkeley,94705,-13609287.1072,4559937.044100001,
,,,,Berkeley,94705,-13608512.6412,4560113.7272000015,
,,,,Berkeley,94704,-13609338.194600001,4560370.106200002,
,,,,Berkeley,94702,-13612566.922699999,4560103.392200001,
,,,,Berkeley,94702,-13612977.8961,4559090.863700002,
,,,,Berkeley,94704,-13610518.8235,4560231.978100002,
,,,,Berkeley,94706,-13613931.099399999,4562796.3917,
,,,,Berkeley,94703,-13611057.3171,4558914.5249999985,
,,,,Berkeley,94704,-13609188.4729,4560774.328000002,
,,,,Berkeley,94704,-13609708.3785,4560318.7092999965,
,,,,Berkeley,94703,-13611560.173700001,4557719.650300004,
,,,,Berkeley,94706,-13613940.6833,4562785.689800002,
,,,,Berkeley,94703,-13611653.2675,4558947.576899998,
,,,,Berkeley,94704,-13611066.3063,4559873.4564,
,,,,Berkeley,94707,-13611166.5876,4563699.913199998,
,,,,Berkeley,94709,-13609854.2157,4562106.675099999,
,,,,Berkeley,94709,-13610712.045400001,4562194.933399998,
,,,,Berkeley,94710,-13613587.4819,4558246.3288,
,,,,Berkeley,94704,-13610759.9506,4559914.7255000025,
,,,,Berkeley,94703,-13611583.8515,4558497.419399999,
,,,,Berkeley,94704,-13610981.4525,4561148.7566,
,,,,Berkeley,94702,-13613655.9957,4562109.053999998,
,,,,Berkeley,94704,-13609662.1551,4560900.331100002,
,,,,Berkeley,94702,-13612317.7402,4560000.1708,
,,,,Berkeley,94704,-13609742.4772,4560063.006099999,
,,,,Berkeley,94704,-13610602.002999999,4561061.1721,
,,,,Berkeley,94702,-13613312.8426,4560427.747599997,
,,,,Berkeley,94703,-13611432.196800001,4559504.472400002,
,,,,Berkeley,94704,-13610811.9775,4561494.099699996,
,,,,Berkeley,94703,-13611759.695799999,4560961.405699998,
,,,,Berkeley,94704,-13610739.3463,4561221.990199998,
,,,,Berkeley,94703,-13611617.2791,4558431.631700002,
,,,,Berkeley,94702,-13612900.5601,4562158.7897000015,
,,,,Berkeley,94704,-13609927.2674,4560461.478100002,
,,,,Berkeley,94710,-13614141.1386,4560746.887900002,
,,,,Berkeley,94708,-13609925.565000001,4563733.893700004,
,,,,Berkeley,94709,-13611441.4309,4562471.384199999,
,,,,Berkeley,94708,-13609643.226300001,4562615.4899,
,,,,Berkeley,94708,-13609378.127999999,4563808.127499998,
,,,,Berkeley,94707,-13612792.3972,4564713.8935,
,,,,Berkeley,94705,-13609586.04,4558706.7201000005,
,,,,Berkeley,94705,-13610034.184700001,4559865.218999997,
,,,,Berkeley,94707,-13612218.2097,4564030.979000002,
,,,,Berkeley,94709,-13610931.715300001,4561773.6679000035,
,,,,Berkeley,94702,-13612806.588399999,4561243.574199997,
,,,,Berkeley,94707,-13611352.9764,4563559.3301,
,,,,Berkeley,94702,-13612479.094,4558834.438299999,
,,,,Berkeley,94708,-13610378.1061,4564627.1109,
,,,,Berkeley,94702,-13612835.3489,4558553.615400001,
,,,,Berkeley,94705,-13610646.291000001,4559411.027599998,
,,,,Berkeley,94702,-13612474.9824,4558582.022100002,
,,,,Berkeley,94707,-13612099.079599999,4564053.317699999,
