Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
27,1899 OXFORD St,1899 OXFORD ST,,,1,ZP2024-0075,ZP2024-0075,8.0,220.0,212.0,2024.0,"SB-330 Project -  Use Permit to demolish a two-story multifamily building (8 units), merge two lots, and construct a 7-story, (78 feet, 9 inches in maximum height) mixed-use building with 94,140 residential floor area, 3,873 commercial floor area, 15 off-street parking spaces, and 80 bicycle parking spaces. The project would utilize a 96.3 percent density bonus and provide 17 very-low-income units and 16 middle-income units.",Pending Final Action,single_permit,1308.0
28,1914 FIFTH St,1914 FIFTH ST,,,1,ZP2020-0104,ZP2020-0104,0.0,257.0,257.0,2020.0,"demolish an existing parking lot and portions of an existing commercial building and construct a new seven-story mixed-use building with 5,500 square feet of commercial area and 257 dwelling units, including 26 Very Low-Income Units, pursuant to State Density Bonus law.",Under Review,single_permit,1565.0
29,1922 FRANCISCO St,1922 FRANCISCO ST,,,1,PLN2025-0073,PLN2025-0073,0.0,2.0,2.0,2025.0,"Storage building removed, two new 1,653s.f. 3-story units with SB684 Lot Split, so each new house will be on separate lot and existing house will be on its own lot. No new parking proposed. Max height 31'-2"", Max Avg Height 28'.",Under Review,single_permit,1567.0
30,1939 MARIN Ave,1939 MARIN AVE,,,1,PLN2024-0061,PLN2024-0061,0.0,1.0,1.0,2024.0,Payment of the City Arborist fees for the Building Permit B2024-02225 to add new detached Accessory Dwelling Unit and upgrade Main Electrical Service to 225 Amps.,Under Review,single_permit,1568.0
31,2001 CENTER St,2001 CENTER ST,,,2,"ZP2025-0107, PLN2025-0039",ZP2025-0107,0.0,58.0,58.0,2025.0,"To convert the existing 7-story,  ~35,904 sq.ft. office building in Berkeley, converting Levels 2–7 into ~58 residential units and keeping ground-floor retail. The mechanical penthouse (86'-4"") will become a roof garden, with height unchanged at 100'-0"". Includes interior demolition only, 10% very-low-income units (~6), and no on-site parking per AB-2097.",Incomplete Pending Applicant,max_units,1626.0
32,2029 UNIVERSITY Ave,2029 UNIVERSITY AVE,,,4,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",ZP2024-0181,0.0,240.0,240.0,2024.0,"The project is the construction of a new 23-story (256'-0""), 240-unit housing development with 190,878_sf of new residential use and parking garage for up to 29 spaces. The project includes removal of existing non-landmarked 2-story commercial structure and surface parking. 15% (18 units) of the base project's units will be affordable to very-low-income households, and 15% (18 units) will be affordable to moderate income households, making the project eligible for a 100% density bonus, waivers, and up to 4 concessions as a State Density Bonus Law development per California Government Code § 65915.",Pending Final Action,max_units,1866.0
33,2036 BANCROFT Way,2036 BANCROFT WAY,,,1,ZP2024-0079,ZP2024-0079,2.0,87.0,85.0,2024.0,"SB-330 Project - Demolition of two existing landmarked buildings and a partial landmarked commercial office building to construct an 85', 8-story, multi-family building.  Residential project will have 87 units including 4 VLI units, 19 vehicle parking spaces and 63 bicycle parking spaces.",In Review,single_permit,1951.0
34,2109 MILVIA St,2109 MILVIA ST,,,1,ZP2023-0099,ZP2023-0099,0.0,105.0,105.0,2023.0,"SB-330 Project: Removal of existing parking lot to construct a new 14-story mixed-use building with 105 dwelling, ground level lobbies and commercial space.  This is a State of California Density Bonus Project.",In Review,single_permit,2056.0
35,2109 VIRGINIA St,2109 VIRGINIA ST,,,1,ZP2024-0066,ZP2024-0066,0.0,131.0,131.0,2024.0,"Demolition of existing non-landmarked 2-story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall), 131-unit mixed-use housing development with 107,935sf of new residential use, parking garage for up to 103 spots, and 1,200 sf new commercial space.  15% (11 units) of the base project's units will be affordable to very-low-income households, and 13% (9 units) will be Moderate Income households, entitling it to 92.5% density bonus, waivers, and up to 4 concessions under the state density bonus law.",Appealed,single_permit,2187.0
36,2115 KITTREDGE St,2115 KITTREDGE ST,,,1,ZP2024-0131,ZP2024-0131,0.0,148.0,148.0,2024.0,Construction of a twenty-three-story building with a live performance theater and 148 dwelling units that will retain the original primary south facade of the building.  The density bonus project includes 24 affordable units (12 VLI + 12 MI units) with residential amenity space and usable open space.,Incomplete Pending Applicant,single_permit,2335.0
