JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2022-05195,791 CONTRA COSTA Ave,061 257607600,SFD,0.0,0.0
B2024-00374,923 MENDOCINO Ave,061 257703000,ADU,0.0,0.0
B2024-00751,49 SAN MATEO Rd,061 257801202,ADU,0.0,0.0
B2024-02714,2 INDIAN ROCK Path,061 257802500,ADU,0.0,0.0
B2024-00628,820 SAN DIEGO Rd,061 257900302,SFD,0.0,0.0
B2023-05025,2 MONTROSE Rd,061 258100100,ADU,0.0,0.0
B2024-00626,842 SANTA BARBARA Rd,061 258101400,ADU,0.0,0.0
B2023-02733,866 SANTA BARBARA Rd,061 258101900,SFD,-1.0,0.0
B2021-04760,876 SPRUCE St,061 258203801,SFD,-1.0,0.0
B2024-02154,841 OXFORD St,061 258301300,ADU,0.0,0.0
B2024-02030,887 INDIAN ROCK Ave,061 258303000,ADU,0.0,0.0
B2024-03049,871 INDIAN ROCK Ave,061 258303400,ADU,0.0,0.0
B2024-03101,847 INDIAN ROCK Ave,061 258304000,ADU,-1.0,-1.0
B2023-06316,2119 MARIN Ave,061 258400300,SFD,0.0,-1.0
B2024-04743,829 SHATTUCK Ave,061 258400700,SFD,0.0,-1.0
B2023-05333,814 OXFORD St,061 258402000,SFD,0.0,0.0
B2024-05226,818 OXFORD St,061 258402200,SFD,-1.0,-1.0
B2024-03060,961 INDIAN ROCK Ave,061 258501700,ADU,0.0,0.0
B2024-02619,910 OXFORD St,061 258700702,ADU,0.0,0.0
B2024-03222,924 SAN BENITO Rd,061 258800800,ADU,0.0,0.0
B2024-04189,1030 SPRUCE St,061 258802000,ADU,0.0,0.0
B2024-02703,1027 OXFORD St,061 258803700,ADU,0.0,0.0
B2024-03985,1023 OXFORD St,061 258803800,ADU,0.0,0.0
B2024-00847,1001 OXFORD St,061 258804300,ADU,0.0,0.0
B2023-05497,935 OXFORD St,061 258804900,ADU,0.0,0.0
B2024-04381,900 SPRUCE St,061 259000100,ADU,0.0,0.0
B2024-05464,920 SPRUCE St,061 259000500,ADU,0.0,0.0
B2024-03337,729 ARLINGTON Ave,061 259800300,SFD,0.0,0.0
B2024-00547,743 SAN DIEGO Rd,061 259802900,SFD,0.0,0.0
B2023-01959,811 ARLINGTON Ave,061 259803600,SFD,0.0,0.0
B2024-02269,1826 CATALINA Ave,061 260201401,ADU,0.0,0.0
B2024-04619,1856 CATALINA Ave,061 260202200,ADU,0.0,0.0
B2024-00058,838 THE ALAMEDA,061 260202600,ADU,0.0,0.0
B2024-01568,1100 THE ALAMEDA,061 260500400,SFD,0.0,0.0
B2024-01093,1132 THE ALAMEDA,061 260501100,ADU,0.0,0.0
B2024-05044,1843 SONOMA Ave,061 260502100,ADU,0.0,0.0
B2022-01381,1131 FRESNO Ave,061 260502900,SFD,-1.0,0.0
B2024-03778,1111 FRESNO Ave,061 260503400,SFD,0.0,0.0
B2023-06472,1615 POSEN Ave,061 260702600,SFD,0.0,-1.0
B2024-01168,1128 FRESNO Ave,061 260901000,SFD,0.0,0.0
B2024-02153,1027 COLUSA Ave,061 261001900,ADU,0.0,0.0
B2024-02069,1825 MARIN Ave,061 261101500,ADU,0.0,0.0
B2024-06068,912 ENSENADA Ave,061 261400600,ADU,0.0,0.0
B2024-02792,1737 MADERA St,061 261500600,SFD,0.0,0.0
B2022-05940,1735 MADERA St,061 261500700,SFD,0.0,0.0
B2024-02303,1709 MADERA St,061 261501500,SFD,0.0,0.0
B2024-03139,1744 MARIN Ave,061 261503000,SFD,-1.0,-1.0
B2024-04422,1047 MERCED St,061 261602000,ADU,0.0,0.0
B2024-02092,1059 SIERRA St,061 261702400,ADU,0.0,0.0
B2022-05624,1005 SIERRA St,061 261703600,SFD,0.0,0.0
B2023-06414,1024 SIERRA St,061 261800600,ADU,0.0,0.0
B2024-05987,1550 BEVERLY Pl,061 262000800,ADU,0.0,0.0
B2024-01498,1547 POSEN Ave,061 262002100,SFD,0.0,0.0
B2024-01574,1120 MONTEREY Ave,061 262901300,ADU,0.0,0.0
B2024-05833,756 NEILSON St,062 284900900,ADU,0.0,0.0
B2024-05177,501 NEILSON St,062 286700100,ADU,0.0,0.0
B2023-05022,571 NEILSON St,062 286702100,SFD,0.0,0.0
B2024-04151,511 NEILSON St,062 286703000,ADU,0.0,0.0
B2024-00796,670 PERALTA Ave,062 286801200,ADU,0.0,0.0
B2024-00099,741 NEILSON St,062 286903000,ADU,0.0,0.0
B2024-00082,713 NEILSON St,062 286903500,SFD,-1.0,-1.0
B2024-00570,844 PERALTA Ave,062 287001000,ADU,0.0,0.0
B2022-02352,877 NEILSON St,062 287002100,SFD,0.0,0.0
B2024-05342,863 NEILSON St,062 287002300,ADU,-1.0,-1.0
B2024-02580,1634 TACOMA Ave,062 287102300,ADU,0.0,0.0
B2024-03000,1604 CAPISTRANO Ave,062 287203200,ADU,0.0,0.0
B2023-06457,814 MIRAMAR Ave,062 287400300,SFD,0.0,0.0
B2023-00097,725 PERALTA Ave,062 287602000,SFD,-1.0,0.0
B2024-05628,795 VINCENTE Ave,062 288101000,ADU,0.0,0.0
B2024-01424,1719 SAN LORENZO Ave,062 288201200,ADU,0.0,0.0
B2024-02411,1740 SAN LORENZO Ave,062 288301900,ADU,0.0,0.0
B2023-05893,1883 TACOMA Ave,062 288500500,ADU,0.0,0.0
B2024-00981,1854 CAPISTRANO Ave,062 288503300,SFD,0.0,0.0
B2023-06236,1745 TACOMA Ave,062 288601000,ADU,0.0,0.0
