"beso_id","property_building_name","building_address","alternate_addresses","beso_property_type","floor_area","_2024_benchmark_status","_2024_energy_star_score","_2024_site_eui_kbtu_ft2_","_2024_source_eui_kbtu_ft2_","_2024_natural_gas_use_therms_","_2024_electricity_use_grid_purchase_kwh_","_2023_benchmark_status","_2023_energy_star_score","_2023_site_eui_kbtu_ft2_","_2023_source_eui_kbtu_ft2_","_2023_natural_gas_use_kbtu_","_2023_electricity_use_grid_purchase_kwh_","_2022_benchmark_status","_2022_energy_star_score","_2022_site_eui_kbtu_ft2","_2022_source_eui_kbtu_ft2","_2022_natural_gas_use_kbtu_","_2022_electricity_use_grid_purchase_kwh_","_2021_benchmark_status","_2021_energy_star_score","_2021_site_eui_kbtu_ft2","_2021_source_eui_kbtu_ft2","_2021_natural_gas_use_kbtu_","_2021_electricity_use_grid_purchase_kwh_","assessment_requirement","assessment_first_cycle_due_date","assessment_first_cycle_status","assessment_first_cycle_payment_status","assessment_second_cycle_due_date","assessment_second_cycle_status","assessment_second_cycle_payment_status","assessment_third_cycle_due_date","assessment_third_cycle_status","assessment_third_cycle_payment_status"
"3260","2201-2217 Shattuck Ave","2108 ALLSTON WAY","2207 SHATTUCK AVE; 2205 SHATTUCK AVE; 2108 ALLSTON WAY; 2211 SHATTUCK AVE; 2213 SHATTUCK AVE; 2201 SHATTUCK AVE; 2209 SHATTUCK AVE","Mixed Use (Comm/MF)","26206","2024 - Did Not Report",,,,,,"2023 - Did Not Report",,,,,,"2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Did Not Comply","Due",,,,,,
"3270","Gaia Apartments","2116 ALLSTON WAY","2116 ALLSTON WAY; 2120 ALLSTON WAY; 2130 ALLSTON WAY; 2128 ALLSTON WAY; 2126 ALLSTON WAY; 2118 ALLSTON WAY; 2122 ALLSTON WAY; 2124 ALLSTON WAY; 2132 ALLSTON WAY","Mixed Use (Comm/MF)","53911","2024 - Complied","99","38.3","68.4","11972.55","254579.4","2023 - Complied","99","39.7","71","12343.74","264759.3","2022 - Complied","99","39.7","71","12360.76","264670.8","2021 - Complied","100","37.5","66","11977.87","241041.3","Large Building","7/1/2018","Deferred","Deferred","7/1/2023","Did Not Comply","Due",,,
"3280","Oxford Hall","2171 ALLSTON WAY","2150 OXFORD ST; 2138 OXFORD ST; 2173 ALLSTON WAY; 2140 OXFORD ST; 2175 ALLSTON WAY; 2171 ALLSTON WAY; 2142 OXFORD ST","Mixed Use","31802","2024 - In Progress",,,,,,"2023 - Did Not Report",,,,,,"2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Did Not Comply","Due",,,,,,
"3290","Allston Place","2161 ALLSTON WAY","2161 ALLSTON WAY","Mixed Use (Comm/MF)","38735","2024 - Complied",,"24.9","49.1","4528.1","149484.9","2023 - Complied",,"17.6","28.9","4499.4","67775.4","2022 - Exempt",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"3310","The WeWork Building","2015 KALA BAGAI WAY","2120 UNIVERSITY AVE; 2118 UNIVERSITY AVE; 2015 KALA BAGAI WAY; 2134 UNIVERSITY AVE","Commercial","49390","2024 - Complied","82","50","91.6","13647.87","323688","2023 - Complied","75","58.4","103.2","17012.59","346285.8","2022 - Complied","75","53.8","105.9","12639.6","408307.3","2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Pending","Due",,,,,,
"3340","2131 UNIVERSITY AVE","2131 UNIVERSITY AVE","2131 UNIVERSITY AVE; 2129 UNIVERSITY AVE; 2125 UNIVERSITY AVE; 2127 UNIVERSITY AVE; 2133 UNIVERSITY AVE; 2135 UNIVERSITY AVE","Multifamily (5+ Units)","186527","2024 - In Progress",,,,,,"2023 - Complied","98","24.7","53.7","16354.93","868324.1","2022 - Complied","100","17","37.6","10678.74","616454.6","2021 - In Progress",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2025","Did Not Comply","Due",,,
"3350","Bachenheimer","2119 UNIVERSITY AVE","2119 UNIVERSITY AVE; 2121 UNIVERSITY AVE; 2123 UNIVERSITY AVE","Multifamily (5+ Units)","40950","2024 - Complied","100","22.5","45.4","4125.55","149069","2023 - Complied","100","24.1","49.7","4144.06","167678","2022 - Complied","97","24.7","47.4","5110.05","147117.3","2021 - Complied","90","30","52.6","7313.17","145201.3","Large Building","7/1/2019","Complied","Paid","7/1/2024","Deferred","Deferred","7/1/2029","Upcoming","Upcoming"
"3360","Berkeleyan","1910 OXFORD ST","1910 OXFORD ST; 1920 OXFORD ST; 1916 OXFORD ST; 1918 OXFORD ST","Multifamily (5+ Units)","39582","2024 - Complied","100","33","62.6","6711.73","185606.3","2023 - Complied","100","29.7","58.9","5475.64","183846.4","2022 - Complied","100","22.4","44.4","4129.37","138527.4","2021 - Complied","100","22","39.1","5097.34","106033.9","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"3380","1849 Shattuck Ave","1849 SHATTUCK AVE","1849 SHATTUCK AVE","Multifamily (5+ Units)","19740","2024 - Did Not Report",,,,,,"2023 - Complied","94","42.1","79.2","4361.07","115635.3","2022 - Complied","96","40.4","75.8","4189.35","110670.8","2021 - Did Not Report",,,,,,"Time of Sale",,,,,,,,,
"3400","Amistad House","1810 SHATTUCK AVE","2050 DELAWARE ST; 1810 SHATTUCK AVE","Multifamily (5+ Units)","45856","2024 - Complied","99","17.2","47.8","105.6","228101.6","2023 - Complied","98","18.1","50.4","92.92","241029.3","2022 - Complied","99","17.2","47.8","50.08","229105.8","2021 - Complied","99","16.7","46.5","77.49","222575.5","Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
