key,lat,lon,type,units,source,addr,status
057-2013-032-00,37.86799759,-122.2756448,ADU,1,v4,,
053-1680-012-00,37.85740673,-122.27058679,ADU,1,v4,,
061-2563-014-00,37.88855444,-122.27112709,ADU,1,v4,,
060-2398-013-00,37.87831691,-122.29292509,ADU,1,v4,,
058-2120-023-01,37.87355043,-122.29904027,ADU,1,v4,,
064-4251-024-00,37.85354663,-122.24428967,ADU,1,v4,,
052-1554-020-00,37.8527501,-122.266934,ADU,1,v4,,
054-1784-024-00,37.86011383,-122.28782996,ADU,1,v4,,
056-1924-019-00,37.86361096,-122.28649197,ADU,1,v4,,
060-2451-014-00,37.8822552,-122.27230332,ADU,1,v4,,
058-2121-007-00,37.87399878,-122.29772213,ADU,1,v4,,
053-1701-003-00,37.86057312,-122.25063701,ADU,1,v4,,
055-1822-024-00,37.8635524,-122.26860018,ADU,1,v4,,
060-2415-012-00,37.88226626,-122.28844557,ADU,1,v4,,
061-2605-013-00,37.88638473,-122.27610137,ADU,1,v4,,
056-1971-009-00,37.86657691,-122.29408092,ADU,1,v4,,
055-1840-009-00,37.86237376,-122.2577529,ADU,1,v4,,
058-2119-015-00,37.87113105,-122.29788024,ADU,1,v4,,
056-2007-008-01,37.86766137,-122.27863779,ADU,1,v4,,
060-2393-015-00,37.87648431,-122.29214153,ADU,1,v4,,
062-2868-006-00,37.89595416,-122.28582318,ADU,1,v4,,
058-2157-012-00,37.87460039,-122.27949123,ADU,1,v4,,
052-1556-003-00,37.85321433,-122.2621925,ADU,1,v4,,
060-2408-019-00,37.88132963,-122.29302385,ADU,1,v4,,
059-2258-008-00,37.88156562,-122.26757845,ADU,1,v4,,
054-1783-011-00,37.86110005,-122.28446101,ADU,1,v4,,
064-4251-029-00,37.85376168,-122.24341559,ADU,1,v4,,
063-2961-033-00,37.89454609,-122.26478785,ADU,1,v4,,
063-3130-016-00,37.89607972,-122.2562602,ADU,1,v4,,
060-2428-027-00,37.88102455,-122.28494184,ADU,1,v4,,
057-2081-007-00,37.8709904,-122.28705432,ADU,1,v4,,
054-1726-015-00,37.85797777,-122.27302426,ADU,1,v4,,
