GEOID20,pop,housing_units,ALAND20
060019821001016,0,0,1900
060014240014013,0,0,3107
060014239011028,104,49,15795
060014239011026,94,58,14855
060014225002002,53,35,11428
060014213002005,49,25,11851
060014213002016,95,46,20990
060014213001010,38,10,6383
060014213001013,35,20,12650
060014220001049,50,30,10491
060014233002006,80,31,14665
060014233002007,186,78,34869
060014233002010,43,13,7967
060014240021003,100,45,18995
060014240011004,83,41,17928
060014237002011,72,29,19791
060014238003013,91,38,22767
060014238002006,53,26,22044
060014238002003,23,12,8806
060014224001005,111,46,13745
060014235001004,0,0,20762
060014235001002,0,0,1227
060014223002015,100,37,21029
060014223002013,98,50,9863
060014230002002,112,68,20246
060014230002006,134,72,19963
060014234001009,103,45,18190
060014224001006,22,8,7272
060014217002010,20,2,1142
060014217003008,0,0,1060
060014223002011,217,120,16196
060014216003005,25,8,4315
060014224001001,0,0,30652
060014213003016,16,5,2340
060014212001003,50,16,7941
060014220001058,118,54,56050
060014220001009,0,0,1800
060014220002047,22,0,15542
060014220002017,0,0,1620
060014215002010,42,18,8771
060014212004002,144,77,82617
060014212001012,82,37,53143
060014212002002,47,19,20222
060014212002024,0,0,3028
060014211002018,50,19,14761
060014213001019,43,19,12524
060014213001020,78,31,24139
060014213002000,76,37,19599
060014213002010,42,20,5664
060014213001011,33,10,8020
060014240014003,159,80,16785
060014233001002,95,36,16141
060014230003005,0,0,2832
060014216001008,85,32,30997
060014227001003,618,149,105772
060014236011006,179,53,19464
060014236012009,21,5,20665
060014236012013,58,21,14655
060014239022003,0,0,1095
060014236012012,0,0,1045
060014237002005,136,73,18712
060014232001001,58,30,7801
060014219001013,58,25,8553
060014218001002,158,92,115983
060014222001010,0,0,14881
060014218002021,30,13,6029
060014222002004,127,69,16598
060014231001003,43,15,11993
060014231003004,134,58,18496
060014222001004,64,34,13757
060014215001023,30,16,21084
060014216003007,44,11,7857
060014216004003,59,32,19039
060014225003007,97,40,12348
060014216002010,59,35,44014
060014225002005,156,83,9863
060014236021003,276,135,20289
060014236021005,94,30,7721
060014213001004,77,31,14557
060014231001014,81,41,14696
060014231003002,175,76,30494
060014216003011,133,74,31757
060014216002007,70,28,28153
060014238001013,133,62,102063
060014212001008,47,15,7883
060014211001000,73,33,42280
060014212002007,139,61,54348
060014212002016,67,26,18089
060014232002003,0,0,1410
060014236023000,285,111,22726
060014229012003,397,254,22051
060014236023008,72,38,11940
060014221002001,70,28,11871
060014218001009,88,33,11890
060014220001030,19,12,5932
060014233003014,184,88,20619
