id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
21,2660 BANCROFT Way,55-1871-20,AMI LLC &,78.0,78.0,0.0,2023.0,ZP2023-0095,"Construction of an 8-story residential development with 78 studio units in a 32,632 SF building.  This project will include 8 affordable units for VLI households. Does not have vehicle parking, only bicycle parking is provided with residential amenities and useable open space.  This is a State Density Bonus project.",Incomplete Pending Applicant,1.0,Very Large (51-100),2660-bancroft-way,2660 BANCROFT WAY,37.868939,-122.255291,5+,Renter,False,False,False,True,,0.0,8.0,,2023-07-28,,,,Completeness Review: Incomplete Pending Applicant,2023-07-28,,,,,,0.0
22,2955 SHATTUCK Ave,053 158901801,,74.0,74.0,0.0,2024.0,ZP2024-0071,"State Density Bonus Project to merge two lots and demolish (2) existing 2-story commercial structures and (1) existing 1-story commercial structure. The proposed project is an 8-story, 75-feet, 80,682-sqft mixed-use building with 74 dwelling units, ground level retail space, and a ground level parking garage with 24 parking spaces. This will include 4 affordable units.",Corrections Pending Applicant,1.0,Very Large (51-100),2955-shattuck-ave,2955 SHATTUCK AVE,37.85577704614729,-122.26623093862028,5+,Renter,False,False,False,True,,0.0,2.0,75.0,2024-07-03,2024-08-21,,,Application Processing: Corrections - Pending Applicant,2025-07-25,,,,,,24.11
23,2326 DURANT Ave,055 188401600,,70.0,70.0,0.0,2024.0,PLN2024-0023,"Pre App requesting feedback on a project proposing a six-story, 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the project description, applicable zoning requirements, and the use of state density bonus with associated waivers and incentives/concessions, applicability of state streamlined housing laws to entitle the project, and discuss the associated processes.",Pending,1.0,Very Large (51-100),2326-durant-ave,2326 DURANT AVE,37.86708906005523,-122.26226004280632,5+,Renter,False,False,False,True,,0.0,,,,,,,,,,,,,,0.0
24,2330 DURANT Ave,055 188401700,,68.0,68.0,,2025.0,"PLN2025-0038, PLN2025-0053, PLN2025-0100","Removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",Under Review,3.0,Very Large (51-100),2330-durant-ave,2330 DURANT AVE,37.86711180220465,-122.26208128704796,5+,Renter,False,True,False,True,,0.0,6.0,,,,,,,,,,,,,0.47
25,2455 TELEGRAPH Ave,055 187502900,,68.0,68.0,0.0,2025.0,PLN2025-0066,"SB 330 preliminary application to retain historic mural and front facade of the non-residential building at 2455 Telegraph Ave, while demolishing the rest of the building and the existing non-residential building at 2506 Haste St to construct a 93,000 8-story mixed used building, including a ground floor retail space and 68 units (including 7 Very Low-Income units)",Under Review,1.0,Very Large (51-100),2455-telegraph-ave,2455 TELEGRAPH AVE,37.86586841351819,-122.25828811123488,5+,Renter,False,True,False,False,,7.0,8.0,,2026-03-09,2026-03-17,,,ness Review: as: Application Complete |,2026-03-17,,,,,,0.0
26,2298 DURANT Ave,055 188700100,,65.0,65.0,0.0,2024.0,ZP2024-0126,"The proposed project entails the demolition of all existing buildings, merger of two lots, and
construction of a new, 8-Story, 79,522sf, 91'-6"" tall building with 65 total units, 5 of which will be
offered at Very Low Income rates. Density bonus.",Pending Final Action,1.0,Very Large (51-100),2298-durant-ave,2298 DURANT AVE,37.86694967603458,-122.26376833393134,5+,Renter,False,False,False,True,,0.0,8.0,91.0,2024-10-04,2024-10-21,,,"Due 10/09/2025, assigned to TBD  Marked as Resubmittal - Pending Staff Review on 09/11/2025 by Allison Riemer: Pending Final Action",2025-10-09,,,,,,0.0
27,2441 LE CONTE Ave,058 219300600,,65.0,65.0,0.0,2023.0,ZP2023-0089,"Change the use from educational/religious facility to a residential hotel with 65 group living accommodations (7 Very-Low Income Units), and construct a five-story (48 feet average height) major residential addition for a total of 24,300 square feet gross floor feet, utilizing State Density Bonus",Incomplete Pending Applicant,1.0,Very Large (51-100),2441-le-conte-ave,2441 LE CONTE AVE,37.8770218450383,-122.26186635613308,5+,Renter,False,False,False,True,,0.0,,,2023-07-21,,,,ness Review [ACTIVE]: Incomplete Pending Applicant,2023-11-21,,,,,,162.05
28,2372 ELLSWORTH St,055 188700300,,63.0,63.0,0.0,2024.0,PLN2024-0054,"SB-330 Project: Demolition of existing building to construct a seven-story, 49,900-square-foot residential building. A total of 63 units comprised of studios, two, three, and four bedrooms.",Under Review,1.0,Very Large (51-100),2372-ellsworth-st,2372 ELLSWORTH ST,37.86654982460947,-122.26364792015735,5+,Renter,False,False,False,False,,0.0,,,,,,,,,,,,,,6.82
29,2138 KITTREDGE St,057 202901500,,63.0,66.0,3.0,2024.0,PLN2024-0011,"SB 330 Pre-Application to demolish an existing 3-unit residential building and construct an 8 story 42,951 square-foot residential building; Density Bonus Project with 66 units total, 5 VLI units",Under Review,1.0,Very Large (51-100),2138-kittredge-st,2138 KITTREDGE ST,37.86834064720663,-122.26699773246196,5+,Renter,False,True,False,True,,5.0,8.0,,2024-09-05,2024-09-05,2025-10-20,410.0,Application Processing: Pending Final Action,2025-10-20,,,,,,0.0
30,2001 CENTER St,057 202301300,,58.0,58.0,0.0,2025.0,"ZP2025-0107, PLN2025-0039","To convert the existing 7-story,  ~35,904 sq.ft. office building in Berkeley, converting Levels 2–7 into ~58 residential units and keeping ground-floor retail. The mechanical penthouse (86'-4"") will become a roof garden, with height unchanged at 100'-0"". Includes interior demolition only, 10% very-low-income units (~6), and no on-site parking per AB-2097.",In Review,2.0,Very Large (51-100),2001-center-st,2001 CENTER ST,37.87021091021583,-122.27030719783389,5+,Renter,False,False,False,False,,0.0,7.0,100.0,2025-11-26,2026-01-09,,,Application Processing: Corrections - Pending Applicant,2026-02-06,,,,,,6.74
