id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
107,1123 BLAKE St,054 178100900,,0.0,0.0,0.0,2025.0,ZP2025-0091,Administrative Use Permit to construct a 942 square feet major residential addition consisting of a 450 sq. ft. second story 21 feet tall addition and  492 sq. ft. 1st floor addition and a new deck and hot tub to an existing single family residence.,Under Review,1.0,Unknown,1123-blake-st,1123 BLAKE ST,37.86066513987505,-122.28807356907674,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
108,830 BANCROFT Way,056 194102202,,0.0,0.0,0.0,2025.0,ZP2025-0096,"to expand the operational hours of the existing, legally nonconforming vocational training center in the Residential Multi-Unit 2 (R-2) Zoning District",Pending Final Action,1.0,Unknown,830-bancroft-way,830 BANCROFT WAY,37.86329738203636,-122.29579660206832,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
109,2740 SHASTA Rd,060 246900700,,0.0,0.0,0.0,2025.0,ZP2025-0100,"Administrative Use Permit to construct a residential addition above 14 feet in average height (25 feet 2 inches) and 20 feet in maximum height (31 feet 6 inches), partially within the nonconforming front setback, to an existing three-story single-family residence. The project includes new landscape improvements and the installation of a retaining wall within the front setback and will result in six bedrooms and five bathrooms.",Corrections Pending Applicant,1.0,Unknown,2740-shasta-rd,2740 SHASTA RD,37.886352334684865,-122.25828861429146,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
110,2143 BLAKE St,055 182302200,,0.0,0.0,0.0,2025.0,ZP2025-0106,Obtain AUP to add an additional parking stall at the front of the dwelling within the front setback.,Incomplete Pending Applicant,1.0,Unknown,2143-blake-st,2143 BLAKE ST,37.863510605435074,-122.26546737871362,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
111,411 VASSAR Ave,062 294602600,,0.0,0.0,0.0,2025.0,ZP2025-0109,"Administrative Use Permit to build an approximate 260 square-foot deck within a required front setback, over an existing 8-foot-tall carport attached to an existing three-bedroom, three-bathroom single-family dwelling.",Resubmittal Pending Staff,1.0,Unknown,411-vassar-ave,411 VASSAR AV,37.904328384734455,-122.27226916422846,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
112,1621 SACRAMENTO St,058 215401900,,1.0,1.0,0.0,2025.0,ZP2025-0112,"Garage conversion to ADU, increasing height and massing within required setbacks.",Under Review,1.0,Small (1-5),1621-sacramento-st,1621 SACRAMENTO ST,37.87607732556359,-122.28224482520292,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
113,2138 KITTREDGE St,057 202901500,,73.0,73.0,0.0,2026.0,ZP2026-0006,Modification for ZP2024-0114 to increase unit count from 66 to 73.  No other changes in design or size.,Under Review,1.0,Very Large (51-100),2138-kittredge-st,2138 KITTREDGE ST,37.86834064720663,-122.26699773246196,5+,Renter,False,False,False,False,,0.0,,,2024-09-05,2024-09-05,2025-10-20,410.0,Application Processing: Pending Final Action,2025-10-20,,,,,,1.11
114,2727 HASTE St,055 186800500,,45.0,45.0,0.0,2026.0,ZP2026-0007,"Use Permit #ZP2026-0007 to construct a new 6-story (66’-3”), 45-unit housing development, with 34,526-square-feet of new residential use. The project includes a removal of existing non-landmarked group living residential structure. 15% (4 units) of the base units will be affordable to very low-income residents, and 11% (3 units) of the base units will be affordable to low-income and moderate-income residents, making the project eligible for an 85% density bonus, waivers, and up to 3 concessions as a state density bonus law development per CA Govt Code 65915.",In Review,1.0,Large (21-50),2727-haste-st,2727 HASTE ST,37.866976368981085,-122.25278009915516,5+,Renter,False,False,False,True,,0.0,6.0,,,2026-02-24,,,,,,,,,,0.0
115,2455 TELEGRAPH Ave,055 187502900,,68.0,68.0,0.0,2026.0,ZP2026-0015,"UPPH to construct a 85,000SF 8-story mixed-use building, including ground-floor record store and 68 units (7 VLI units). Maintain the historic mural and front facade of Amoeba Record Store",Under Review,1.0,Very Large (51-100),2455-telegraph-ave,2455 TELEGRAPH AV,37.86586841351819,-122.25828811123488,5+,Renter,False,False,False,False,,7.0,8.0,,2026-03-09,2026-03-17,,,ness Review: as: Application Complete |,2026-03-17,,,,,,60.98
116,2462 BANCROFT Way,055 187802000,ZENGS BERKELEY LLC,66.0,66.0,0.0,2023.0,ZP2023-0107,"8-story, 66 units, 3 VLI, density bonus, 2462 Bancroft",Approved,1.0,Very Large (51-100),,,,,5+,Renter,False,False,False,True,,3.0,8.0,88.0,2023-08-18,2024-02-15,2024-07-01,318.0,Case Closed: Approved,2024-07-01,,,,,,0.0
117,2317 CHANNING Way,055 188400600,2317 CHANNING WAY LLC,22.0,22.0,0.0,2024.0,ZP2024-0033,"Modification 17→22 units, 5-story residential",Approved,1.0,Large (21-50),,,,,5+,Renter,False,False,False,False,,0.0,5.0,,2024-03-29,2024-04-18,,,"Due 10/23/2024, assigned to Katrina Lapira  Marked as Resubmittal - Pending Staff Review on 09/24/2024 by Katrina Lapira: Pending Final Action",2024-09-30,,,,,,0.0
118,2138 KITTREDGE St,057 202901500,CARLSON SUSAN TR,66.0,66.0,0.0,2024.0,ZP2024-0114,"8-story, 66 units, 5 VLI, SB-330, density bonus",Approved,1.0,Very Large (51-100),,,,,5+,Renter,False,True,False,True,,5.0,8.0,,2024-09-05,2024-09-05,2025-10-20,410.0,Application Processing: Pending Final Action,2025-10-20,,,,,,40.42
119,1974 SHATTUCK Ave,057 205300200,1974 SHATTUCK AVENUE LLC,599.0,599.0,0.0,2024.0,ZP2023-0040,"Demolition of structures at the following addresses: 1950,1974,1984,1998 Shattuck Ave & 2071 University. Construction of a 28-story mixed-use building with 599 dwelling units and a roof-top restaurant over ground-level commercial with lobbies, State of California Density Bonus.",Approved,1.0,Mega (100+),1974-shattuck-ave,1974 SHATTUCK AVE,37.87262662,-122.26880057,5+,Renter,False,False,False,True,,0.0,28.0,,2023-04-25,2024-04-11,2025-06-03,770.0,Public Hearing: City Council Approved,2025-06-03,,,,,,124.25
120,2274 SHATTUCK Ave,057 202800300,WADE WILLIAM J TR,227.0,227.0,0.0,2024.0,ZP2023-0079,"Partial demo of existing commercial structures to construct a new 17-story mixed-used building with 227 dwelling units, ground level lobbies, commercial space, and parking with State of California Density Bonus.",Approved,1.0,Mega (100+),2274-shattuck-ave,2274 SHATTUCK AVE,37.86782324,-122.26856374,5+,Renter,False,False,False,True,,0.0,17.0,,2023-06-29,2024-01-04,2025-04-22,663.0,Public Hearing: City Council Approved,2025-04-22,,,,,,0.0
121,2100 MILVIA St,057 202201701,FIRST MILVIA LLC,201.0,201.0,0.0,2024.0,ZP2023-0163,"Demolish existing two story office building to allow for construction of a new mixed use eight-story development with 201 dwelling units, 4 live-work units, 1 commercial space and ground level lobby.",Approved,1.0,Mega (100+),2100-milvia-st,2100 MILVIA ST,37.87066883,-122.27090166,5+,Renter,False,False,False,False,,0.0,,,2023-12-20,2024-05-17,2025-07-01,559.0,Appeal: No Appeal,2025-07-01,,,,,,0.0
122,2530 BANCROFT Way,055 187701601,MIOTTEL W J JR TR,110.0,110.0,0.0,2024.0,ZP2023-0126,SB-330 PROJECT: Removal of existing commercial structure. Construction of a new 12-story mixed use housing development over ground-level commercial and lobbies for a total of 110 dwelling units proposed. This is a State of California Density Bonus project.,Approved,1.0,Mega (100+),2530-bancroft-way,2530 BANCROFT WAY,37.86854696,-122.25824788,5+,Renter,False,True,False,True,,11.0,12.0,,2024-03-12,2024-03-12,2024-12-27,290.0,Case Closed: Approved,2024-12-27,,,,,,0.0
123,2037 DURANT Ave,055 189400200,JINDO VENTURES LLC,74.0,74.0,0.0,2024.0,ZP2023-0064,"Demolish 1-story 13,000 square foot commercial building, and construct an 8-story (90 feet), 76,373 square foot mixed-use building with 1,552 square feet of ground floor commercial space and 74 units of multi-family housing (including 4 VLI), utilizing State Density Bonus.",Approved,1.0,Very Large (51-100),2037-durant-ave,2037 DURANT AVE,37.86687094,-122.268545,5+,Renter,False,False,False,True,,4.0,1.0,90.0,2024-03-29,2024-03-29,2024-06-19,82.0,Case Closed: Approved,2024-06-19,,,,,,0.0
124,2442 HASTE St,055 188101800,2442 HASTE STREET LLC,34.0,38.0,4.0,2024.0,ZP2024-0070,"SB330 project to demolish an existing three-story residential building with four units, and construct an eight-story, 85-feet tall residential building with 38 new units including 2 VLI units.",Approved,1.0,Large (21-50),2442-haste-st,2442 HASTE ST,37.8656896,-122.25910835,5+,Renter,False,True,False,False,,2.0,8.0,85.0,2024-07-03,2024-10-08,2025-09-08,432.0,Case Closed: Approved,2025-09-08,,,,,,0.0
126,2427 San Pablo,056192802200,Aron Homes LLC,78.0,78.0,0.0,2024.0,ZP2022-0115,"Use Permit to demolish two existing multifamily buildings and construct a 36,280 square foot, five-story (70 feet, 8 inches) residential building containing 8 replacement apartment units and a Residential Hotel (Group Living Accommodation) with 70 single-occupancy rooms (3 Extremely Low-Income, 2 Very Low-Income, and 3 Low-Income) for a total of 78 units, utilizing State Density Bonus. Fifteen off-street automobile parking spaces would be provided. Applicant: Jason Andre, StudioKDA — 1810 6th St",Approved,1.0,Large (50-99),2427-san-pablo,2427 SAN PABLO,,,5+,Renter,False,False,False,True,,0.0,,70.0,2022-10-05,2024-02-06,2024-09-16,712.0,Case Closed: Approved,2024-09-16,,,,,,0.0
127,2820 San Pablo,,,,,0.0,2022.0,P2022-0038,,Unknown,1.0,Small (1-10),2820-san-pablo,2820 SAN PABLO,37.85530167,-122.28812032,2-4,Renter,False,False,False,False,,0.0,,,2022-05-06,2022-09-29,2024-12-06,945.0,Appeal: No Appeal,2024-12-06,,,,,,0.0
128,2833 Seventh St,,United With Earth Corp,3.0,3.0,0.0,2024.0,ZP2023-0123,"Use Permit #ZP2023-0123 to convert a 1,024 square-foot two-story commercial unit to a residential dwelling unit for a total of three dwelling units on a mixed-use lot.",Approved,1.0,Small (1-10),2833-seventh-st,2833 SEVENTH ST,,,2-4,Renter,False,False,False,False,,0.0,,,2023-09-21,2024-02-26,2024-05-07,229.0,Case Closed: Approved,2024-05-07,,,,,,0.0
129,1614 Sixth St,,Kalash Joseph T,3.0,3.0,0.0,2024.0,ZP2024-0008,"Administrative Use Permit #ZP2024-0008 to construct two 1,747 square-foot three-story (35 feet) single-family dwellings with attached garages on a lot with an existing landmarked single-family residence, for a total of three dwelling units on one parcel.",Approved,1.0,Small (1-10),1614-sixth-st,1614 SIXTH ST,,,2-4,Renter,False,False,False,False,,0.0,,35.0,2024-01-25,2024-02-22,2024-10-17,266.0,Case Closed: Approved,2024-10-17,,,,,,0.0
130,1048 Keith St,,Kainz Joachim & Newman Lindsay,,,0.0,2024.0,ZP2024-0014,"Use Permit #ZP2024-0014 to demolish a 2,760 square-foot single-family dwelling at 1048 Keith Avenue (full description truncated in system)",Approved,1.0,Small (1-10),1048-keith-st,1048 KEITH ST,37.88932269,-122.26411968,2-4,Renter,False,False,False,False,,0.0,,,2024-02-08,2024-02-29,2025-06-04,482.0,Case Closed: Approved,2025-06-04,,,,,,0.0
131,811 Cedar,,Berliner Wade,,,0.0,2024.0,ZP2024-0116,Demolition of an existing single-family residence and detached [structure] at 811 Cedar Street (description truncated in system),Approved,1.0,Small (1-10),811-cedar,811 CEDAR,37.87415158,-122.30018804,2-4,Renter,False,False,False,False,,0.0,,,2024-09-05,2024-12-19,2025-07-03,301.0,Appeal: No Appeal,2025-07-03,,,,,,0.0
132,1627 Jaynes St,059227901600,Humphries Shoana S & Rahimi Al,,,0.0,2024.0,ZP2024-0129,"Demolition of existing single-family residence to construct a new 2,250 square-foot, two-story [dwelling] at 1627 Jaynes  UPPH: 1627 JAYNES Demolition of existing SFR to construct new 2250 square foot, two-story, four bedroom, three bath house. New 107 square foot patio at lower level; new exterior stairway to main entry; New 890 square foot patio in rear yard. Replacement of entry path from sidewalk to house.",Approved,1.0,Small (1-10),1627-jaynes-st,1627 JAYNES ST,37.8782356,-122.27953219,2-4,Renter,False,False,False,False,,0.0,,,2024-09-06,2024-10-18,2025-05-16,252.0,Appeal: No Appeal,2025-05-16,,,,,,0.0
133,2128 Oxford St,,Core Berkeley Oxford LLC,485.0,485.0,0.0,2023.0, ZP2022-0135,"** SB330 Application — Demolition of existing structure(s) (includes 16 rent-controlled units) and construction of 26-story, mixed-use building with 485 dwelling units (includes 5 ELI and 42 VLI) and 13,500 SF of commercial space. Closed LUST Site (2148 Center). Eligible National Register Historic (2132 Center).",Approved,1.0,Mega (100+),2128-oxford-st,2128 OXFORD ST,37.87026527,-122.26618858,5+,Renter,False,True,False,False,,47.0,26.0,,2023-03-17,2023-03-17,2024-10-04,567.0,Case Closed: Approved,2024-10-04,,,,,,0.0
134,2480 Bancroft Way,055187802200,Rue Ell Enterprises Inc,28.0,28.0,0.0,2023.0,DRCF2023-0005,DRCF: 2480 Bancroft Way. Demolish an existing one story retail building and construct a new eight story mixed-use building with 28 residential units. Proposed restaurant space on the first floor serving beer and wine. Two residential units will be provided at very low income affordability levels.,Approved,1.0,Medium (11-49),2480-bancroft-way,2480 BANCROFT WY,37.86838541,-122.25966232,5+,Renter,False,False,False,False,,0.0,,,2023-09-12,2023-09-12,2023-10-02,20.0,Public Notification: Completed,2023-10-02,,,,,,0.0
135,2150 Kittredge St,057 202901600,,,169.0,,2021.0,B2021-00008,Mixed-use residential building with 169 units. CO issued 2024.,Completed,,,,,37.8683686,-122.26683842,,,,,,,,,,,,,,,,,,2024-01-01,2022-06-01,2024-06-01,occupied,0.0
136,1951 Shattuck Ave,057 204600100,,,163.0,,2021.0,B2021-04893,Mixed-use residential building with 163 units. CO issued 2024.,Completed,,,,,37.87277577,-122.26881378,,,,,,,,,,,,,,,,,,2024-01-01,2022-06-01,2024-06-01,occupied,0.0
137,2000 University Ave,057 202501300,,,82.0,,2022.0,B2022-01111,Mixed-use residential building with 82 units. CO issued 2024.,Completed,,,,,37.8716201,-122.27050252,,,,,,,,,,,,,,,,,,2024-01-01,2022-06-01,2024-06-01,occupied,0.0
138,2099 MLK Jr Way,057 202401300,,,72.0,,2021.0,B2021-03950,Mixed-use residential building with 72 units. CO issued 2024.,Completed,,,,,37.87089665,-122.27264044,,,,,,,,,,,,,,,,,,2024-01-01,2022-06-01,2024-06-01,occupied,0.0
139,2538 DURANT Ave,055 187602000,,83.0,83.0,0.0,2024.0,TBD,"8-story mixed-use with 83 units (5 VLI). Martin Group/Valiance Capital, Studio KDA. Construction imminent.",Under Construction,1.0,Very Large (51-100),2538-durant-ave,2538 DURANT AVE,37.86775753,-122.25717556,5+,Renter,False,True,False,True,,5.0,8.0,,,,,,Building Permits Filed,,2024-10-01,,2024-10-01,2026-12-01,foundation,0.0
140,2136 SAN PABLO Ave,056 197701101,,125.0,125.0,0.0,2024.0,TBD,"6-story mixed-use with 125 units (10 VLI). Allrise Capital, Trachtenberg Architects. Approved Apr 2024.",Approved,1.0,Mega (100+),2136-san-pablo-ave,2136 SAN PABLO AVE,37.8668949,-122.29183688,5+,Renter,False,False,False,True,,10.0,6.0,,,,2024-04-01,,Approved,,,,,,,0.0
141,2016 ASHBY Ave,053 159202000,,50.0,50.0,0.0,2024.0,TBD,"100% affordable housing, 50 units. Community Housing Development Corp, Lowney Architecture. Building permits filed.",Building Permits Filed,1.0,Large (21-50),2016-ashby-ave,2016 ASHBY AVE,37.85482147,-122.26822209,5+,Renter,False,False,False,True,,50.0,,,,,,,Building Permits Filed,,,,2025-06-01,2027-06-01,foundation,0.0
142,2350 TELEGRAPH Ave,055 187900100,,48.0,48.0,0.0,2024.0,TBD,"8-story mixed-use with 48 units (2 VLI). Kick-Axe Properties/Ken Sarachan, Trachtenberg Architects. Renderings published.",Under Review,1.0,Large (21-50),2350-telegraph-ave,2350 TELEGRAPH AVE,37.86760496,-122.25922449,5+,Renter,False,False,False,True,,2.0,8.0,,,,,,Under Review,,,,,,,0.0
143,2902 ADELINE St,053 159800600,,54.0,54.0,0.0,2024.0,TBD,"54 units. Realtex Group, SDT Architects. Under construction since July 2025.",Under Construction,1.0,Very Large (51-100),2902-adeline-st,2902 ADELINE ST,37.85622646,-122.26905086,5+,Renter,False,False,False,True,,0.0,,,,,,,Under Construction,,,,2024-12-01,2026-06-01,framing,0.0
144,2127 DWIGHT Way,055 189001201,,58.0,58.0,0.0,2024.0,TBD,"58 units (8 affordable). Riaz Capital, Levy Design Partners. Topped out, opening 2026.",Under Construction,1.0,Very Large (51-100),2127-dwight-way,2127 DWIGHT WAY,37.86431483,-122.26684931,5+,Renter,False,False,False,True,,8.0,,,,,,,Under Construction,,,,2024-06-01,2026-03-01,topped_out,0.0
145,1708 HARMON St,052 153300103,,80.0,80.0,0.0,2024.0,TBD,80 units affordable senior housing. Demo permits filed.,Demolition Permits Filed,1.0,Very Large (51-100),1708-harmon-st,1708 HARMON ST,37.84896792,-122.27329273,5+,Renter,False,False,False,True,,80.0,,,,,,,Demolition Permits Filed,,,,,,,0.0
146,2800 TELEGRAPH Ave,053 168900100,,18.0,18.0,0.0,2024.0,TBD,"18 units. Bright Street/Via Development, SDT Architects. Building permits filed.",Building Permits Filed,1.0,Medium (6-20),2800-telegraph-ave,2800 TELEGRAPH AVE,37.85932315,-122.25951996,5+,Renter,False,False,False,False,,0.0,,,,,,,Building Permits Filed,,,,,,,0.0
147,2300 ELLSWORTH St,055 188600100,,69.0,69.0,0.0,2024.0,TBD,7-story with 69 units. Riaz Capital. Demolition underway.,Demolition Underway,1.0,Very Large (51-100),2300-ellsworth-st,2300 ELLSWORTH ST,37.86791627,-122.26398397,5+,Renter,False,False,False,True,,0.0,7.0,,,,,,Demolition Underway,,,,2025-10-01,2027-06-01,demolition,0.0
148,2018 BLAKE St,055 182102100,,12.0,12.0,0.0,2024.0,TBD,6-story co-living with 12 units. Tripalink. Demo permits filed.,Demolition Permits Filed,1.0,Medium (6-20),2018-blake-st,2018 BLAKE ST,37.8625782,-122.26883511,5+,Renter,False,False,False,False,,0.0,6.0,,,,,,Demolition Permits Filed,,,,,,,0.0
149,2198 SAN PABLO Ave,056 197701300,,100.0,100.0,0.0,2024.0,TBD,"7-story mixed-use. Allrise Capital, Trachtenberg Architects. Entitled. Unit count TBD.",Entitled,1.0,Very Large (51-100),2198-san-pablo-ave,2198 SAN PABLO AVE,37.86653584,-122.29166193,5+,Renter,False,False,False,True,,0.0,7.0,,,,,,Entitled,,,,,,,0.0
150,3030 TELEGRAPH Ave,052 157602701,,144.0,144.0,0.0,2024.0,TBD,144 unit mixed-use development.,Under Construction,1.0,Mega (100+),3030-telegraph-ave,3030 TELEGRAPH AVE,37.85482734,-122.2603453,5+,Renter,False,False,False,True,,0.0,,,,,,,Under Review,,2023-10-01,,2024-01-01,2025-12-01,finishing,0.0
151,Ashby BART,053 165200105,,618.0,618.0,0.0,2025.0,TBD,"618 units, 50% affordable. Developer Adeline Alliance/Relequity selected Aug 2025. BART transit-oriented development.",Developer Selected,1.0,Mega (100+),ashby-bart,ASHBY BART,37.85306772,-122.28819989,5+,Renter,False,False,False,True,,309.0,,,,,,,Developer Selected,,,,,,,0.0
152,1598 UNIVERSITY Ave,056 200300100,,207.0,207.0,0.0,2024.0,TBD,"207 units modular construction, topped out. NX Ventures. 21 VLI units.",Under Construction,1.0,Mega (100+),1598-university-ave,1598 UNIVERSITY AVE,37.87032921,-122.28000582,5+,Renter,False,False,False,True,,21.0,,,,,,,Under Construction,,,,2024-03-01,2026-03-01,topped_out,0.0
153,1701 SAN PABLO Ave,058 212701403,,110.0,110.0,0.0,2024.0,TBD,110 units 100% affordable educator housing. BUSD + Abode/SAHA. Under construction.,Under Construction,1.0,Mega (100+),1701-san-pablo-ave,1701 SAN PABLO AVE,37.87191723,-122.29342286,5+,Renter,False,False,False,True,,110.0,,,,,,,Under Construction,,,,2025-06-01,2027-06-01,foundation,0.0
154,2001 ASHBY Ave,053 159101803,,87.0,87.0,0.0,2024.0,TBD,"87 units, 86 affordable. Resources for Community Development. OPEN June 2025.",Completed,1.0,Very Large (51-100),2001-ashby-ave,2001 ASHBY AVE,37.85541723,-122.26832199,5+,Renter,False,False,False,True,,86.0,,,,,,,Open,,,2025-06-01,2023-06-01,2025-06-01,occupied,0.0
155,1700 SACRAMENTO St,058 215100100,,85.0,85.0,0.0,2024.0,TBD,85 units BART Phase 1. Insight Housing. AB 2011. Pyatok Architects.,Under Review,1.0,Very Large (51-100),1700-sacramento-st,1700 SACRAMENTO ST,37.87468358,-122.28217011,5+,Renter,False,False,True,True,,0.0,,,,,,,Under Review,,,,,,,0.0
156,2550 SHATTUCK Ave,055 182100101,,72.0,72.0,0.0,2025.0,TBD,"72 units, 15 affordable. 4Terra Investments. ZAB/DRC in progress.",ZAB Review,1.0,Very Large (51-100),2550-shattuck-ave,2550 SHATTUCK AVE,37.86276714,-122.2677616,5+,Renter,False,False,False,True,,15.0,,,,,,,ZAB Review,,,,,,,0.0
157,2587 TELEGRAPH Ave,055 183901901,,52.0,52.0,0.0,2024.0,TBD,"52 units, 6 VLI. Gilbane Development. Topped out summer 2026.",Under Construction,1.0,Very Large (51-100),2587-telegraph-ave,2587 TELEGRAPH AVE,37.86381398,-122.25828879,5+,Renter,False,False,False,True,,6.0,,,,,,,Under Construction,,,,2024-06-01,2026-06-01,topped_out,0.0
158,1367 UNIVERSITY Ave,057 207300500,,39.0,39.0,0.0,2024.0,TBD,39 units supportive housing. Panoramic Interests. OPEN July 2025.,Completed,1.0,Large (21-50),1367-university-ave,1367 UNIVERSITY AVE,37.87028242,-122.28519012,5+,Renter,False,False,False,False,,39.0,,,,,,,Open,,,2025-07-01,2023-07-01,2025-07-01,occupied,0.0
159,2403 SAN PABLO Ave,056 192800100,,36.0,36.0,0.0,2025.0,TBD,36 units Jewish cohousing co-op. Groundbreaking Apr 2025.,Under Construction,1.0,Large (21-50),2403-san-pablo-ave,2403 SAN PABLO AVE,37.86272977,-122.28972121,5+,Renter,False,False,False,False,,0.0,,,,,,,Under Construction,,,,2025-04-01,2027-04-01,foundation,0.0
160,2344 FULTON St,055 189200400,,18.0,18.0,0.0,2025.0,TBD,18 units. Pre-application stage.,Pre-Application,1.0,Medium (6-20),2344-fulton-st,2344 FULTON ST,37.86616878,-122.26585528,5+,Renter,False,False,False,False,,0.0,,,,,,,Pre-Application,,,,,,,0.0
