JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
Berkeley,Alameda,2025,,061-2555-031-01,1048 Keith St,,proj130,,,0,0,0,0,0,0,0,0,0,0,0,2025-06-04,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.88932269,-122.26411968,1048 KEITH ST,
Berkeley,Alameda,2025,,059-2315-014-00,811 Cedar,,proj131,,,0,0,0,0,0,0,0,0,0,0,0,2025-07-03,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-26,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.87415158,-122.30018804,811 CEDAR,
Berkeley,Alameda,2025,,059-2279-016-00,1627 Jaynes St,,proj132,,,0,0,0,0,0,0,0,0,0,0,0,2025-05-16,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.8782356,-122.27953219,1627 JAYNES ST,
Berkeley,Alameda,2025,,055-1878-022-00,2480 Bancroft Way,,proj134,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,28,2025-07-10,0,0,N,,,,,,,,,,,,,,,37.86838541,-122.25966232,2480 BANCROFT WAY,
Berkeley,Alameda,2025,,055-1876-021-01,2538 DURANT Ave,,proj139,,,0,0,0,0,0,5,0,0,0,0,78,2025-10-20,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.86775753,-122.25717556,2538 DURANT AVE,
Berkeley,Alameda,2025,,055-1886-001-00,2300 ELLSWORTH St,,proj147,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,69,2025-09-04,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86791627,-122.26398397,2300 ELLSWORTH ST,
Berkeley,Alameda,2025,053 159101803,053-1591-014-01,2001 ASHBY Ave,,proj154,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,86,0,0,0,0,1,2025-06-01,0,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.85541723,-122.26832199,2001 ASHBY AVE,
Berkeley,Alameda,2025,,055-1821-001-01,2550 SHATTUCK Ave,,proj156,,,0,0,0,0,0,8,0,0,0,0,64,2025-01-21,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.86276714,-122.2677616,2550 SHATTUCK AVE,
Berkeley,Alameda,2025,,055-1839-019-01,2587 TELEGRAPH Ave,,proj157,,,0,0,0,0,0,6,0,0,0,0,46,2025-04-07,0,0,0,0,0,0,6,0,0,0,0,46,2025-04-14,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.86381398,-122.25828879,2587 TELEGRAPH AVE,
Berkeley,Alameda,2025,,057-2073-005-00,1367 UNIVERSITY Ave,,proj158,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,39,0,0,0,0,0,2025-05-06,0,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.87028242,-122.28519012,1367 UNIVERSITY AVE,
