JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_APPROVED_UNITS,TOT_PROPOSED_UNITS
Berkeley,Alameda,2025,,058-2119-009-00,1716 SEVENTH St,,proj63,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,054-1802-014-00,1515 DERBY St,,proj64,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,058-2169-029-00,1922 FRANCISCO St,,proj65,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,059-2273-030-00,1419 GRANT St,,proj67,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,054-1782-029-00,1236 DWIGHT Way,,proj68,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,053-1659-009-00,2808 NINTH St,,proj69,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2
Berkeley,Alameda,2025,,052-1562-001-00,3001 BENVENUE Ave,,proj70,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,058-2232-022-00,5 W PARNASSUS Ct,,proj72,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,056-2011-008-00,1731 ADDISON St,,proj76,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,059-2338-010-00,1420 FIFTH St,,proj77,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,056-1983-011-00,1111 ALLSTON Way,,proj79,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,063-2965-056-01,659 GRIZZLY PEAK Blvd,,proj80,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,059-2272-009-00,1522 JOSEPHINE St,,proj81,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,054-1709-028-00,2705 BENVENUE Ave,,proj84,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,060-2469-007-00,2740 SHASTA Rd,,proj86,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,053-1591-001-00,2903 ADELINE St,,proj95,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,057-2024-013-00,2099 M L KING JR Way,,proj96,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,72,0,72
Berkeley,Alameda,2025,,059-2271-033-00,1507 JOSEPHINE St,,proj97,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,059-2349-011-00,1338 SEVENTH St,,proj98,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,056-1964-012-00,2238 SEVENTH St,,proj99,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,062-2914-039-00,703 SANTA BARBARA Rd,,proj100,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,062-2949-028-00,385 VERMONT Ave,,proj101,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,059-2292-002-01,1246 ROSE St,,proj102,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,055-1914-002-00,1512 CHANNING Way,,proj103,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,059-2286-069-00,1475 CATHERINE Dr,,proj104,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,061-2561-021-00,1187 SHATTUCK Ave,,proj105,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,057-2050-035-00,2016 DELAWARE St A,,proj106,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,054-1781-009-00,1123 BLAKE St,,proj107,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,056-1941-022-02,830 BANCROFT Way,,proj108,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,055-1823-022-00,2143 BLAKE St,,proj110,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,062-2946-026-00,411 VASSAR Ave,,proj111,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,058-2154-019-00,1621 SACRAMENTO St,,proj112,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1
Berkeley,Alameda,2025,,057-2029-015-00,2138 KITTREDGE St,,proj113,,,2024-09-05,0,0,0,0,0,5,0,0,0,0,68,73,73
Berkeley,Alameda,2025,,057-2053-002-00,1974 SHATTUCK Ave,,proj119,,,2023-04-25,0,0,0,0,0,58,0,0,0,0,541,599,599
Berkeley,Alameda,2025,,057-2028-003-00,2274 SHATTUCK Ave,,proj120,,,2023-06-29,0,0,0,0,0,0,0,0,0,0,299,299,299
Berkeley,Alameda,2025,,057-2022-017-01,2100 MILVIA St,,proj121,,,2023-12-20,0,0,0,0,0,0,0,0,0,0,205,205,205
Berkeley,Alameda,2025,,055-1881-018-00,2442 HASTE St,,proj124,,,2024-07-03,0,0,0,0,0,2,0,0,0,0,32,34,34
Berkeley,Alameda,2025,,061-2555-031-01,1048 Keith St,,proj130,,,2024-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,059-2315-014-00,811 Cedar,,proj131,,,2024-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,059-2279-016-00,1627 Jaynes St,,proj132,,,2024-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,Alameda,2025,,055-1876-021-01,2538 DURANT Ave,,proj139,,,2024-01-01,0,0,0,0,0,5,0,0,0,0,78,83,83
Berkeley,Alameda,2025,,053-1652-001-05,Ashby BART,,proj151,,,2025-01-01,0,0,0,0,0,309,0,0,0,0,309,0,618
Berkeley,Alameda,2025,,055-1821-001-01,2550 SHATTUCK Ave,,proj156,,,2025-01-01,0,0,0,0,0,8,0,0,0,0,64,72,72
Berkeley,Alameda,2025,,055-1839-019-01,2587 TELEGRAPH Ave,,proj157,,,2024-01-01,0,0,0,0,0,6,0,0,0,0,46,52,52
Berkeley,Alameda,2025,,056-1928-001-00,2403 SAN PABLO Ave,,proj159,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,36,0,36
Berkeley,Alameda,2025,,055-1892-004-00,2344 FULTON St,,proj160,,,2025-01-01,0,0,0,0,0,0,0,0,0,0,18,0,18
