permit_number,project_id,project_address,v2_source_system,url_discovery_outcome,url_discovery_capid,url_records_seen,url_related_count,in_cpra,cpra_row_count,cpra_apns,cpra_submittal_date,cpra_issuance_date,cpra_finaled_date,cpra_occ_type,cpra_work_type,cpra_units_added,cpra_address,cpra_description_first_50
B2024-01841,172,2650 TELEGRAPH Ave,cpra,not_found,,0,0,yes,1,055 183500901,2024-04-16,2024-11-25,2025-10-27,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2650 TELEGRAPH Ave,400A Temp Power
B2024-03280,172,2650 TELEGRAPH Ave,cpra,not_found,,0,0,yes,1,055 183500901,2024-07-02,2024-11-20,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2650 TELEGRAPH Ave,Install 13.5 KW PV solar panels (30 modules) on th...
B2021-02404,173,2000 DWIGHT Way,cpra,ok,DUB21-00000-00EZS,20,19,yes,20,055 182201800,2021-06-10,2022-08-24,2025-06-17,R-2.1 Residential: Supervised Residential Care Services,New,113.0,2000 DWIGHT Way,Construction of new 6 story senior living facility...
B2023-00675,173,2000 DWIGHT Way,cpra,not_found,,0,0,yes,1,055 182201902,2023-02-15,2023-08-25,2025-03-27,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2000 DWIGHT Way,Deferred Submittal for B2021-02404. Closed loop so...
B2023-02354,174,1773 OXFORD St,cpra,ok,DUB23-00000-00F3M,7,6,yes,7,058 218102700,2023-05-08,2023-11-13,2025-05-21,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,24.0,1773 OXFORD St,New construction of 5-story residential apartment ...
B2023-03067,174,1773 OXFORD St,cpra,not_found,,0,0,yes,1,058 218102700,2023-06-15,2023-08-15,2023-10-23,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Demolition,,1773 OXFORD St,Demolition of an apartment building. (See rebuild ...
B2023-04569,174,1773 OXFORD St,cpra,not_found,,0,0,yes,1,058 218102700,2023-09-06,2023-10-27,2025-05-12,Not Applicable (new),Alteration,,1773 OXFORD St,Shoring Design package for retaining wall associat...
B2023-06274,174,1773 OXFORD St,cpra,not_found,,0,0,yes,1,058 218102700,2023-12-11,2024-11-15,2025-05-05,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,1773 OXFORD St,"Install PV Solar Panels (42 modules) on the roof, ..."
B2022-05117,176,2440 SHATTUCK Ave,cpra,ok,DUB22-00000-00M7W,5,4,yes,5,055 189600500,2022-11-01,2023-08-03,2023-08-31,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,40.0,2440 SHATTUCK Ave,Phase II for 8-story multi-family building with 40...
B2023-00401,176,2440 SHATTUCK Ave,cpra,not_found,,0,0,yes,1,055 189600500,2023-01-31,2023-03-24,,"U Private Garages, Carports, Sheds, Agricultural, Tanks, Accessory",Alteration,,2440 SHATTUCK Ave,Install 400amp temp power meter for construction p...
B2023-03611,176,2440 SHATTUCK Ave,cpra,not_found,,0,0,yes,1,055 189600500,2023-07-17,2023-08-31,2024-10-22,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2440 SHATTUCK Ave,"This is a 18,900 STC WATT Photovoltaic Electric Po..."
B2024-01853,176,2440 SHATTUCK Ave,cpra,not_found,,0,0,yes,1,055 189600500,2024-04-16,2024-05-17,2025-03-04,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2440 SHATTUCK Ave,Install (1) non illuminated walls sign.
B2024-05368,176,2440 SHATTUCK Ave,cpra,not_found,,0,0,yes,1,055 189600500,2024-11-06,2024-11-19,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2055 HASTE St,This revision application is for an updated job ad...
B2019-05575,179,2352 Shattuck Ave,accela,ok,DUB19-00000-00KIL,3,2,yes,1,055 189501805,2019-12-20,2021-10-18,2023-08-08,A-2 Assembly: Food or Drink Consumption,New,,2352 SHATTUCK Ave,Phase I - South Building:  An eight-story mixed us...
B2024-05208,179,2352 Shattuck Ave,cpra,not_found,,0,0,yes,1,055 189501805,2024-10-28,2024-11-22,2024-12-10,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,,2050 DURANT Ave,This application is for a revised job card for per...
