apn,address,name_year,assessor_year,designated,lm_type,matched
058-2205-006-00,1770 La Loma Avenue,1901.0,1902.0,8/3/2006,LM,True
058-2208-002-05,1650 La Vereda,1937.0,1937.0,12/6/2004,LM,True
,2667 Le Conte Avenue,1911.0,,4/6/2006,LM,False
058-2206-003-00,2683 Le Conte Avenue,1900.0,1900.0,2/2/1998,LM,True
059-2248-003-00,1400 Le Roy Avenue,,1924.0,2/25/1991,LM,True
058-2244-001-00,1401 Le Roy Avenue,1912.0,1912.0,3/21/1977,LM,True
058-2247-004-00,1500 Le Roy Avenue,1924.0,1932.0,10/2/1995,LM,True
058-2245-009-03,1581 Le Roy Avenue,1925.0,1925.0,6/21/1982,LM,True
058-2199-002-00,1772 Le Roy Avenue,1907.0,1917.0,3/19/1990,LM,True
058-2205-012-01,1777 Le Roy Avenue,1903.0,1902.0,11/17/1986,LM,True
,"2043 Le Roy, Le Conte, La Loma, Virginia, La Vereda, Hilgard avenues Lincoln Street",1889.0,,3/5/2020,LM,False
053-1588-017-00,2919 Lorina Street,1891.0,1900.0,9/8/1998,LM,True
061-2603-019-00,1841 Marin Avenue,1913.0,1913.0,1/8/2001,LM,True
061-2587-004-00,2118 Marin Avenue,1914.0,1918.0,8/2/1999,LM,True
,1300 Martin Luther King Jr. Way,1892.0,,2/1/2007,LM,False
,1905 Martin Luther King Jr. Way,1904.0,,7/6/2017,LM,False
,1929 Martin Luther King Jr. Way,1991.0,,11/6/2025,LM,False
,2134 Martin Luther King Jr. Way,1908.0,,12/15/1975,LM,False
,2223 Martin Luther King Jr. Way,,,12/7/1992,LM,False
,2231 Maybeck Twin Drive McKinley Avenue,1903.0,,3/6/2025,LM,False
,1645 Milvia Street,1939.0,,6/25/1984,LM,False
057-2021-001-00,2180 Milvia Street,1938.0,1938.0,4/15/1985,LM,True
054-1723-002-00,2727 Milvia Street,1939.0,1955.0,4/5/2007,LM,True
055-1862-005-00,21 Mosswood Lane Mosswood Road,1888.0,1914.0,3/6/2025,LM,True
064-4234-015-00,45 Oak Ridge Road,1909.0,1916.0,2/2/2004,LM,True
,2935 Orchard Lane Otis Street,1904.0,,10/8/2003,LM,False
060-2466-046-00,1301 Oxford Street,1868.0,2005.0,6/21/1976,LM,True
059-2259-010-00,1536 Oxford Street,1889.0,1870.0,6/21/1976,LM,True
,1952 Oxford Street,1930.0,,12/21/1981,LM,False
,2120 Oxford Street,1939.0,,6/7/2004,LM,False
,2140 Oxford Street,1906.0,,8/17/1981,LM,False
,2220 Panoramic Way Panoramic Way Piedmont Avenue,1922.0,,7/6/1992,LM,False
055-1864-001-00,2307 Piedmont Avenue,1909.0,0.0,12/15/1975,LM,True
055-1864-011-00,2395 Piedmont Avenue,1928.0,0.0,5/21/1990,LM,True
,1399 Piedmont b/t Gayley & Dwight Queens Road,1940.0,,2/6/2020,LM,False
058-2200-013-00,2508 Ridge Road,1915.0,0.0,2/4/2016,LM,True
,2600 Ridge Road,1904.0,,11/15/1982,LM,False
064-4255-013-00,22 Roble Road,1926.0,1925.0,3/3/2011,LM,True
060-2431-003-00,1475 Rose Stree,1921.0,1926.0,3/16/1987,LM,True
059-2248-001-00,2500 Rose Walk,1913.0,1935.0,12/15/1975,LM,True
059-2248-001-00,2500 Rose Walk,,1935.0,2/25/1991,LM,True
060-2468-007-02,2501 Rose Walk,,1925.0,2/25/1991,LM,True
059-2248-002-00,2518 Rose Walk,,1935.0,2/25/1991,LM,True
060-2468-008-00,2555 Rose Walk,,1937.0,2/25/1991,LM,True
053-1701-041-00,2911 Russell Street,1908.0,1907.0,5/14/1979,LM,True
062-2916-059-05,1960 San Antoni Avenue,1912.0,,7/10/2000,LM,True
061-2580-039-01,771 San Diego,1954.0,1955.0,3/5/2009,LM,True
