project_id,address,units,status,height_stories,has_tabulation,has_plan_set,is_uc,harvest_priority
114,2727 HASTE St,45,In Review,6.0,0,1,0,high
172,2650 TELEGRAPH Ave,45,Completed,5.0,0,0,0,high
167,2435 SAN PABLO Ave,40,In Review,5.0,0,0,0,medium
176,2440 SHATTUCK Ave,40,Completed,8.0,0,0,0,medium
38,2449 DWIGHT Way,39,Entitled,4.0,1,1,0,done
158,1367 UNIVERSITY Ave,39,Completed,4.0,0,0,0,medium
159,2403 SAN PABLO Ave,36,Under Construction,4.0,0,0,0,medium
175,1698 UNIVERSITY Ave,36,Completed,5.0,0,0,0,medium
124,2442 HASTE St,34,Under Construction,8.0,0,1,0,medium
37,2614 TELEGRAPH Ave,31,In Review,5.0,0,0,0,medium
169,3020 SAN PABLO Ave,29,In Review,5.0,0,0,0,medium
134,2480 Bancroft Way,28,Completed,8.0,0,0,0,medium
174,1773 OXFORD St,24,Completed,5.0,0,0,0,medium
117,2317 CHANNING Way,22,Stalled,5.0,0,0,0,medium
146,2800 TELEGRAPH Ave,18,Permitted,4.0,0,1,0,medium
160,2344 FULTON St,18,Pre-Application,4.0,0,0,0,medium
39,1790 UNIVERSITY Ave,17,In Review,5.0,0,1,0,medium
40,1710 UNIVERSITY Ave,16,In Review,4.0,1,1,0,done
41,2147 SAN PABLO Ave,15,Entitled,4.0,0,1,0,medium
42,1740 UNIVERSITY Ave,12,Entitled,4.0,0,0,0,medium
148,2018 BLAKE St,12,Permitted,6.0,1,1,0,done
161,2555 COLLEGE Ave,12,Completed,4.0,0,0,0,medium
43,1015 UNIVERSITY Ave,9,In Review,4.0,0,0,0,medium
44,2428 MILVIA St,8,In Review,4.0,0,0,0,medium
45,2200 FIFTH St,8,Withdrawn,3.0,0,0,0,medium
46,1745 CEDAR St,6,In Review,3.0,0,0,0,medium
47,1850 BERRYMAN St,6,In Review,3.0,0,0,0,medium
49,1618 SIXTH St,4,In Review,3.0,0,0,0,medium
50,2420 ASHBY Ave,4,In Review,3.0,0,0,0,medium
51,2942 COLLEGE Ave,4,In Review,3.0,0,0,0,medium
52,2437 WARRING St,4,In Review,2.0,0,0,0,medium
53,2641 COLLEGE Ave,3,Completed,3.0,0,0,0,medium
54,2205 BLAKE St,3,In Review,3.0,0,0,0,medium
55,2221 FIFTH St,3,In Review,3.0,0,0,0,medium
56,1650 FIFTH St,3,In Review,3.0,0,0,0,medium
57,3101 SACRAMENTO St,3,In Review,3.0,0,0,0,medium
58,1449 CORNELL Ave,3,In Review,2.0,0,0,0,medium
59,1514 WALNUT St,3,In Review,3.0,0,0,0,medium
60,1464 SIXTH St,3,Permitted,3.0,0,0,0,medium
61,2812 EIGHTH St,3,In Review,3.0,0,0,0,medium
62,2201 BLAKE St,3,Entitled,3.0,0,0,0,medium
128,2833 Seventh St,3,Entitled,2.0,0,0,0,medium
129,1614 Sixth St,3,Completed,3.0,0,0,0,medium
63,1716 SEVENTH St,2,Completed,3.0,0,0,0,skip-ministerial-adu
64,1515 DERBY St,2,Completed,3.0,0,0,0,skip-ministerial-adu
65,1922 FRANCISCO St,2,In Review,3.0,0,0,0,skip-ministerial-adu
66,2204 DWIGHT Way,2,In Review,3.0,1,0,0,done
67,1419 GRANT St,2,Permitted,3.0,0,0,0,skip-ministerial-adu
68,1236 DWIGHT Way,2,In Review,3.0,0,0,0,skip-ministerial-adu
69,2808 NINTH St,2,In Review,3.0,0,0,0,skip-ministerial-adu
70,3001 BENVENUE Ave,1,Completed,3.0,0,0,0,skip-ministerial-adu
71,40 HILL Rd,1,Completed,3.0,0,0,0,skip-ministerial-adu
72,5 W PARNASSUS Ct,1,Permitted,3.0,0,0,0,skip-ministerial-adu
73,0 LE ROY Ave,1,In Review,3.0,0,0,0,skip-ministerial-adu
74,2328 GRANT St,1,In Review,3.0,0,0,0,skip-ministerial-adu
75,1939 MARIN Ave,1,In Review,3.0,0,0,0,skip-ministerial-adu
76,1731 ADDISON St,1,In Review,3.0,0,0,0,skip-ministerial-adu
77,1420 FIFTH St,1,In Review,3.0,0,0,0,skip-ministerial-adu
78,1139 KEELER Ave,1,In Review,3.0,0,0,0,skip-ministerial-adu
