GEOID20,corridor,acres,parcels,units_per_block,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_hillside,headroom_total
060014220002021,,0.3998165072138735,0,0,0,0,0,0,0
060014220002018,,4.864022328799682,25,0,0,0,1824,0,1824
060014220002019,,5.039220044259903,21,4,0,0,738,0,738
060014220002043,,3.0589175171820395,3,0,0,0,0,0,0
060014213004005,,6.007378928848256,34,37,236,372,0,0,236
060014213004004,,6.578192360037408,37,40,258,406,0,0,258
060014213004007,,5.261861992961818,30,32,208,328,0,0,208
060014212001011,,9.91856290671055,47,49,0,0,0,0,0
060014212001006,,5.221089605019737,35,31,0,0,0,0,0
060014212001002,,1.050692081998387,7,9,0,0,0,0,0
060014213001003,,6.936989373927732,38,40,7,11,0,0,7
060014213002003,,1.8436532511265205,15,15,104,164,0,0,104
060014213002004,,3.905500554088548,36,37,248,392,0,0,248
060014213002006,,1.8013982308956353,14,14,98,154,0,0,98
060014213002017,Solano,3.757484430589716,29,30,132,208,66,0,198
060014213002009,,2.7643679024731784,19,20,133,209,0,0,133
060014213002007,,2.4189145791820814,19,18,133,209,0,0,133
060014213001009,,4.555140601965726,32,32,0,0,0,0,0
060014213001001,,3.1884007370708343,19,19,0,0,0,0,0
060014213001002,,4.957428162994271,30,31,0,0,0,0,0
060014213001000,,4.488916359732525,18,18,0,0,0,0,0
060014212003008,,5.427175493163352,30,31,0,0,0,0,0
060014213001014,,3.7001559820893335,24,24,0,0,0,0,0
060014213001012,,3.734997840876204,21,22,21,33,0,0,21
060014213001015,,5.748412489070667,37,39,21,33,0,0,21
060014213002012,,3.8988287087889346,26,28,182,286,0,0,182
060014212004003,,1.5881462866894716,11,11,0,0,0,0,0
060014213001005,,1.1171634296130544,7,8,49,77,0,0,49
060014215001000,,5.446202607536324,13,14,0,0,0,0,0
060014215001007,,11.827699083925868,39,38,0,0,0,0,0
060014216003001,,3.808388139171952,0,0,0,0,0,0,0
060014216003006,,1.6551118450670734,9,13,0,0,0,0,0
060014215003023,,1.8945569597087566,10,13,0,0,0,0,0
