id,address_display,units,status,permits,filed,complete,entitled,bp_issued,co_date,height_stories,height_feet,is_uc_project,construction_status,developer,architect,description,latitude,longitude,processing_days,density_bonus,vli_units,apn,owner,accela_status,accela_status_date,construction_start,estimated_completion,sb35_flag,sb330_flag,ab2011_flag,total_fees,app_packet_mb,construction_method,field_survey_date,field_survey_notes,demolition_permit_date,demolition_start_date,inspection_count,first_inspection_date,last_inspection_date,final_inspection_date,density_bonus_pct,construction_data_reliability,is_stalled,fee_count,unit_category,tenure,project_size,created_at,updated_at,bp_filed_date,total_units,year,pipeline_stage,construction_substage,coord_source,project_category
21,"2660 BANCROFT Way",78,"Incomplete Pending Applicant",ZP2023-0095,2023-07-28,"","",,,8,,0,,,,"Construction of an 8-story residential development with 78 studio units in a 32,632 SF building.  This project will include 8 affordable units for VLI households. Does not have vehicle parking, only bicycle parking is provided with residential amenities and useable open space.  This is a State Density Bonus project.",37.868939,-122.255291,979,1,0,55-1871-20,"AMI LLC &","Completeness Review: Incomplete Pending Applicant",2023-07-28,,,0,0,0,7423.0,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,78.0,2023,"Application Submitted",,initial_import,housing_addition
22,"2955 SHATTUCK Ave",74,"Corrections Pending Applicant",ZP2024-0071,2024-07-03,2024-08-21,"",,,2,75,0,,,,"State Density Bonus Project to merge two lots and demolish (2) existing 2-story commercial structures and (1) existing 1-story commercial structure. The proposed project is an 8-story, 75-feet, 80,682-sqft mixed-use building with 74 dwelling units, ground level retail space, and a ground level parking garage with 24 parking spaces. This will include 4 affordable units.",37.8557770461473,-122.26623093862,49,1,0,"053 158901801",,"Application Processing: Corrections - Pending Applicant",2025-07-25,,,0,0,0,12900.0,24.11,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,74.0,2024,"In Review",,initial_import,housing_addition
23,"2326 DURANT Ave",70,Pending,PLN2024-0023,2024-01-01,"","",,,7,,0,,,,"Pre App requesting feedback on a project proposing a six-story, 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the project description, applicable zoning requirements, and the use of state density bonus with associated waivers and incentives/concessions, applicability of state streamlined housing laws to entitle the project, and discuss the associated processes.",37.8670890600552,-122.262260042806,822,1,0,"055 188401600",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,70.0,2024,"In Review",,initial_import,housing_addition
24,"2330 DURANT Ave",68,"Under Review","PLN2025-0038, PLN2025-0053, PLN2025-0100",2025-01-01,"","",,,6,,0,,,,"Removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",37.8671118022046,-122.262081287048,456,1,0,"055 188401700",,,,,,0,1,0,1055.0,0.47,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,68.0,2025,"In Review",,initial_import,housing_addition
25,"2455 TELEGRAPH Ave",68,"Under Review",PLN2025-0066,2026-03-09,2026-03-17,"",,,8,,0,,,,"UPPH to construct a 85,000SF 8-story mixed-use building, including ground-floor record store and 68 units (7 VLI units). Maintain the historic mural and front facade of Amoeba Record Store",37.8658684135182,-122.258288111235,8,0,7,"055 187502900",,"ness Review: as: Application Complete |",2026-03-17,,,0,1,0,630.0,60.98,,,,,,,,,,,Unknown,0,0,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,68.0,2025,"In Review",,initial_import,housing_addition
26,"2298 DURANT Ave",65,"Pending Final Action",ZP2024-0126,2024-10-04,2024-10-21,"",,,8,91,0,,,,"The proposed project entails the demolition of all existing buildings, merger of two lots, and
construction of a new, 8-Story, 79,522sf, 91'-6"" tall building with 65 total units, 5 of which will be
offered at Very Low Income rates. Density bonus.",37.8669496760346,-122.263768333931,17,1,0,"055 188700100",,"Due 10/09/2025, assigned to TBD  Marked as Resubmittal - Pending Staff Review on 09/11/2025 by Allison Riemer: Pending Final Action",2025-10-09,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,65.0,2024,"Decision Pending",,initial_import,housing_addition
27,"2441 LE CONTE Ave",65,"Incomplete Pending Applicant",ZP2023-0089,2023-07-21,"","",,,7,,0,,,,"Change the use from educational/religious facility to a residential hotel with 65 group living accommodations (7 Very-Low Income Units), and construct a five-story (48 feet average height) major residential addition for a total of 24,300 square feet gross floor feet, utilizing State Density Bonus",37.8770218450383,-122.261866356133,986,1,0,"058 219300600",,"ness Review [ACTIVE]: Incomplete Pending Applicant",2023-11-21,,,0,0,0,72503.1,162.05,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,65.0,2023,"Application Submitted",,initial_import,housing_addition
28,"2372 ELLSWORTH St",63,Entitled,PLN2024-0054,2024-01-01,"",2025-11-18,,,7,,0,,,,"SB-330 Project: Demolition of existing building to construct a seven-story, 49,900-square-foot residential building. A total of 63 units comprised of studios, two, three, and four bedrooms.",37.8665498246095,-122.263647920157,822,0,0,"055 188700300",,,,,,0,0,0,1055.0,6.82,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,63.0,2024,Entitled,,initial_import,housing_addition
30,"2001 CENTER St",58,"In Review","ZP2025-0107, PLN2025-0039",2025-11-26,2026-01-09,"",,,7,100,0,,,,"To convert the existing 7-story,  ~35,904 sq.ft. office building in Berkeley, converting Levels 2–7 into ~58 residential units and keeping ground-floor retail. The mechanical penthouse (86'-4"") will become a roof garden, with height unchanged at 100'-0"". Includes interior demolition only, 10% very-low-income units (~6), and no on-site parking per AB-2097.",37.8702109102158,-122.270307197834,44,0,0,"057 202301300",,"Application Processing: Corrections - Pending Applicant",2026-02-06,,,0,0,0,9260.0,6.74,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,58.0,2025,"In Review",,initial_import,housing_addition
31,"2712 TELEGRAPH Ave",57,"Corrections Pending Applicant",ZP2025-0105,2025-11-26,2026-01-15,"",,,6,,0,,"Panoramic Interests","SDT Architects","Modification of Use Permit ZP2022-0179 for the demolition of two existing two-story commercial structures & construction, with the state of California density bonus, of a new 6-story residential building, with 50 residential units, 6 ADUs, 1 live-work unit, a ground level lobby, and 1 parking space.",37.8610075167225,-122.259349308148,50,1,0,"054 171400501",,"Stage: Application Processing [COMPLETE]: Corrections - Pending Applicant",2026-02-14,,,0,0,0,27690.0,29.61,prefab_planned,,,,,,,,,,Unknown,0,1,ADU,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,57.0,2025,"In Review",,initial_import,housing_addition
