Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2017-03686,"3039 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Complete removal of the existing roofing materials and installation of a new modified bitumen roof system on the small flat roof area and installation of a new comp shingle roof system on all sloped roofs.,Finaled,08/24/2017,
B2024-03790,"3040 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Remove existing comp shingles and tar/gravel on pitched and flat roof, and install new roofing.",Finaled,08/01/2024,
B2024-02719,"3040 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,Install 7.06 (DC) KW PV solar panels (17 modules) on the roof.,Finaled,06/03/2024,
B1996-04927,"3040 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,"WASHER, FLOOR DRAIN, SUMP PUMP",Closed Expired,12/05/1996,
B1996-04692,"3040 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"CONST. 3-STORY ADD. AT BACK OF RESIDENCE RE-ROOF EXISTING ROOF, PAINT ENTIRE BUILDING EXTERIOR",Closed Expired,11/15/1996,
B1996-04692-E,"3040 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"CONST. 3-STORY ADD. AT BACK OF RESIDENCE RE-ROOF EXISTING ROOF, PAINT ENTIRE BUILDING EXTERIOR",Closed Expired,11/15/1996,
B1996-04692-P,"3040 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Plumbing Permit,"CONST. 3-STORY ADD. AT BACK OF RESIDENCE RE-ROOF EXISTING ROOF, PAINT ENTIRE BUILDING EXTERIOR",Closed Expired,11/15/1996,
B2015-04326,"3042 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REPLACE DRAIN WASTE VENT PER HOUSING REPORT ATTACHED,Closed Expired,09/04/2015,
B1992-02578,"3042 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,,Closed Expired,12/29/1992,
B2015-05772-REV01,"3044 BENVENUE AVE, C, BERKELEY CA 94705",Building Revision for B2015-05772,**Revision - Add 4x4 lumber to add enforcement at end stringer per engineer. NO INCREASE IN VALUATION.,Issued,04/04/2016,
B2015-05772,"3044 BENVENUE AVE, C, BERKELEY CA 94705",Building Permit,REPLACE (E) STAIRS LIKE FOR LIKE IN RESPONSE TO HOUSING CODE CASE # 15-00001146 ITEM 11.,Finaled,11/30/2015,
B2002-02324,"3044 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,REPLACE WATER HEATER,Closed Expired,06/05/2002,
B2022-03818,"3046 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Replace heat pump and air handler.,Finaled,08/17/2022,
B2019-01072,"3046 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 4.96KW PV solar panels (16 modules) on the roof. Upgrade main electrical panel from 100 to 125AMPS. Upgrade two (2) additional main electrical panels from 100 to 125AMPS (not tied into Solar PV system).,Closed Expired,03/12/2019,
B2022-03817,"3048 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Replace four headed ductless mini split system.,Finaled,08/17/2022,
B2025-02808-REV01,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2025-02808,Added (2) additional skylights and modified some window sizes to be smaller. Please see plans. Provide new stairs up to non-habitable attic. Add bathroom to non-habitable attic. Change roof slope of dormer to 1:12. No change in valuation.,Corrections List Issued,07/15/2026,
B2025-02808,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Replace/add (12) windows, (1) exterior door, and (4) skylights. Remodel kitchen at first floor and open wall between dining room and kitchen. Add new floor hatch down in kitchen to utilities below. Build new deck with stairs down to backyard. Frame (2) new dormers and reinforce floors for better access to storage. Provide new stairs up to attic. Remove chimney and patch roof.",Issued,07/08/2025,
B2022-03311,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2022-01556,Install wall insulation. Drill and fill. Install floor insulation. Fiberglass batt,Finaled,07/18/2022,
ESR-2022-00897,"3051 BENVENUE Ave, BERKELEY CA 94705",,,Closed Expired,05/05/2022,
B2021-03927,"3051 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Install ducted mini split system. Install ductwork more than 40 ft. Install ductless mini split system.,Finaled,09/01/2021,
B2019-04255-REV01,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2019-04255,"We additionally want to replace a small section of our foundation that will be accessible during the retaining wall replacement. Valuation increased from $25,000 to $33,000",Issued,06/03/2021,
B2020-01203,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Engineered foundation replacement. Install all anchor bolts, hold-downs, blocking, UFRP connectors & shear walls For Transfer Tax Rebate.",Finaled,04/07/2020,
B2019-04255,"3051 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Replace existing retaining wall at front of house,Finaled,10/04/2019,
B2018-03710,"3051 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,200AMP panel upgrade,Finaled,09/19/2018,
B1993-04102,"3051 BENVENUE AVE, BERKELEY CA 94705",Building Permit,WOOD CEDAR SHINGLES,Closed Expired,04/26/1993,
B2022-02469,"3058 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"We will tear off the existing 2 layers of roof, install new #30 felt paper and new 30 year composition shingles",Finaled,05/30/2022,
B2022-00104,"3058 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Engineered Voluntary sub-structural strengthening for Transfer Tax Rebate.,Closed Expired,01/10/2022,
B2018-01674,"3058 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Install gas shut off valve.,Finaled,04/30/2018,
B2019-04547,"3101 BENVENUE Ave, BERKELEY CA 94705",Building Mechanical Permit,REMOVE TOPS OF 2 CHIMNEY- ONE TO BE CLOSED OFF AT TOP AND CLOSE OFF FIREBOX. THE OTHER TO HAVE A GAS INSERT INSTALLED.,Finaled,10/22/2019,
B2009-02705,"3101 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REMOVE AND REPLACE EXISTING ROOF WITH 1/2"" PLY & 40 YRS SHINGLES",Closed Expired,07/23/2009,
