"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 213400101","1200",,"FRANCISCO ST",,,"2338","6900"
"058 213400300","1208",,"FRANCISCO ST",,,"1295","4110"
"058 213400501","1214",,"FRANCISCO ST",,,"3999","3690"
"058 213400600","1220",,"FRANCISCO ST",,,"1095","5032"
"058 213400700","1222",,"FRANCISCO ST",,,"1106","5168"
"058 213400800","1224",,"FRANCISCO ST",,,"1071","3800"
"058 213400900","1226",,"FRANCISCO ST",,,"1020","2850"
"058 213401000","1732",,"CHESTNUT ST",,,"1217","2625"
"058 213401100","1734",,"CHESTNUT ST",,,"1408","4400"
"058 213401200","1738",,"CHESTNUT ST",,,"1175","5328"
"058 213401300","1227",,"DELAWARE ST",,,"1062","3500"
"058 213401400","1225",,"DELAWARE ST",,,"1432","3800"
"058 213401500","1221",,"DELAWARE ST",,,"1114","3800"
"058 213401600","1219",,"DELAWARE ST",,,"1099","5168"
"058 213401700","1217",,"DELAWARE ST",,,"1573","4896"
"058 213401800","1215",,"DELAWARE ST",,,"2795","6120"
"058 213402000","1207",,"DELAWARE ST",,,"1267","3500"
"058 213402100","1205",,"DELAWARE ST",,,"1172","3500"
"058 213402200","1201",,"DELAWARE ST",,,"2642","3000"
"058 213402300","1737",,"CURTIS ST",,,"996","3400"
"058 213402400","1733",,"CURTIS ST",,,"723","3400"
"058 213402500","1731",,"CURTIS ST",,,"1231","3400"
"058 213402600","1209",,"DELAWARE ST",,,"1050","2795"
"058 213402700","1211",,"DELAWARE ST",,,"846","2795"
"058 213402800","1209",,"DELAWARE ST","COM",,"0","0"
"058 213500100","1729",,"CHESTNUT ST",,,"1241","4770"
"058 213500200","1256",,"FRANCISCO ST",,,"1692","5984"
"058 213500300","1262",,"FRANCISCO ST",,,"1790","5984"
"058 213500400","1266",,"FRANCISCO ST",,,"1142","5805"
"058 213500500","1272",,"FRANCISCO ST",,,"1185","5984"
"058 213500600","1274",,"FRANCISCO ST",,,"1766","5984"
"058 213500700","1292",,"FRANCISCO ST",,,"2452","5900"
"058 213500800","1299",,"DELAWARE ST",,,"2374","5984"
"058 213500900","1295",,"DELAWARE ST",,,"2019","5984"
"058 213501000","1281",,"DELAWARE ST",,,"1385","5984"
"058 213501100","1271",,"DELAWARE ST",,,"1028","5984"
"058 213501200","1261",,"DELAWARE ST",,,"1281","5984"
