Date	Permit Number	Status	Address	Occupancy Class
01/31/2025	ESR-2025-00338	Closed Expired	1313 HASKELL St, BERKELEY CA 94702	R-2
01/27/2025	ESR-2025-00264	Closed Expired	2441 BONAR St, BERKELEY CA 94702	R-2
01/27/2025	ESR-2025-00276	Closed Expired	2304 GRANT St, BERKELEY CA 94703	R-2
01/22/2025	ESR-2025-00220	Closed Expired	2600 BENVENUE Ave, BERKELEY CA 94704	R-2
01/22/2025	ESR-2025-00216	Closed Expired	2601 ETNA St, BERKELEY CA 94704	R-2
01/21/2025	25TMP-004341		2505 VIRGINIA St, BERKELEY CA 94709	R-2
01/15/2025	ESR-2025-00146	Closed Expired	2925 ELLIS St, BERKELEY CA 94703	R-2
01/15/2025	ESR-2025-00144	Closed Expired	2511 PRINCE St, BERKELEY CA 94705	R-2
01/15/2025	ESR-2025-00131	Closed Expired	2745 STUART St, BERKELEY CA 94705	R-2
01/13/2025	ESR-2025-00111	Closed Expired	3202 CALIFORNIA St, B, BERKELEY CA 94703	R-2
01/10/2025	ESR-2025-00101	Closed Expired	1534 PARKER St, BERKELEY CA 94703	R-2
01/10/2025	ESR-2025-00097	Closed Expired	1468 HOPKINS St, BERKELEY CA 94702	R-2
01/09/2025	ESR-2025-00077	Closed Expired	1116 DWIGHT Way, 3, BERKELEY CA 94702	R-2
01/08/2025	ESR-2025-00066	Closed Expired	2122 MCGEE Ave, BERKELEY CA 94703	R-2
01/07/2025	ESR-2025-00052	Closed Expired	2122 MCGEE Ave, BERKELEY CA 94703	R-2
01/06/2025	ESR-2025-00032	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703	R-2
01/04/2025	ESR-2025-00030	Closed Expired	1313 HASKELL St, BERKELEY CA 94702	R-2
01/03/2025	ESR-2025-00023	Closed Expired	1308 BURNETT St, BERKELEY CA 94702	R-2
12/30/2024	ESR-2024-04124	Closed Expired	1439 DWIGHT Way, BERKELEY CA 94702	R-2
12/20/2024	ESR-2024-04066	Closed Expired	1416 DERBY St, BERKELEY CA 94702	R-2
12/19/2024	24TMP-033736		2921 SACRAMENTO St, BERKELEY CA 94702	R-2
12/18/2024	ESR-2024-04024	Closed Expired	2918 FLORENCE St, BERKELEY CA 94705	R-2
12/17/2024	ESR-2024-04006	Closed Expired	1522 OXFORD St, BERKELEY CA 94709	R-2
12/14/2024	ESR-2024-03982	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702	R-2
12/13/2024	ESR-2024-03978	Closed Expired	1600 TYLER St, BERKELEY CA 94703	R-2
12/12/2024	ESR-2024-03963	Closed Expired	2421 SAN PABLO Ave, BERKELEY CA 94702	R-2
12/11/2024	ESR-2024-03949	Closed Expired	3113 SHATTUCK Ave, 2, BERKELEY CA 94704	R-2
12/10/2024	ESR-2024-03929	Closed Expired	100 PARNASSUS Rd, BERKELEY CA 94708	R-2
12/09/2024	ESR-2024-03894	Closed Expired	1116 DWIGHT Way, 3, BERKELEY CA 94702	R-2
12/09/2024	ESR-2024-03895	Closed Expired	2431 GRANT St, 6, BERKELEY CA 94703	R-2
12/09/2024	ESR-2024-03896	Closed Expired	2431 GRANT St, BERKELEY CA 94703	R-2
12/09/2024	ESR-2024-03898	Closed Expired	2431 GRANT St, BERKELEY CA 94703	R-2
12/09/2024	ESR-2024-03899	Closed Expired	2431 GRANT St, BERKELEY CA 94703	R-2
12/06/2024	ESR-2024-03882	Closed Expired	1429 M L KING JR Way, BERKELEY CA 94709	R-2
12/05/2024	ESR-2024-03859	Closed Expired	1612 BONITA Ave, BERKELEY CA 94709	R-2
12/03/2024	ESR-2024-03832	Closed Expired	1607 HOPKINS St, BERKELEY CA 94707	R-2
12/03/2024	ESR-2024-03818	Closed Expired	1903 TENTH St, BERKELEY CA 94710	R-2
11/27/2024	ESR-2024-03778	Closed Expired	2455 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03777	Closed Expired	2453 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03776	Closed Expired	2451 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03775	Closed Expired	2449 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03774	Closed Expired	2447 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03773	Closed Expired	2445 BONAR St, BERKELEY CA 94702	R-2
11/27/2024	ESR-2024-03772	Closed Expired	2443 BONAR St, BERKELEY CA 94702	R-2
11/26/2024	ESR-2024-03769	Closed Expired	2441 BONAR St, BERKELEY CA 94702	R-2
11/22/2024	ESR-2024-03736	Closed Expired	1700 ADDISON St, BERKELEY CA 94703	R-2
11/20/2024	ESR-2024-03697	Closed Expired	2220 SACRAMENTO St, COM, BERKELEY CA 94702	R-2
11/15/2024	ESR-2024-03663	Closed Expired	2530 HILLEGASS Ave, 405, BERKELEY CA 94704	R-2
11/14/2024	ESR-2024-03644	Closed Expired	2619 ETNA St, C, BERKELEY CA 94704	R-2
11/14/2024	ESR-2024-03661	Closed Expired	2909 KING St, BERKELEY CA 94703	R-2
11/12/2024	ESR-2024-03625	Closed Expired	2239 CHANNING Way, BERKELEY CA 94704	R-2
11/10/2024	ESR-2024-03595	Closed Expired	2425 GRANT St, BERKELEY CA 94703	R-2
11/07/2024	ESR-2024-03578	Closed Expired	1904 UNIVERSITY Ave, 4, BERKELEY CA 94704	R-2
11/07/2024	ESR-2024-03563	Closed Expired	1728 SEVENTH St, BERKELEY CA 94710	R-2
11/07/2024	ESR-2024-03562	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702	R-2
11/04/2024	ESR-2024-03527	Closed Expired	2646 HILLEGASS Ave, BERKELEY CA 94704	R-2
11/01/2024	24TMP-029851		2016 DELAWARE St, A, BERKELEY CA 94709	R-2
10/30/2024	ESR-2024-03479	Closed Expired	1671 ADDISON St, BERKELEY CA 94703	R-2
10/28/2024	ESR-2024-03455	Closed Expired	1710 BANCROFT Way, BERKELEY CA 94703	R-2
10/25/2024	ESR-2024-03429	Closed Expired	2235 HEARST Ave, BERKELEY CA 94709	R-2
