Date	Permit Number	Status	Address
05/06/2025	undefined	Closed Expired	2325 SPAULDING Ave, BERKELEY CA 94703
05/05/2025	undefined	Closed Expired	1907 CENTER St, BERKELEY CA 94704
05/02/2025	undefined	Closed Expired	1625 CEDAR St, BERKELEY CA 94703
04/29/2025	undefined	Closed Expired	1537 Oregon St, BERKELEY CA 94703 United States
04/28/2025	undefined	Closed Expired	3121 COLLEGE Ave, COM, BERKELEY CA 94705
04/28/2025	undefined	Closed Expired	2118 CALIFORNIA St, BERKELEY CA 94703
04/24/2025	undefined	Closed Expired	2715 CHANNING Way, 9, BERKELEY CA 94704
04/24/2025	undefined	Closed Expired	2715 CHANNING Way, BERKELEY CA 94704
04/21/2025	undefined	Closed Expired	1819 FRANCISCO St, BERKELEY CA 94703
04/21/2025	undefined		1367 UNIVERSITY Ave, BERKELEY CA 94702
04/17/2025	undefined	Closed Expired	1506 SPRUCE St, BERKELEY CA 94709
04/17/2025	undefined	Closed Expired	1742 DERBY St, BERKELEY CA 94703
04/16/2025	undefined	Closed Expired	1438 BONITA Ave, BERKELEY CA 94709
04/15/2025	undefined	Closed Expired	1541 OXFORD St, 204, BERKELEY CA 94709
04/11/2025	undefined	Closed Expired	1433 DWIGHT Way, BERKELEY CA 94702
04/10/2025	undefined	Closed Expired	1771 HIGHLAND Pl, BERKELEY CA 94709
04/10/2025	undefined	Closed Expired	1329 ROSE St, C, BERKELEY CA 94702
04/08/2025	undefined	Closed Expired	1342 GILMAN St, BERKELEY CA 94706
03/31/2025	undefined	Closed Expired	2050 DELAWARE St, 103, BERKELEY CA 94709
03/31/2025	undefined	Closed Expired	1313 HASKELL St, BERKELEY CA 94702
03/31/2025	undefined	Closed Expired	2001 HASTE St, 4, BERKELEY CA 94704
03/31/2025	undefined	Closed Expired	2050 DELAWARE St, 401, BERKELEY CA 94709
03/28/2025	undefined	Closed Expired	1610 MILVIA St, 8, BERKELEY CA 94709
03/28/2025	undefined	Closed Expired	1625 LINCOLN St, BERKELEY CA 94703
03/27/2025	undefined		1803 BONITA Ave, BERKELEY CA 94709
03/27/2025	undefined	Closed Expired	1537 SIXTY-THIRD St, A, BERKELEY CA 94703
03/25/2025	undefined	Closed Expired	2619 BENVENUE Ave, F, BERKELEY CA 94704
03/25/2025	undefined	Closed Expired	2619 BENVENUE Ave, E, BERKELEY CA 94704
03/25/2025	undefined	Closed Expired	2619 BENVENUE Ave, D, BERKELEY CA 94704
03/25/2025	undefined	Closed Expired	2619 BENVENUE Ave, A, BERKELEY CA 94704
03/18/2025	undefined	Closed Expired	2635 FULTON St, BERKELEY CA 94704
03/13/2025	undefined	Closed Expired	2029 CHANNING Way, COM, BERKELEY CA 94704
03/10/2025	undefined		1542 TYLER St, BERKELEY CA 94703
03/07/2025	undefined	Closed Expired	1308 BURNETT St, 4, BERKELEY CA 94702
03/07/2025	undefined	Closed Expired	1308 BURNETT St, 3, BERKELEY CA 94702
03/07/2025	undefined	Closed Expired	1308 BURNETT St, 2, BERKELEY CA 94702
03/07/2025	undefined	Closed Expired	1308 BURNETT St, 1, BERKELEY CA 94702
03/06/2025	undefined	Closed Expired	2447 BONAR St, BERKELEY CA 94702
03/06/2025	undefined	Closed Expired	1918 GRANT St, 1, BERKELEY CA 94703
03/04/2025	undefined	Closed Expired	1308 BURNETT St, BERKELEY CA 94702
03/03/2025	undefined	Closed Expired	1438 BONITA Ave, BERKELEY CA 94709
02/28/2025	undefined	Closed Expired	1610 MILVIA St, BERKELEY CA 94709
02/27/2025	undefined	Closed Expired	1547 HOPKINS St, 5, BERKELEY CA 94707
02/26/2025	undefined		1649 JULIA St, BERKELEY CA 94703
