JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2020-00686,75 SOUTHAMPTON Ave,061 259804002,SFD,0.0,0.0
B2019-05615,1036 SIERRA St,061 261801000,SFD,0.0,0.0
B2018-04945,1543 BEVERLY Pl,061 262902200,SFD,0.0,0.0
B2020-03010,832 PERALTA Ave,062 287000800,SFD,0.0,0.0
B2019-05458,1617 TACOMA Ave,062 287201600,SFD,0.0,0.0
B2019-05637,1858 SAN LORENZO Ave,062 288903100,SFD,0.0,0.0
B2019-05636,650 VINCENTE Ave,062 289103500,SFD,0.0,0.0
B2017-00027-REV02,462 VINCENTE Ave,062 290301400,SFD,0.0,0.0
B2019-05082,485 VINCENTE Ave,062 290704901,SFD,0.0,0.0
B2020-02609,260 SOUTHAMPTON Ave,062 291400300,SFD,0.0,0.0
B2019-01769,615 SAN LUIS Rd,062 291503900,SFD,0.0,0.0
B2020-02783,380 VERMONT Ave,062 294200600,SFD,0.0,0.0
B2018-03952,462 KENTUCKY Ave,062 294401100,SFD,0.0,1.0
B2019-01987,390 VASSAR Ave,062 294900700,SFD,0.0,0.0
B2019-01297,430 KENTUCKY Ave,062 294901401,SFD,0.0,0.0
B2019-05370,2690 MARIN Ave,063 296701000,SFD,0.0,0.0
B2020-01810,998 HILLDALE Ave,063 297103500,SFD,0.0,0.0
B2018-03320,992 SANTA BARBARA Rd,063 297400800,SFD,0.0,0.0
B2019-02670,66 TWAIN Ave,063 298400301,SFD,0.0,0.0
B2020-00477,1160 CRAGMONT Ave,063 298602301,SFD,0.0,0.0
B2020-00941,1168 CRAGMONT Ave,063 298602503,SFD,0.0,0.0
B2018-04191,1250 GRIZZLY PEAK Blvd,063 299302400,SFD,0.0,0.0
B2019-02206,561 WOODMONT Ave,063 310009400,SFD,0.0,0.0
B2016-01187,831 CRESTON Rd,063 312004000,SFD,0.0,0.0
B2020-02840,933 CRESTON Rd,063 312005700,SFD,0.0,0.0
B2019-05579,1020 MIDDLEFIELD Rd,063 313005800,SFD,0.0,0.0
B2019-00837,1051 CRESTON Rd,063 313007300,SFD,0.0,0.0
B2019-04599,1097 CRESTON Rd,063 314011100,SFD,0.0,0.0
B2020-02393,9 AJAX Pl,063 316102100,SFD,0.0,0.0
B2019-01623,44 ALVARADO Rd,064 422702100,SFD,0.0,0.0
B2016-05737,30 DOMINGO Ave,064 423601600,SFD,0.0,0.0
B2018-03627,16 HILLCREST Ct,064 424700700,SFD,0.0,0.0
B2019-05539,1 EUCALYPTUS Rd,064 424900200,SFD,0.0,0.0
B2020-03661,230 HILLCREST Rd,064 425205600,SFD,0.0,0.0
