JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
BERKELEY,Alameda,2023,,053 169102400,2432 Oregon St,,B2021-04655,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-28,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.858769,-122.257722,"2432 Oregon St, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,053 169800600,2806 Kelsey St,,B2021-01297,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,2023-09-07,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.859664,-122.250223,"2806 Kelsey St, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,053 167302000,2877 California St,,B2021-04004,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,2023-01-05,1,0,NONE,0,Y,,,ABAG ADU Affordability Methodlogy,,0,0,0,0,0,,,,37.855593,-122.277218,"2877 California St, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,064 429504600,6450 Mystic St,,B2021-01404,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2023-02-23,1,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.851511,-122.249316,"6450 Mystic St, Oakland, California, 94618",100
BERKELEY,Alameda,2023,,064 429502600,8 Brookside Ave,,B2023-03522,ADU,Renter,0,0,0,0,0,0,0,0,0,0,1,2023-12-18,1,0,0,0,0,0,0,0,0,0,0,1,2023-12-18,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.852634,-122.249156,"8 Brookside Ave, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,063 296103300,911 Regal Rd,,B2021-02006,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2023-12-14,1,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.894346,-122.264859,"911 Regal Rd, Berkeley, California, 94708",100
BERKELEY,Alameda,2023,,058 211900900,1716 Seventh St,,B2022-01386,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2023-06-06,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,ABAG ADU Affordability Methodlogy,37.871920,-122.297875,"1716 7th St, Berkeley, California, 94710",100
BERKELEY,Alameda,2023,,059 232500500,1442 Fifth St,,B2021-05050,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2023-06-22,1,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.875920,-122.301517,"1442 5th St, Berkeley, California, 94710",100
BERKELEY,Alameda,2023,,063 299200200,2910 Shasta Rd,,B2023-04232,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2023-11-19,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,1,0,0,0,0,,,,37.888782,-122.253778,"2910 Shasta Rd, Berkeley, California, 94708",100
BERKELEY,Alameda,2023,,056 194500704,739 Channing Way,,B2019-02831,2 to 4,Renter,0,0,0,0,0,0,0,0,0,0,14,2017-11-23,14,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,2023-03-28,4,0,NONE,0,Y,,,0,,0,0,0,0,0,,,"10 dwellings, four Arts and Crafts live-work units",37.861489,-122.297079,"739 Channing Way, Berkeley, California, 94710",100
BERKELEY,Alameda,2023,,057 208601300,1173 Hearst Ave,,B2020-02942,2 to 4,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,2023-03-15,2,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.870877,-122.290341,"1173 Hearst Ave, Berkeley, California, 94702",100
BERKELEY,Alameda,2023,,054 171400501,2712 Telegraph Ave,,ZP2022-0179,5+,Renter,0,0,0,0,4,0,0,0,0,0,36,2023-11-01,40,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,DB,0,,0,0,0,46,4,Development Standards Modification,N,"Waiver to exceed avg. height, exceed # of stories, exceed FAR, reduce open space",37.860939,-122.259135,"2712 Telegraph Ave, Berkeley, California, 94705",100
BERKELEY,Alameda,2023,,058 218102700,1773 Oxford St,,B2023-02354,5+,Renter,0,0,0,0,3,0,0,0,0,0,21,2023-02-15,24,0,0,0,0,3,0,0,0,0,0,21,2023-11-13,24,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,Other,DB,0,1000,6,0,0,50,5,Development Standards Modification,N,"Concession to reduce residential UOS; waiver to exceed lot coverage, reduce setbacks",37.875548,-122.266493,"1773 Oxford St, Berkeley, California, 94709",100
BERKELEY,Alameda,2023,,055 189504100,2352 Shattuck Ave,,B2021-03302,5+,Renter,0,0,0,0,14,0,0,0,0,0,190,2019-11-20,204,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,63,2023-08-08,69,0,NONE,0,Y,Other,DB,0,1000,0,0,0,35,6,Development Standards Modification,Y,"Waiver to: exceed height, construct rooftop projections, reduce setback, and reduce comemrcial parking",37.866411,-122.267740,"2352 Shattuck Ave, Berkeley, California, 94704",100
BERKELEY,Alameda,2018,,057 208601400,1155-73 Hearst,,ZP2016-0028,5+,Renter,0,0,0,0,0,0,0,0,0,0,6,2018-09-13,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,,37.868937,-122.299985,"Hearst Ave, Berkeley, California, 94710",89
BERKELEY,Alameda,2018,,058 217700600,1722 Walnut,,ZP2018-0021,5+,Renter,0,0,0,0,0,0,0,0,0,0,1,2018-11-30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,,37.876261,-122.267778,"1722 Walnut St, Berkeley, California, 94709",98.909999999999997
BERKELEY,Alameda,2018,,055 187701902,2580 Bancroft Way,,ZP2017-0083,5+,Renter,0,0,0,0,11,0,0,0,0,0,111,2018-10-25,122,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,DB;INC,0,,0,0,0,0,0,,,"11 BMR. 50 percent AMI - 301 bedrooms, 331 beds. Student housing.",37.868872,-122.257688,"2580 Bancroft Way, Berkeley, California, 94704",100
BERKELEY,Alameda,2023,,056 200900700,2208 Roosevelt Ave,,ZP2023-0059,2 to 4,Renter,0,0,0,0,0,0,0,0,0,0,1,2023-09-25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,Convert a SFD into 2 units,37.867951,-122.276066,"2208 Roosevelt Ave, Berkeley, California, 94703",100
BERKELEY,Alameda,2023,,056 193800700,2310 Eighth St,,ZP2022-0098,2 to 4,Owner,0,0,0,0,0,0,0,0,0,0,2,2023-01-30,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,1,0,0,0,0,,,,37.863520,-122.294011,"2310 8th St, Berkeley, California, 94710",100
BERKELEY,Alameda,2023,,060 235000802,0 Camelia St,,ZP2022-0020,2 to 4,Renter,0,0,0,0,0,0,0,0,0,0,3,2023-03-09,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,NONE,0,Y,,,0,,0,0,0,0,0,,,,37.877723,-122.300265,"Camelia St, Berkeley, California, 94710",99
